Cj	qSK	LSC-2	CE	LSC-1	Mel	CF	Ves	MC	SK	IC	nm-cSC	LE	EC	TSK	hnESC	average
AL627309.1	28	5	17	39	8	0	16	1	1	0	1	0	22	0	4	11	9
AL627309.5	223	33	79	333	51	4	21	5	1	4	3	0	43	8	0	0	50
LINC01409	706	186	450	712	156	24	484	26	15	122	26	6	908	21	32	0	242
FAM87B	1	7	1	2	1	2	5	0	1	20	0	0	2	0	0	0	2
LINC01128	1215	648	617	1367	293	73	583	62	22	665	38	8	1091	149	199	0	439
LINC00115	212	68	116	234	59	9	110	8	4	54	15	0	106	19	26	166	75
FAM41C	384	58	143	397	109	17	37	7	3	37	9	0	143	13	3	251	100
AL645608.2	5	0	1	1	1	0	13	0	0	0	0	0	0	0	0	0	1
LINC02593	12	0	0	7	1	0	22	1	1	0	1	0	2	0	0	0	2
SAMD11	52	4	10	63	3	6	115	2	6	0	0	0	9	14	0	1478	110
NOC2L	3362	783	2168	3767	1133	209	1877	101	47	650	70	8	3436	156	395	3291	1340
KLHL17	308	161	332	393	86	6	244	11	4	54	7	3	113	24	25	1675	215
PLEKHN1	4065	55	1482	5467	272	36	80	38	6	20	32	2	1918	5	10	55	846
PERM1	311	21	65	463	43	33	7	4	1	3	3	0	20	0	1	0	60
AL645608.7	343	1	12	317	13	10	21	14	15	0	16	0	10	1	1	3	48
HES4	9281	148	1061	9182	850	422	594	172	232	43	176	7	4551	20	103	3196	1877
ISG15	3900	629	1013	3974	270	52	1133	222	109	142	168	9	1546	87	127	3024	1025
AGRN	1213	69	1713	1365	308	54	358	32	14	11	14	1	861	166	17	1677	492
RNF223	2346	7	225	2078	83	10	12	11	1	4	7	0	533	1	0	5	332
C1orf159	914	198	486	942	195	23	213	23	8	163	23	4	409	49	41	842	283
AL390719.3	10	3	4	10	9	0	4	0	0	0	1	0	0	0	0	0	2
AL390719.2	829	7	218	821	160	11	6	4	0	3	1	0	162	0	0	2	139
TTLL10-AS1	10	0	3	1	0	0	0	0	0	0	0	0	8	0	0	3	1
TTLL10	166	3	11	45	10	2	1	3	0	0	4	0	5	4	0	16	16
TNFRSF18	225	2	164	144	438	12	45	6	1	2	73	0	392	7	3	76	99
