Cj	qSK	LSC-2	CE	LSC-1	Mel	CF	Ves	MC	SK	IC	nm-cSC	LE	EC	TSK	hnESC	average
AL627309.1	1544	651	1515	2001	1161	0	1313	169	98	0	84	0	1893	0	496	419	709
AL627309.5	13525	3834	8166	20742	5985	525	869	638	278	461	606	0	3710	1052	0	0	3774
LINC01409	50295	21316	33739	47557	16289	2756	28284	3486	2087	16003	4581	1653	79377	1848	3963	0	19577
FAM87B	148	619	78	103	131	345	796	0	91	2452	0	0	111	0	0	0	304
LINC01128	89411	90348	48376	97860	29985	10447	54713	10661	3111	87954	6315	2702	98522	20544	27758	0	42419
LINC00115	13994	8913	9104	16847	7223	1562	13547	999	362	6391	2760	0	9813	3352	3288	5639	6487
FAM41C	24008	5582	8725	22648	11666	2376	2215	992	559	4325	1416	0	12716	995	355	5233	6488
AL645608.2	410	0	72	35	44	0	560	0	0	0	0	0	0	0	0	0	70
LINC02593	760	0	0	337	18	0	1706	229	130	0	201	0	171	0	0	0	222
SAMD11	2876	514	1280	3585	490	1453	15045	262	944	0	0	0	1041	2939	0	56400	5427
NOC2L	292203	105679	214496	344043	147225	34537	189205	14085	8004	87234	11392	1714	373027	22441	63711	460140	148071
KLHL17	19021	19496	28200	25499	9077	719	15207	1585	656	6568	808	620	11182	4213	3487	67588	13370
PLEKHN1	400282	7041	161336	624917	25705	2967	6397	5198	1477	3805	4997	329	195113	991	1140	1652	90209
PERM1	20739	2479	5966	29162	3662	3570	553	770	71	275	758	0	1727	0	89	0	4364
AL645608.7	25261	109	933	24963	955	2148	2419	2053	2442	0	2027	0	737	239	76	58	4026
HES4	2982804	26622	158022	2940388	148108	116515	120639	43162	116412	7384	68759	1904	989794	2752	18263	603130	521541
ISG15	691091	91792	87932	477487	31608	10105	169109	53680	43607	18787	70745	2942	147253	12284	19519	386981	144683
AGRN	95493	8516	202284	96227	35580	6865	19632	6013	1953	1584	1684	192	78531	30836	2989	74965	41459
RNF223	251989	1219	18373	203499	11272	1161	1592	1154	454	513	1838	0	49259	162	0	70	33910
C1orf159	70576	24652	39540	68018	22985	3247	21234	3365	1487	20296	2859	857	35757	6717	5071	26110	22048
AL390719.3	672	490	222	541	660	0	364	0	0	0	172	0	0	0	0	0	195
AL390719.2	64489	1225	19850	60033	14837	476	380	252	0	680	126	0	13350	0	0	47	10984
TTLL10-AS1	586	0	151	60	0	0	0	0	0	0	0	0	575	0	0	41	88
TTLL10	9583	318	667	3308	976	45	73	451	0	0	756	0	310	797	0	282	1098
TNFRSF18	16979	296	11630	10405	51088	524	5339	822	111	263	25622	0	40896	673	363	1542	10410
TNFRSF4	1107	3854	0	360	578	0	6315	12341	113	0	8831	0	216	307	121	664	2175
SDF4	568352	712247	441799	585225	252665	68810	562080	44883	17595	404872	25115	4282	831141	74433	178422	319237	318197
B3GALT6	56489	39209	32107	47475	30941	6528	75234	6223	1664	33395	4516	286	49029	11599	16521	99447	31916
C1QTNF12	5971	1428	3390	2204	7940	52	7359	1216	0	0	265	0	6539	1306	2588	30787	4440
UBE2J2	343026	179261	212377	396432	122614	24948	182888	17131	11213	219766	11167	2086	430426	31639	67632	366382	163687
LINC01786	347	489	176	493	242	0	1007	0	0	0	300	0	0	0	0	164	201
SCNN1D	13008	11832	7319	18299	4962	553	7466	572	0	1269	303	350	4983	3867	420	1126	4770
ACAP3	245374	68321	265199	308797	68964	11841	60057	5724	3767	22898	7022	891	174572	32315	3247	59367	83647
PUSL1	211388	47437	122447	201643	82822	8997	61183	3057	1513	52964	5118	236	176911	9768	18111	173010	73538
INTS11	328157	124083	228073	323653	131633	29326	165394	20922	9185	76235	9316	2233	301207	48950	34747	199372	127030
CPTP	143990	46864	80389	141072	36035	6970	46931	13798	1449	49075	2773	186	119284	34803	13717	29672	47938
TAS1R3	581	0	400	1324	633	0	209	0	0	0	82	0	896	161	0	165	278
DVL1	178695	83133	104345	233862	42590	7694	106192	11572	3466	20951	3632	2510	75452	32557	23378	86342	63523
MXRA8	6203	613234	1761	10172	5112	869	875848	1348	15760	192981	1304	8101	677	89759	32502	55711	119459
AURKAIP1	2159591	591352	884681	2193996	420186	130853	780712	60126	34212	639541	40342	5106	1845434	245551	274416	2923879	826874
