log2FoldChange	padj
AL627309.1	4.189629077911377	0.0
AL627309.5	4.615317344665527	0.0
LINC01409	2.6590869426727295	0.0
FAM87B	4.737998008728027	0.0
LINC01128	3.2841320037841797	0.0
LINC00115	3.2486019134521484	0.0
FAM41C	2.3923726081848145	0.0
AL645608.2	3.1123743057250977	0.0
LINC02593	2.937774419784546	0.0
SAMD11	3.051790952682495	0.0
NOC2L	2.9680607318878174	0.0
KLHL17	3.148562431335449	0.0
PLEKHN1	2.7943499088287354	0.0
PERM1	2.417724370956421	0.0
AL645608.7	2.98211669921875	0.0
HES4	2.225334644317627	0.0
ISG15	3.115286350250244	0.0
AGRN	2.4013493061065674	0.0
RNF223	2.479228973388672	0.0
C1orf159	2.3210134506225586	0.0
AL390719.3	2.9987335205078125	0.0
AL390719.2	1.4919633865356445	0.0
TTLL10-AS1	4.881123065948486	0.0
TTLL10	2.650405168533325	0.0
TNFRSF18	2.818497896194458	0.0
TNFRSF4	2.7360143661499023	0.0
SDF4	2.8332366943359375	0.0
B3GALT6	2.291822910308838	0.0
C1QTNF12	2.393428087234497	0.0
UBE2J2	3.610180139541626	0.0
LINC01786	3.0353097915649414	0.0
SCNN1D	1.5250787734985352	0.0
ACAP3	3.6374967098236084	0.0
PUSL1	2.0703744888305664	0.0
INTS11	1.9665776491165161	0.0
CPTP	2.224254846572876	0.0
TAS1R3	1.2545040845870972	0.0
DVL1	2.3238189220428467	0.0
MXRA8	1.2570550441741943	0.0
AURKAIP1	2.59629487991333	0.0
CCNL2	2.1219780445098877	0.0
MRPL20-AS1	2.2585673332214355	0.0
MRPL20	2.9498133659362793	0.0
AL391244.2	2.7644259929656982	0.0
ANKRD65	2.8622400760650635	0.0
AL391244.1	1.8854851722717285	0.0
LINC01770	1.886270523071289	0.0
VWA1	1.8119869232177734	0.0
ATAD3C	2.1563191413879395	0.0
ATAD3B	1.942939281463623	0.0
ATAD3A	1.2250100374221802	0.0
TMEM240	3.0250954627990723	0.0
SSU72	1.0669785737991333	0.0
AL645728.1	2.219027519226074	0.0
FNDC10	1.5171470642089844	0.0
AL691432.4	2.3056912422180176	0.0
AL691432.2	2.625156879425049	0.0
