log2FoldChange	padj
ADIRF	13.360973358154297	0.0
CLU	4.65275764465332	0.0
PERP	2.5570061206817627	0.0
TACSTD2	5.773077487945557	0.0
UPK3BL1	33.18589401245117	0.0
KRT5	13.29880428314209	0.0
CST3	5.590254783630371	0.0
KRT12	16.805875778198242	0.0
CLDN4	9.714852333068848	0.0
HSPB1	2.1932263374328613	0.0
SFN	5.609920978546143	0.0
B2M	4.960417747497559	0.0
NQO1	3.193420886993408	0.0
TGFBI	11.474512100219727	0.0
FXYD3	6.079841136932373	0.0
SDC1	9.259241104125977	0.0
LYPD3	6.438113212585449	0.0
C19orf33	3.4619274139404297	0.0
ELF3	2.984614133834839	0.0
CAST	8.443992614746094	0.0
RPL17	2.8870904445648193	0.0
TRIM29	11.651304244995117	0.0
ALDH1A1	12.9249906539917	0.0
UPK1B	11.12091064453125	0.0
MGARP	10.99616813659668	0.0
MALAT1	1.3895162343978882	0.0
SYT8	12.248172760009766	0.0
EMP1	6.856439113616943	0.0
PAX6	32.36452102661133	0.0
DSG1	12.407157897949219	0.0
ANXA1	6.192629337310791	0.0
TSPO	4.736245632171631	0.0
DSP	2.702044725418091	0.0
DAPL1	7.098001480102539	0.0
SAT1	3.1588597297668457	0.0
ATP6V0C	7.370825290679932	0.0
ASPH	3.6237523555755615	0.0
LDHA	1.5182685852050781	0.0
MAL2	6.596106052398682	0.0
S100A4	6.368854999542236	0.0
MRPL33	2.3181700706481934	0.0
DUSP1	5.588021755218506	0.0
EEF1G	7.19655179977417	0.0
ANXA2	1.1169261932373047	0.0
SERPINB5	9.803908348083496	0.0
ERICH5	5.434308052062988	0.0
GSN	5.983294486999512	0.0
DSC2	4.206937313079834	0.0
MAL	11.233396530151367	0.0
GABARAP	5.991064548492432	0.0
FOSB	8.607002258300781	0.0
S100A14	3.5699572563171387	0.0
CLDN1	14.232317924499512	0.0
NME2	3.7798590660095215	0.0
RNASEK	5.674721717834473	0.0
ALDH3A1	8.0372953414917	0.0
PSAP	2.373919725418091	0.0
ZFP36	6.628648281097412	0.0
CD99	6.103540897369385	0.0
MICOS10	31.793041229248047	0.0
NEAT1	2.1968793869018555	0.0
CRTAC1	9.984148025512695	0.0
LGALS3	3.797889471054077	0.0
AGR2	32.12828826904297	0.0
GLUL	2.5596771240234375	0.0
ENO1	1.3297330141067505	0.0
SH3BGRL3	2.179185152053833	0.0
TOMM6	31.691518783569336	0.0
RND3	6.3415961265563965	0.0
AHNAK	3.7236595153808594	0.0
COMT	4.241114139556885	0.0
CAMK2N1	6.758328437805176	0.0
MIR205HG	32.194297790527344	0.0
SLC20A1	3.9426958560943604	0.0
BHLHE40	5.3590312004089355	0.0
TSTD1	2.214315414428711	0.0
NDUFA13	1.7604612112045288	0.0
FOS	4.717836380004883	0.0
ITM2B	1.6047371625900269	0.0
