log2FoldChange	padj
AL627309.1	4.559609889984131	0.0
AL627309.5	5.631529331207275	0.0
LINC01409	4.665915012359619	0.0
FAM87B	4.242264270782471	0.0
LINC01128	4.064261436462402	0.0
LINC00115	4.079810619354248	0.0
FAM41C	3.745366096496582	0.0
AL645608.2	3.921290874481201	0.0
LINC02593	2.87382173538208	0.0
SAMD11	2.887145757675171	0.0
NOC2L	4.010558605194092	0.0
KLHL17	3.501217842102051	0.0
PLEKHN1	2.4662160873413086	0.0
PERM1	2.769136667251587	0.0
AL645608.7	3.4979989528656006	0.0
HES4	3.432271957397461	0.0
ISG15	1.276640772819519	0.0
AGRN	2.2065627574920654	0.0
RNF223	2.690312385559082	0.0
C1orf159	3.6202709674835205	0.0
AL390719.3	4.64559268951416	0.0
AL390719.2	3.648388385772705	0.0
TTLL10-AS1	2.507718086242676	0.0
TTLL10	2.5349011421203613	0.0
TNFRSF18	2.8732473850250244	0.0
TNFRSF4	2.4023704528808594	0.0
SDF4	1.8427743911743164	0.0
B3GALT6	4.658799648284912	0.0
C1QTNF12	3.664783477783203	0.0
UBE2J2	2.8647055625915527	0.0
LINC01786	3.23826265335083	0.0
SCNN1D	4.023568630218506	0.0
ACAP3	3.553784132003784	0.0
PUSL1	4.340693473815918	0.0
INTS11	3.8294625282287598	0.0
CPTP	3.68277645111084	0.0
TAS1R3	2.332267999649048	0.0
DVL1	2.8374383449554443	0.0
MXRA8	3.5018937587738037	0.0
AURKAIP1	2.5532400608062744	0.0
CCNL2	3.234525680541992	0.0
MRPL20-AS1	5.430034160614014	0.0
MRPL20	3.155956268310547	0.0
AL391244.2	4.575773239135742	0.0
ANKRD65	0.8300191760063171	0.0
AL391244.1	6.238593101501465	0.0
LINC01770	2.1709518432617188	0.0
VWA1	3.079043388366699	0.0
ATAD3C	4.130452632904053	0.0
ATAD3B	3.088956594467163	0.0
ATAD3A	3.6068625450134277	0.0
TMEM240	3.0519750118255615	0.0
SSU72	2.62345290184021	0.0
AL645728.1	5.58037805557251	0.0
FNDC10	3.517122983932495	0.0
AL691432.4	2.2658257484436035	0.0
AL691432.2	1.2025363445281982	0.0
MIB2	2.2320914268493652	0.0
MMP23B	4.262876510620117	0.0
CDK11B	2.2675631046295166	0.0
FO704657.1	2.7032220363616943	0.0
SLC35E2B	3.2240335941314697	0.0
CDK11A	4.733234405517578	0.0
SLC35E2A	3.218238353729248	0.0
NADK	2.5138113498687744	0.0
GNB1	3.07582688331604	0.0
AL109917.1	2.70647931098938	0.0
CALML6	1.7180895805358887	0.0
TMEM52	2.589714288711548	0.0
CFAP74	3.5708000659942627	0.0
AL391845.2	1.1708359718322754	0.0
GABRD	6.848794937133789	0.0
PRKCZ	6.499974250793457	0.0
AL590822.2	3.8400561809539795	0.0
PRKCZ-AS1	3.655141592025757	0.0
FAAP20	2.6148271560668945	0.0
SKI	4.0125813484191895	0.0
AL590822.3	3.0530059337615967	0.0
MORN1	3.514174461364746	0.0
AL513477.2	2.18758487701416	0.0
RER1	6.101168632507324	0.0
PEX10	3.0074026584625244	0.0
PLCH2	5.5722880363464355	0.0
PANK4	3.275179862976074	0.0
HES5	4.251090049743652	0.0
AL139246.5	4.057706356048584	0.0
TNFRSF14-AS1	3.0483624935150146	0.0
TNFRSF14	1.5950840711593628	0.0
AL139246.3	3.767285108566284	0.0
PRXL2B	5.52631139755249	0.0
MMEL1	4.417715072631836	0.0
TTC34	3.202833652496338	0.0
PRDM16-DT	3.944286346435547	0.0
PRDM16	2.243434429168701	0.0
AL354743.2	4.376849174499512	0.0
ARHGEF16	2.0787832736968994	0.0
AL512413.1	3.4134817123413086	0.0
MEGF6	1.6733537912368774	0.0
AL513320.1	4.675554275512695	0.0
TPRG1L	2.0039405822753906	0.0
WRAP73	1.582237958908081	0.0
TP73	2.0264317989349365	0.0
CCDC27	4.149535179138184	0.0
SMIM1	5.160204887390137	0.0
LRRC47	2.1498916149139404	0.0
AL365330.1	2.8152098655700684	0.0
CEP104	1.9910905361175537	0.0
DFFB	1.4185891151428223	0.0
C1orf174	2.2667624950408936	0.0
LINC01134	4.386499881744385	0.0
AL805961.1	2.8271007537841797	0.0
AJAP1	3.6744768619537354	0.0
Z98886.1	2.77687668800354	0.0
NPHP4	1.8024319410324097	0.0
KCNAB2	2.126082181930542	0.0
CHD5	1.9155255556106567	0.0
RPL22	2.5815114974975586	0.0
AL031847.1	2.7117557525634766	0.0
RNF207	3.152378797531128	0.0
ICMT	4.945241451263428	0.0
LINC00337	3.970802068710327	0.0
GPR153	5.278331279754639	0.0
ACOT7	1.765230655670166	0.0
AL031848.2	2.30134654045105	0.0
HES2	5.401221752166748	0.0
ESPN	1.9718025922775269	0.0
TNFRSF25	1.2163245677947998	0.0
PLEKHG5	3.17809796333313	0.0
NOL9	2.0751702785491943	0.0
TAS1R1	9.251483917236328	0.0
ZBTB48	4.140533924102783	0.0
KLHL21	2.1936330795288086	0.0
PHF13	3.994309186935425	0.0
THAP3	5.07337760925293	0.0
DNAJC11	1.6404945850372314	0.0
LINC01672	2.384554386138916	0.0
AL591163.1	1.9671632051467896	0.0
CAMTA1-DT	2.444796562194824	0.0
CAMTA1	2.23994517326355	0.0
CAMTA1-IT1	2.592345952987671	0.0
VAMP3	5.553635597229004	0.0
Z98884.2	2.5693187713623047	0.0
PER3	0.6144114136695862	0.0
Z98884.1	2.327827215194702	0.0
UTS2	1.3721989393234253	0.0
TNFRSF9	2.0903396606445312	0.0
PARK7	2.2753050327301025	0.0
AL034417.4	1.7523101568222046	0.0
AL034417.3	2.7639107704162598	0.0
ERRFI1	2.8809120655059814	0.0
AL034417.2	1.309131383895874	0.0
SLC45A1	3.6355230808258057	0.0
RERE	2.22591495513916	0.0
RERE-AS1	2.7837560176849365	0.0
ENO1	2.0308926105499268	0.0
ENO1-AS1	3.356750965118408	0.0
CA6	1.2032345533370972	0.0
SLC2A5	3.2119650840759277	0.0
GPR157	2.3130364418029785	0.0
MIR34AHG	2.4062018394470215	0.0
LNCTAM34A	1.3756282329559326	0.0
H6PD	3.836031675338745	0.0
SPSB1	2.700232982635498	0.0
LINC02606	1.029402256011963	0.0
SLC25A33	2.7355728149414062	0.0
TMEM201	3.9689416885375977	0.0
PIK3CD	3.3277480602264404	0.0
PIK3CD-AS2	1.2963305711746216	0.0
CLSTN1	2.7095718383789062	0.0
CTNNBIP1	2.3772025108337402	0.0
AL357140.1	2.013700246810913	0.0
LZIC	1.1775072813034058	0.0
AL357140.2	2.680359125137329	0.0
NMNAT1	5.941677570343018	0.0
RBP7	7.341602325439453	0.0
UBE4B	2.5734598636627197	0.0
KIF1B	1.5944538116455078	0.0
AL139424.3	3.166109561920166	0.0
AL139424.2	1.3107223510742188	0.0
PGD	4.625206470489502	0.0
CENPS	3.9001998901367188	0.0
CORT	2.2598538398742676	0.0
DFFA	2.4394326210021973	0.0
AL354956.1	2.835059642791748	0.0
PEX14	2.393934965133667	0.0
AL139423.2	3.792614459991455	0.0
CASZ1	4.6961188316345215	0.0
AL139423.1	1.585249662399292	0.0
TARDBP	3.7470762729644775	0.0
AL109811.2	1.6998233795166016	0.0
SRM	5.760361671447754	0.0
EXOSC10	1.4103245735168457	0.0
AL109811.1	1.372080683708191	0.0
EXOSC10-AS1	2.287966728210449	0.0
MTOR	2.594879150390625	0.0
MTOR-AS1	2.1058528423309326	0.0
ANGPTL7	3.0810112953186035	0.0
UBIAD1	1.722713828086853	0.0
AL031291.1	1.107277274131775	0.0
DISP3	1.676742672920227	0.0
AL031731.1	3.0051214694976807	0.0
FBXO2	1.9042199850082397	0.0
FBXO44	1.3052197694778442	0.0
FBXO6	1.3853001594543457	0.0
MAD2L2	2.298893451690674	0.0
DRAXIN	1.9684873819351196	0.0
AGTRAP	1.503840684890747	0.0
C1orf167	0.6445041298866272	0.0
MTHFR	3.0220367908477783	0.0
CLCN6	1.0229334831237793	0.0
AL021155.5	2.1543357372283936	0.0
KIAA2013	1.8445014953613281	0.0
PLOD1	3.725736379623413	0.0
AL096840.2	2.1579949855804443	0.0
MFN2	0.9956193566322327	0.0
MIIP	2.633652925491333	0.0
TNFRSF8	2.444859266281128	0.0
TNFRSF1B	2.49027681350708	0.0
VPS13D	2.751532554626465	0.0
LINC02766	0.4970898926258087	0.0
DHRS3	3.139568567276001	0.0
AC254633.1	2.9546356201171875	0.0
LRRC38	1.9218717813491821	0.0
PDPN	0.9173758625984192	0.0
PRDM2	3.969444513320923	0.0
KAZN	1.9783695936203003	0.0
AL357873.1	1.9954577684402466	0.0
AL031293.1	0.5564337968826294	0.0
TMEM51-AS1	3.3671116828918457	0.0
TMEM51	2.5851728916168213	0.0
FHAD1	0.9229175448417664	0.0
AL031283.2	3.4588871002197266	0.0
AL031283.1	0.7741990089416504	0.0
EFHD2	2.235222578048706	0.0
CTRC	6.417344570159912	0.0
CELA2A	1.5871667861938477	0.0
CASP9	2.241326093673706	0.0
DNAJC16	0.7126911282539368	0.0
AGMAT	1.6904666423797607	0.0
AL121992.1	2.252204656600952	0.0
DDI2	1.8659409284591675	0.0
PLEKHM2	0.34360429644584656	0.0
AL450998.3	4.444856643676758	0.0
SLC25A34	1.3129578828811646	0.0
SLC25A34-AS1	2.2038042545318604	0.0
FBLIM1	4.79736328125	0.0
UQCRHL	1.8110040426254272	0.0
AL450998.2	1.6402679681777954	0.0
SPEN	2.606566905975342	0.0
ZBTB17	0.8644393086433411	0.0
SRARP	2.37454891204834	0.0
HSPB7	4.485018730163574	0.0
CLCNKA	4.887373447418213	0.0
CLCNKB	3.293214797973633	0.0
FAM131C	1.8210008144378662	0.0
EPHA2	2.866159439086914	0.0
AL451042.2	2.0740294456481934	0.0
AL451042.1	1.1278786659240723	0.0
ARHGEF19	2.6915762424468994	0.0
AL109627.1	1.4236297607421875	0.0
CPLANE2	0.8851646184921265	0.0
FBXO42	3.6280922889709473	0.0
SZRD1	2.3133773803710938	0.0
SPATA21	1.4290066957473755	0.0
NECAP2	1.0061302185058594	0.0
LINC01772	2.860801935195923	0.0
AL137802.2	1.0883749723434448	0.0
LINC01783	0.8773036599159241	0.0
NBPF1	1.053063988685608	0.0
CROCC	3.791393518447876	0.0
BX284668.2	1.5811947584152222	0.0
BX284668.5	1.587950587272644	0.0
BX284668.6	1.5105514526367188	0.0
MFAP2	1.122366189956665	0.0
ATP13A2	2.1047956943511963	0.0
SDHB	1.2424795627593994	0.0
PADI2	0.5242304801940918	0.0
LINC02783	0.9675248861312866	0.0
AL590644.1	2.5387990474700928	0.0
PADI1	1.5515938997268677	0.0
PADI3	0.7802044153213501	0.0
RCC2-AS1	2.607239007949829	0.0
RCC2	2.12686824798584	0.0
ARHGEF10L	2.767362356185913	0.0
IGSF21	1.0925779342651367	0.0
KLHDC7A	6.083601474761963	0.0
PAX7	2.347458600997925	0.0
ALDH4A1	0.5231451392173767	0.0
IFFO2	1.7233203649520874	0.0
AL137127.1	2.7399821281433105	0.0
UBR4	2.9206066131591797	0.0
EMC1-AS1	1.7127164602279663	0.0
EMC1	1.4199116230010986	0.0
MRTO4	0.7289142608642578	0.0
AKR7A3	2.4308741092681885	0.0
AKR7A2	3.0178747177124023	0.0
SLC66A1	1.9888103008270264	0.0
CAPZB	2.2824699878692627	0.0
MICOS10	2.394423484802246	0.0
NBL1	2.0984342098236084	0.0
TMCO4	0.8636756539344788	0.0
OTUD3	3.9899537563323975	0.0
PLA2G2A	1.8654603958129883	0.0
PLA2G5	0.7393613457679749	0.0
PLA2G2F	0.7207261323928833	0.0
UBXN10-AS1	1.6163973808288574	0.0
UBXN10	0.6813522577285767	0.0
LINC01141	3.6519935131073	0.0
