log2FoldChange	padj
B2M	5.427541255950928	0.0
CST3	5.7518534660339355	0.0
RPL17	3.3694512844085693	0.0
DCN	33.329811096191406	0.0
MALAT1	1.679745078086853	0.0
SNHG29	32.751522064208984	0.0
TIMP1	4.105336666107178	0.0
NNMT	10.961688995361328	0.0
EEF1G	7.539666652679443	0.0
CD63	1.116849422454834	0.0
NEAT1	2.3283345699310303	0.0
IGFBP4	7.301682472229004	0.0
C1R	6.889434814453125	0.0
SNHG5	32.243919372558594	0.0
RPL36A	1.9548749923706055	0.0
HLA-A	4.187707901000977	0.0
VIM	5.775829315185547	0.0
ANXA1	5.711462020874023	0.0
NME2	3.9409432411193848	0.0
S100A6	5.297149658203125	0.0
C1S	6.604099750518799	0.0
MT-CYB	1.1239017248153687	0.0
SERPING1	6.086995601654053	0.0
MMP2	7.2187886238098145	0.0
CD99	6.263390064239502	0.0
SNHG6	31.922996520996094	0.0
RNASEK	5.738668441772461	0.0
S100A4	5.166566371917725	0.0
GABARAP	5.961993217468262	0.0
UBC	1.6849812269210815	0.0
ANXA5	1.7079229354858398	0.0
IFITM3	1.868312954902649	0.0
SOD2	3.871046304702759	0.0
CAST	7.593108654022217	0.0
EIF4A1	1.522485613822937	0.0
SELENOM	2.6406240463256836	0.0
LGALS3	3.1520071029663086	0.0
LGALS1	2.8609466552734375	0.0
COL6A2	5.62769889831543	0.0
AEBP1	5.37843132019043	0.0
RPS17	1.7958407402038574	0.0
LUM	32.10335922241211	0.0
APOD	13.265182495117188	0.0
HLA-B	4.299505710601807	0.0
IER3	5.701269149780273	0.0
THBS1	6.10866117477417	0.0
RPL13A	0.6429136991500854	0.0
SEPTIN7	31.396820068359375	0.0
HLA-C	2.4368338584899902	0.0
ATP6V0C	6.5413031578063965	0.0
TGFBI	9.777402877807617	0.0
PSAP	1.9967904090881348	0.0
SAA1	6.056600570678711	0.0
MRPS24	6.275354385375977	0.0
FTL	0.8645111918449402	0.0
FTH1	0.8007487058639526	0.0
SOD3	9.55444622039795	0.0
IGFBP2	1.6579548120498657	0.0
SERPINF1	3.8087165355682373	0.0
RPL26	0.4944738447666168	0.0
COL12A1	5.179808616638184	0.0
HTRA1	8.398429870605469	0.0
GAS5	31.641719818115234	0.0
TSPO	4.029783725738525	0.0
LDHA	1.1095614433288574	0.0
NUPR1	2.661803722381592	0.0
CD59	3.7570018768310547	0.0
MICOS10	31.179208755493164	0.0
EIF1	0.5690465569496155	0.0
CEBPD	3.899916410446167	0.0
ADIRF	10.675782203674316	0.0
LAPTM4A	1.0866955518722534	0.0
TMSB4X	1.1910221576690674	0.0
NDUFA13	1.4514213800430298	0.0
PRRX1	5.475947856903076	0.0
RPL21	0.5050884485244751	0.0
ITM2B	1.0338656902313232	0.0
NFE2L2	2.9025309085845947	0.0
S100A11	1.113430142402649	0.0
SQSTM1	2.186558723449707	0.0
AKR1C1	31.51140785217285	0.0
TPT1	0.46607840061187744	0.0
ASPH	2.819169759750366	0.0
COL6A1	4.601393222808838	0.0
EID1	2.572988271713257	0.0
RND3	5.320330619812012	0.0
CALD1	1.3412692546844482	0.0
SEC62	1.7506933212280273	0.0
PNRC1	2.0819180011749268	0.0
LRP1	3.3423640727996826	0.0
HERPUD1	2.5172183513641357	0.0
CFH	31.07009506225586	0.0
CD44	5.57853364944458	0.0
RBIS	30.8372745513916	0.0
TIMP3	5.306857109069824	0.0
PMP22	3.6433615684509277	0.0
HLA-E	3.0134313106536865	0.0
EMP3	2.819751501083374	0.0
CIAO2B	30.856924057006836	0.0
MICOS13	30.67519187927246	0.0
JUN	3.8388538360595703	0.0
TOMM6	30.710777282714844	0.0
RPL41	0.37723249197006226	0.0
IGFBP6	6.3772196769714355	0.0
S100A9	30.641386032104492	0.0
XIST	6.401329040527344	0.0
EMP1	4.841310501098633	0.0
COL6A3	8.277807235717773	0.0
RPS27	0.42679688334465027	0.0
MYL12A	0.9519014954566956	0.0
MYL12B	0.7401282787322998	0.0
RTN4	0.9781594276428223	0.0
SERPINE2	4.097579479217529	0.0
ADM	5.502078533172607	0.0
PFDN5	0.5615569949150085	0.0
TRAPPC5	5.2317399978637695	0.0
RPL37A	0.40239760279655457	0.0
SAT1	1.9690618515014648	0.0
TLE5	30.52183723449707	0.0
LINC01578	30.468595504760742	0.0
FMOD	12.30157470703125	0.0
ITGBL1	7.821758270263672	0.0
MFAP4	31.01328468322754	0.0
TIMP2	2.696096420288086	0.0
MME	5.3783040046691895	0.0
CXCL8	31.6821346282959	0.0
CXCL1	31.42591094970703	0.0
DPP7	3.7233829498291016	0.0
GSTO1	1.6144416332244873	0.0
DKK3	6.492867469787598	0.0
MT-CO3	0.5341618061065674	0.0
PTGDS	8.023662567138672	0.0
ITGB1	1.7408154010772705	0.0
VASN	5.923494815826416	0.0
RPS20	0.5425840020179749	0.0
TWIST1	3.4557225704193115	0.0
SNHG16	30.595441818237305	0.0
RPL23A	0.320139080286026	0.0
NDUFA4L2	9.202777862548828	0.0
RPS10	0.5312577486038208	0.0
SEPTIN2	30.409576416015625	0.0
PGRMC1	1.5272828340530396	0.0
BNIP3L	2.8110740184783936	0.0
TMEM59	1.108229637145996	0.0
EEF1A1	0.23829945921897888	0.0
FSTL1	4.103045463562012	0.0
LEPROT	3.4222497940063477	0.0
EFEMP1	7.269450664520264	0.0
RPL28	0.342002809047699	0.0
SNHG32	30.489103317260742	0.0
NPC2	1.14146089553833	0.0
TWIST2	4.752485752105713	0.0
CYBRD1	6.086336612701416	0.0
AHNAK	2.6801352500915527	0.0
RPLP1	0.3769754469394684	0.0
MT2A	0.7845021486282349	0.0
SH3BGRL3	1.4009450674057007	0.0
FBLN1	3.7299063205718994	0.0
GSN	4.600776195526123	0.0
GSTM3	3.824436664581299	0.0
IGFBP5	6.113276958465576	0.0
LMNA	1.1787418127059937	0.0
SERPINE1	5.5786237716674805	0.0
PDGFRA	4.369590759277344	0.0
BTG1	2.2199454307556152	0.0
ECM1	7.003650188446045	0.0
ZFAS1	0.6767380833625793	0.0
IGFBP7	4.584228038787842	0.0
TCEAL9	2.1853721141815186	0.0
COX7A1	4.112834453582764	0.0
SEPTIN11	30.419872283935547	0.0
MAFF	6.861232280731201	0.0
CEMIP	6.561417579650879	0.0
PALM2-AKAP2	30.123388290405273	0.0
AOPEP	30.13955307006836	0.0
UBE2V1	3.9458415508270264	0.0
GNG11	4.357479095458984	0.0
TMBIM6	0.616775631904602	0.0
EIF1B	1.7806143760681152	0.0
RPS4X	0.2970066964626312	0.0
PHC2	7.016107082366943	0.0
FHL1	6.546359062194824	0.0
AKR1C2	31.236709594726562	0.0
CLU	2.52842378616333	0.0
MIR100HG	30.427282333374023	0.0
AHR	6.4348273277282715	0.0
SAA2	30.919288635253906	0.0
ID3	5.344878196716309	0.0
S100A8	30.07419776916504	0.0
FGFR1	3.071712017059326	0.0
IFITM2	1.0060582160949707	0.0
ATP5F1E	0.44523754715919495	0.0
ARID5B	4.346536636352539	0.0
RPL34	0.3647385537624359	0.0
SDCBP	1.2106389999389648	0.0
PRNP	2.9812748432159424	0.0
PDGFRB	30.254423141479492	0.0
FBLN5	4.715360641479492	0.0
NRP2	3.867121696472168	0.0
CTSK	7.1506242752075195	0.0
DDX5	0.5695117115974426	0.0
KRTCAP2	1.4057369232177734	0.0
FKBP10	5.188048362731934	0.0
ZFP36	4.735641956329346	0.0
MT-CO2	0.35956791043281555	0.0
RARRES2	6.521922588348389	0.0
CCNI	0.630588710308075	0.0
TXNIP	4.934507369995117	0.0
MFGE8	4.448574066162109	0.0
MXRA7	2.9165329933166504	0.0
RHOBTB3	5.474668025970459	0.0
PSME1	2.7481417655944824	0.0
CDKN1A	3.569671392440796	0.0
