log2FoldChange	padj
AL627309.1	4.120791435241699	0.0
AL627309.5	3.9306719303131104	0.0
LINC01409	5.35422945022583	0.0
FAM87B	2.9265174865722656	0.0
LINC01128	2.5593628883361816	0.0
LINC00115	1.4374836683273315	0.0
FAM41C	3.8754303455352783	0.0
AL645608.2	1.5801899433135986	0.0
LINC02593	1.549933671951294	0.0
SAMD11	1.3908427953720093	0.0
NOC2L	2.6374146938323975	0.0
KLHL17	4.780215740203857	0.0
PLEKHN1	1.9356272220611572	0.0
PERM1	2.5365664958953857	0.0
AL645608.7	2.405704975128174	0.0
HES4	2.2280209064483643	0.0
ISG15	1.0569175481796265	0.0
AGRN	2.0628671646118164	0.0
RNF223	4.617920875549316	0.0
C1orf159	2.0201528072357178	0.0
AL390719.3	2.1708428859710693	0.0
AL390719.2	2.0382018089294434	0.0
TTLL10-AS1	1.466430902481079	0.0
TTLL10	0.9381654858589172	0.0
TNFRSF18	2.732696533203125	0.0
TNFRSF4	1.6252719163894653	0.0
SDF4	2.8358726501464844	0.0
B3GALT6	1.6307964324951172	0.0
C1QTNF12	2.347721576690674	0.0
UBE2J2	4.242661476135254	0.0
LINC01786	1.6273412704467773	0.0
SCNN1D	2.5479001998901367	0.0
ACAP3	5.762624740600586	0.0
PUSL1	2.2148213386535645	0.0
INTS11	2.277707099914551	0.0
CPTP	1.408125877380371	0.0
TAS1R3	2.3683061599731445	0.0
DVL1	2.254105806350708	0.0
MXRA8	1.8046202659606934	0.0
AURKAIP1	3.1484129428863525	0.0
CCNL2	1.7253143787384033	0.0
MRPL20-AS1	2.3089146614074707	0.0
MRPL20	2.051793336868286	0.0
AL391244.2	1.9197415113449097	0.0
ANKRD65	0.9835633039474487	0.0
AL391244.1	1.3642717599868774	0.0
LINC01770	2.5176026821136475	0.0
VWA1	1.5160046815872192	0.0
ATAD3C	1.4112627506256104	0.0
ATAD3B	1.8264750242233276	0.0
ATAD3A	1.5428266525268555	0.0
TMEM240	2.0513651371002197	0.0
SSU72	2.9018688201904297	0.0
AL645728.1	1.4349963665008545	0.0
FNDC10	1.693572759628296	0.0
AL691432.4	2.201108694076538	0.0
AL691432.2	1.6651581525802612	0.0
MIB2	1.537082314491272	0.0
MMP23B	1.4975793361663818	0.0
CDK11B	1.742314100265503	0.0
FO704657.1	1.432625412940979	0.0
SLC35E2B	1.4641921520233154	0.0
CDK11A	1.5780339241027832	0.0
SLC35E2A	1.6474095582962036	0.0
NADK	2.4311256408691406	0.0
GNB1	1.5316261053085327	0.0
AL109917.1	1.1782516241073608	0.0
CALML6	2.501206159591675	0.0
TMEM52	1.465854525566101	0.0
CFAP74	1.326379656791687	0.0
AL391845.2	1.3256487846374512	0.0
GABRD	2.1217925548553467	0.0
PRKCZ	1.116748571395874	0.0
AL590822.2	1.4948294162750244	0.0
PRKCZ-AS1	1.5637469291687012	0.0
FAAP20	1.546482801437378	0.0
SKI	1.2658871412277222	0.0
AL590822.3	1.4880390167236328	0.0
MORN1	0.8854161500930786	0.0
AL513477.2	1.4936704635620117	0.0
RER1	2.1784918308258057	0.0
PEX10	1.2434451580047607	0.0
PLCH2	1.6268459558486938	0.0
PANK4	3.6550674438476562	0.0
HES5	2.115480899810791	0.0
AL139246.5	2.4205667972564697	0.0
TNFRSF14-AS1	2.0519168376922607	0.0
TNFRSF14	1.4808789491653442	0.0
AL139246.3	1.9627758264541626	0.0
PRXL2B	1.3255727291107178	0.0
MMEL1	1.3851876258850098	0.0
TTC34	2.008873462677002	0.0
PRDM16-DT	1.7283508777618408	0.0
PRDM16	2.6511898040771484	0.0
AL354743.2	1.1267917156219482	0.0
ARHGEF16	1.36312997341156	0.0
AL512413.1	0.9104436635971069	0.0
MEGF6	0.8736613988876343	0.0
AL513320.1	1.0581755638122559	0.0
TPRG1L	1.401771903038025	0.0
WRAP73	1.40315842628479	0.0
TP73	0.8822260499000549	0.0
CCDC27	0.8904227614402771	0.0
SMIM1	1.274959683418274	0.0
LRRC47	0.9201358556747437	0.0
AL365330.1	0.6176036596298218	0.0
CEP104	0.9917663931846619	0.0
DFFB	1.7475683689117432	0.0
C1orf174	1.3652803897857666	0.0
LINC01134	1.2484564781188965	0.0
AL805961.1	0.8903623819351196	0.0
AJAP1	1.5242081880569458	0.0
Z98886.1	1.2910025119781494	0.0
NPHP4	1.1139075756072998	0.0
KCNAB2	3.4574687480926514	0.0
CHD5	1.8637491464614868	0.0
RPL22	1.6562329530715942	0.0
AL031847.1	0.8314194679260254	0.0
RNF207	1.3752334117889404	0.0
ICMT	3.525301933288574	0.0
LINC00337	1.150323748588562	0.0
GPR153	0.7938078045845032	0.0
ACOT7	1.2591071128845215	0.0
AL031848.2	4.190187454223633	0.0
HES2	1.2500627040863037	0.0
ESPN	5.501236438751221	0.0
TNFRSF25	1.705541968345642	0.0
PLEKHG5	1.457463264465332	0.0
NOL9	1.05961012840271	0.0
TAS1R1	1.154373049736023	0.0
ZBTB48	1.5661417245864868	0.0
KLHL21	1.2658510208129883	0.0
PHF13	1.4414377212524414	0.0
THAP3	1.4086012840270996	0.0
DNAJC11	1.4684892892837524	0.0
LINC01672	1.9894883632659912	0.0
AL591163.1	0.8014156222343445	0.0
CAMTA1-DT	1.2585551738739014	0.0
CAMTA1	0.8743657469749451	0.0
CAMTA1-IT1	1.3251856565475464	0.0
VAMP3	1.2052181959152222	0.0
Z98884.2	0.7635229825973511	0.0
PER3	1.364054560661316	0.0
Z98884.1	0.5286291241645813	0.0
UTS2	0.8214944005012512	0.0
TNFRSF9	1.1830183267593384	0.0
PARK7	1.1267147064208984	0.0
AL034417.4	3.2041800022125244	0.0
AL034417.3	1.3217756748199463	0.0
ERRFI1	1.2437329292297363	0.0
AL034417.2	1.2530617713928223	0.0
SLC45A1	1.1441667079925537	0.0
RERE	1.1688755750656128	0.0
RERE-AS1	1.6999502182006836	0.0
ENO1	1.5561496019363403	0.0
ENO1-AS1	0.9063200354576111	0.0
CA6	3.062765598297119	0.0
SLC2A5	1.0465701818466187	0.0
GPR157	1.6717705726623535	0.0
MIR34AHG	1.308154821395874	0.0
LNCTAM34A	4.180487155914307	0.0
H6PD	1.0918999910354614	0.0
SPSB1	1.2119464874267578	0.0
LINC02606	1.451646327972412	0.0
SLC25A33	1.072996973991394	0.0
