log2FoldChange	padj
TACSTD2	5.793449878692627	0.0
B2M	5.4555864334106445	0.0
PERP	2.5596554279327393	0.0
CST3	5.782231330871582	0.0
CLDN4	9.709909439086914	0.0
ADIRF	12.791741371154785	0.0
MALAT1	1.527890682220459	0.0
ANXA1	6.472025394439697	0.0
CAST	8.459939002990723	0.0
RPL17	3.0783183574676514	0.0
SAT1	3.2699217796325684	0.0
HSPB1	2.169450044631958	0.0
KRT5	13.011514663696289	0.0
HLA-B	5.071014881134033	0.0
CLU	4.5095953941345215	0.0
FXYD3	5.984584331512451	0.0
EEF1G	7.481116771697998	0.0
C19orf33	3.3255224227905273	0.0
NEAT1	2.493699073791504	0.0
SFN	5.550576686859131	0.0
HLA-A	4.34132194519043	0.0
UPK3BL1	32.957218170166016	0.0
ELF3	2.95760178565979	0.0
ATP6V0C	7.369143009185791	0.0
ZFP36	6.980131149291992	0.0
TRIM29	11.490923881530762	0.0
SDC1	8.942320823669434	0.0
S100A4	6.172134876251221	0.0
ANXA2	1.1060631275177002	0.0
PAX6	32.26486587524414	0.0
S100A11	1.572811245918274	0.0
DUSP1	5.673635959625244	0.0
TSPO	4.5457763671875	0.0
EMP1	6.435521602630615	0.0
RNASEK	5.658426761627197	0.0
ITM2B	1.6959691047668457	0.0
NME2	3.7523515224456787	0.0
GABARAP	5.907385349273682	0.0
HLA-C	2.670668125152588	0.0
TMSB4X	1.9037693738937378	0.0
LGALS3	3.5768704414367676	0.0
MIR205HG	32.26294708251953	0.0
BHLHE40	5.47869348526001	0.0
SNHG29	31.990345001220703	0.0
BAG1	2.3276402950286865	0.0
ALDH1A1	12.563165664672852	0.0
ALDH3A1	7.783404350280762	0.0
FOSB	8.5799560546875	0.0
BTG1	3.619320869445801	0.0
MT-CYB	1.1585969924926758	0.0
PPP1R15A	3.4464023113250732	0.0
RPS17	1.898173213005066	0.0
HLA-E	3.6850621700286865	0.0
SQSTM1	2.216923952102661	0.0
DSP	2.3645853996276855	0.0
LINC01578	31.606855392456055	0.0
TLE5	31.636268615722656	0.0
AHNAK	3.5862998962402344	0.0
SYT8	11.93893814086914	0.0
LYPD3	5.760476112365723	0.0
RPL36A	1.71123468875885	0.0
S100A6	5.347605228424072	0.0
CLDN1	13.872102737426758	0.0
ASPH	3.1577630043029785	0.0
JUNB	4.034152984619141	0.0
SNHG5	31.640771865844727	0.0
NDUFA13	1.6646406650543213	0.0
FAM83A	31.68419647216797	0.0
MICOS10	31.499258041381836	0.0
TOMM6	31.448747634887695	0.0
CD9	0.8952736854553223	0.0
UBC	1.7526932954788208	0.0
AQP3	3.753697633743286	0.0
RND3	6.13372802734375	0.0
CD55	3.544506072998047	0.0
JUN	4.694644927978516	0.0
EIF4A1	1.4522937536239624	0.0
CDKN1A	4.684009075164795	0.0
SH3BGRL3	2.013610363006592	0.0
LDHA	1.3677328824996948	0.0
GAS5	31.57839012145996	0.0
TXNIP	6.136906623840332	0.0
KLF5	2.188568592071533	0.0
SLPI	6.973130702972412	0.0
GLUL	2.5542094707489014	0.0
FOS	4.543659210205078	0.0
SERPINB5	9.403337478637695	0.0
MPZL2	10.787211418151855	0.0
CD99	5.600241661071777	0.0
MYL12B	1.0630160570144653	0.0
MT-CO3	0.8098497986793518	0.0
SNHG6	31.316503524780273	0.0
FTH1	0.7358030080795288	0.0
CLEC2B	31.63010597229004	0.0
S100A14	3.1385459899902344	0.0
CIRBP	1.4031949043273926	0.0
TMEM59	1.615310788154602	0.0
DAPL1	6.156446933746338	0.0
GSN	5.267863750457764	0.0
DNAJB1	2.4934892654418945	0.0
KRT12	14.9306001663208	0.0
MAL2	5.637611389160156	0.0
ATF3	4.899601936340332	0.0
EZR	1.2514607906341553	0.0
HOPX	5.4731903076171875	0.0
PDCD4	5.118130683898926	0.0
TRAPPC5	5.7371954917907715	0.0
KRT13	10.152259826660156	0.0
KRT15	10.026588439941406	0.0
S100A16	3.637119770050049	0.0
COMT	3.773662567138672	0.0
TMEM265	31.13165855407715	0.0
NQO1	2.1773743629455566	0.0
TGFBI	9.934846878051758	0.0
APOBEC3A	12.799839973449707	0.0
FABP5	1.0627875328063965	0.0
HES1	5.413464546203613	0.0
PPDPF	0.8995766639709473	0.0
H3F3B	0.6076865792274475	0.0
TMEM123	4.160863399505615	0.0
DENND2C	5.094631195068359	0.0
ZFP36L1	2.595236301422119	0.0
MT-CO1	0.6160117387771606	0.0
PLP2	5.469746112823486	0.0
PNRC1	2.1465365886688232	0.0
CCNL1	2.453022003173828	0.0
CRYAB	4.535763740539551	0.0
NFE2L2	2.814814805984497	0.0
NDRG1	6.733368873596191	0.0
MALL	6.636140823364258	0.0
PHLDA2	1.9729516506195068	0.0
DDX5	1.0547579526901245	0.0
TNFSF10	12.299015045166016	0.0
IL1RN	31.5089111328125	0.0
TMPRSS4	6.859584331512451	0.0
MT-ATP6	0.8191455602645874	0.0
KRT19	3.2417187690734863	0.0
CD44	5.461132526397705	0.0
TAGLN2	1.224870204925537	0.0
NR4A1	5.684326648712158	0.0
BTG2	4.636169910430908	0.0
SEPTIN7	30.825468063354492	0.0
RPL13A	0.5763157606124878	0.0
VAMP8	1.68501877784729	0.0
PSME1	3.431887626647949	0.0
MAFF	7.60252046585083	0.0
RPL21	0.5046177506446838	0.0
LMNA	1.5931000709533691	0.0
DSC3	10.721874237060547	0.0
IRF6	5.3018341064453125	0.0
PSAP	1.708536148071289	0.0
CSRP2	2.7627973556518555	0.0
YPEL5	2.939390182495117	0.0
TSTD1	1.696423888206482	0.0
ERICH5	4.493165969848633	0.0
MRPS24	5.649991512298584	0.0
ASAH1	2.3322677612304688	0.0
EHF	13.67704963684082	0.0
SLC2A1	2.473177433013916	0.0
UPK1B	9.709593772888184	0.0
MGST2	3.804708480834961	0.0
EIF1	0.49534517526626587	0.0
NFKBIA	1.8026186227798462	0.0
TM4SF1	7.700128555297852	0.0
TP53TG1	5.724107265472412	0.0
JUND	1.166153073310852	0.0
C18orf32	4.1875691413879395	0.0
MYL12A	1.0031505823135376	0.0
MICOS13	30.648998260498047	0.0
DSG1	11.118521690368652	0.0
JUP	2.0177907943725586	0.0
AGR2	30.99453353881836	0.0
ADM	5.647571563720703	0.0
KRT10	1.3023618459701538	0.0
SKP1	0.7185361385345459	0.0
TOB1	2.6963024139404297	0.0
SERINC2	4.954897403717041	0.0
DSC2	3.307206869125366	0.0
NR1D1	5.407022476196289	0.0
RPL41	0.36710646748542786	0.0
MT-ND1	0.8611771464347839	0.0
CXCL17	10.570111274719238	0.0
UBE2V1	4.256751537322998	0.0
S100A9	31.894094467163086	0.0
XIST	6.53838586807251	0.0
MARCKS	3.9829800128936768	0.0
IL18	5.951341152191162	0.0
CD82	5.939891815185547	0.0
ENO1	0.8989525437355042	0.0
MT-ND5	0.91785728931427	0.0
RBIS	30.615297317504883	0.0
IER2	1.3877562284469604	0.0
PLAAT4	30.89911460876465	0.0
NDUFA7	3.4423787593841553	0.0
GADD45B	3.5815348625183105	0.0
ZNF750	10.395072937011719	0.0
RORA	4.505432605743408	0.0
CHMP3	3.490959405899048	0.0
PET100	1.8201309442520142	0.0
LAPTM4A	0.9215438961982727	0.0
SLC20A1	3.0349810123443604	0.0
HSPA1A	3.373291492462158	0.0
CDKN2B	7.216547012329102	0.0
SEPTIN2	30.50453758239746	0.0
PTGES	5.088819980621338	0.0
VMP1	2.056553840637207	0.0
SCP2	1.933597445487976	0.0
NGRN	5.121779918670654	0.0
PSMA2	1.4403048753738403	0.0
SCGB2A1	7.829223155975342	0.0
HSPA1B	3.38425612449646	0.0
LRRFIP1	2.0725762844085693	0.0
NECTIN4	4.1183977127075195	0.0
AREG	11.126570701599121	0.0
LMO7	5.388283729553223	0.0
C9orf16	1.2304948568344116	0.0
NDUFB4	1.0518885850906372	0.0
KLF6	2.3424718379974365	0.0
KLF4	1.6963276863098145	0.0
ATP5F1E	0.655219554901123	0.0
CSTA	9.389741897583008	0.0
C4orf3	0.9082671403884888	0.0
NET1	3.7130227088928223	0.0
CHMP1B	2.2465803623199463	0.0
RHOV	3.3744571208953857	0.0
DEFB1	30.731782913208008	0.0
PRNP	3.3419454097747803	0.0
CSTB	0.7569736242294312	0.0
FRMD4B	7.740476608276367	0.0
PMAIP1	2.005249261856079	0.0
GLTP	3.471874713897705	0.0
TAPBP	5.980478286743164	0.0
C11orf96	6.9260101318359375	0.0
PRRG4	5.803898334503174	0.0
H19	31.110933303833008	0.0
MIR200CHG	7.208417892456055	0.0
MRPL33	1.3318605422973633	0.0
