log2FoldChange	padj
AL627309.1	6.848076820373535	0.0
AL627309.5	6.989799499511719	0.0
LINC01409	5.6738786697387695	0.0
FAM87B	6.588874816894531	0.0
LINC01128	5.41528844833374	0.0
LINC00115	5.560802936553955	0.0
FAM41C	6.079604148864746	0.0
AL645608.2	8.912071228027344	0.0
LINC02593	5.445062637329102	0.0
SAMD11	3.036336660385132	0.0
NOC2L	7.253049373626709	0.0
KLHL17	10.51892375946045	0.0
PLEKHN1	5.1329522132873535	0.0
PERM1	3.61327862739563	0.0
AL645608.7	2.404309034347534	0.0
HES4	6.688010215759277	0.0
ISG15	3.2188973426818848	0.0
AGRN	4.868876934051514	0.0
RNF223	2.096658945083618	0.0
C1orf159	2.2430484294891357	0.0
AL390719.3	2.266004800796509	0.0
AL390719.2	2.8967227935791016	0.0
TTLL10-AS1	4.306936740875244	7.19976938491236e-304
TTLL10	2.1241836547851562	9.195799552459003e-302
TNFRSF18	3.3936195373535156	9.617305488939776e-300
TNFRSF4	2.2589099407196045	3.8082211051921155e-296
SDF4	3.825099229812622	5.861774890565812e-291
B3GALT6	5.55157470703125	5.060133400409302e-286
C1QTNF12	5.8658647537231445	5.9939668749448e-285
UBE2J2	4.336541652679443	3.4989797104454647e-279
LINC01786	4.194976806640625	2.021486246534168e-273
SCNN1D	4.461014747619629	2.879221863983205e-273
ACAP3	2.3402528762817383	4.593651666254914e-273
PUSL1	10.537432670593262	2.3496834110133976e-267
INTS11	1.9473341703414917	6.8053279487698645e-261
CPTP	1.7665010690689087	2.748283582821653e-256
TAS1R3	4.2021965980529785	4.1361063596139436e-256
DVL1	8.16294002532959	5.527504126644948e-252
MXRA8	2.9235196113586426	3.1235199533185796e-251
AURKAIP1	4.216122627258301	8.047167300066548e-251
CCNL2	1.5173301696777344	1.3388672512594679e-250
MRPL20-AS1	4.909124851226807	1.6267518068551703e-250
MRPL20	2.70678973197937	2.1391120270821565e-250
AL391244.2	2.7389931678771973	4.637379782126717e-248
ANKRD65	2.038457155227661	6.945785289056945e-246
AL391244.1	3.128101348876953	7.340608477280939e-242
LINC01770	4.74397087097168	2.2392081017519783e-241
VWA1	4.224087715148926	5.096150538607528e-241
ATAD3C	2.8525798320770264	1.1616462734671847e-240
ATAD3B	13.063016891479492	5.347882188774711e-235
ATAD3A	4.71077823638916	1.2508285430597452e-234
TMEM240	3.6884524822235107	4.257016368206618e-233
SSU72	2.7088263034820557	3.5515857605542247e-228
AL645728.1	2.4106054306030273	9.593681281502058e-226
FNDC10	1.6078487634658813	5.458514522049767e-225
AL691432.4	1.9023690223693848	3.5697139528873093e-224
AL691432.2	2.7260844707489014	1.327234255351121e-222
MIB2	1.4439680576324463	7.996063778128028e-222
MMP23B	3.016380548477173	1.3967292255713022e-218
CDK11B	2.9176228046417236	1.9193680304271222e-215
FO704657.1	9.386256217956543	6.984660915542827e-214
SLC35E2B	3.0927772521972656	7.573161438601639e-214
CDK11A	5.883530616760254	2.7896652881717608e-213
SLC35E2A	3.927783489227295	6.236198612409926e-212
NADK	1.7988399267196655	2.739797851869788e-211
GNB1	1.3520503044128418	1.0041777243736208e-210
AL109917.1	1.6706576347351074	1.721290616161452e-210
CALML6	1.3990132808685303	4.7608211449076113e-209
TMEM52	1.657063603401184	3.5842148695185796e-205
CFAP74	1.4899333715438843	8.412435279537428e-200
AL391845.2	2.5615203380584717	2.802218281808209e-199
GABRD	3.090244770050049	4.109695590709449e-198
PRKCZ	3.039914608001709	1.6746592838647383e-196
AL590822.2	1.2138208150863647	8.920526606447279e-196
PRKCZ-AS1	3.10302996635437	5.384569768577253e-195
FAAP20	2.7174575328826904	3.737356378353771e-194
SKI	1.1301097869873047	4.2044361382604134e-194
AL590822.3	5.359905242919922	9.299675363764482e-188
MORN1	1.7207961082458496	2.1625939607984696e-186
AL513477.2	1.9594286680221558	6.117141253313702e-182
RER1	3.2549827098846436	9.398153711783348e-181
PEX10	7.757128715515137	1.2421297365280623e-180
PLCH2	12.029744148254395	4.065554903034011e-180
PANK4	1.0544540882110596	4.8550072401579785e-179
HES5	2.76767897605896	4.966108734571543e-179
AL139246.5	2.6937801837921143	2.1849060344912005e-177
TNFRSF14-AS1	3.272599458694458	8.896488084999613e-177
TNFRSF14	1.991058588027954	7.271506521924534e-175
AL139246.3	1.8214904069900513	3.126967252142486e-174
PRXL2B	2.1774542331695557	4.606248795113944e-174
MMEL1	3.032311201095581	5.19732256015007e-173
TTC34	5.5816450119018555	1.5165774553763492e-170
PRDM16-DT	1.5033009052276611	2.867295703994471e-170
PRDM16	1.5225062370300293	2.897286830748952e-170
AL354743.2	2.477269172668457	2.0221546406692916e-169
ARHGEF16	2.246367931365967	2.1399361339755116e-169
AL512413.1	2.5256521701812744	2.300872704169553e-167
MEGF6	2.5607500076293945	1.2171735451779966e-166
AL513320.1	3.3770220279693604	2.9979688264632444e-166
TPRG1L	3.7183072566986084	4.687810472275959e-162
WRAP73	3.044389247894287	7.177223939214731e-161
TP73	2.9328739643096924	3.356677719971251e-159
CCDC27	3.6130166053771973	6.434031643338558e-159
SMIM1	1.4193544387817383	1.7286387378105388e-158
LRRC47	1.6835556030273438	2.8375452030805796e-158
AL365330.1	1.3522833585739136	4.17622132183609e-158
CEP104	1.1949903964996338	2.5515281659734414e-157
DFFB	1.2704777717590332	7.946122842359698e-157
C1orf174	3.946854829788208	9.35333956573476e-157
LINC01134	1.6440507173538208	9.930690689596877e-157
AL805961.1	1.6054191589355469	4.767728216766708e-156
AJAP1	3.58689022064209	6.397540248208256e-154
Z98886.1	2.266472101211548	2.782488506541534e-153
NPHP4	6.682673454284668	3.0446980055456428e-151
KCNAB2	2.2222537994384766	9.504219136753675e-151
CHD5	2.7774243354797363	3.396718863482881e-150
RPL22	2.7850148677825928	4.945749813655786e-150
AL031847.1	2.177302598953247	2.1895287738564613e-148
RNF207	2.1032185554504395	2.7616483703173953e-148
ICMT	4.215704441070557	3.6037976023677586e-148
LINC00337	2.4848132133483887	2.423174855468965e-147
GPR153	2.607120990753174	4.664920056908637e-147
ACOT7	2.7820630073547363	7.259495785285041e-147
AL031848.2	3.2107062339782715	9.959659547144328e-147
HES2	2.1844253540039062	2.2153344393984457e-146
ESPN	4.943592071533203	5.2353216458965064e-145
TNFRSF25	1.467228651046753	2.4248487303751354e-143
PLEKHG5	4.065723896026611	3.470271181493718e-143
NOL9	6.159141540527344	3.7423325990810146e-141
TAS1R1	1.541871190071106	7.939188113932619e-141
ZBTB48	2.0014567375183105	8.261585807671527e-141
KLHL21	1.8132104873657227	1.8156163009167657e-140
PHF13	1.2515121698379517	9.249640102361584e-140
THAP3	4.374542236328125	1.307791137110345e-138
DNAJC11	10.410831451416016	3.7108022382950525e-138
LINC01672	5.7481369972229	5.22622123315749e-137
AL591163.1	3.0185587406158447	1.3105961915074406e-136
CAMTA1-DT	2.542106866836548	1.4562326870499314e-135
CAMTA1	2.2269201278686523	6.013749163342978e-134
CAMTA1-IT1	2.994558095932007	1.8362606617600533e-133
VAMP3	4.645009517669678	5.5061762677789075e-133
Z98884.2	3.71748948097229	1.9332883759199e-132
PER3	3.0187907218933105	5.246005116879927e-129
Z98884.1	1.076982855796814	6.410157666354485e-129
UTS2	3.136751890182495	6.967433903101727e-129
TNFRSF9	2.313689947128296	6.565957115585699e-127
PARK7	1.2937490940093994	2.584060092900486e-126
AL034417.4	1.267283320426941	2.1611476048842037e-125
AL034417.3	2.220209836959839	8.78250612142947e-124
ERRFI1	4.0933942794799805	4.2589900724545595e-123
AL034417.2	3.223745107650757	4.932335937540761e-123
SLC45A1	2.278092622756958	2.28977282683984e-122
RERE	3.1699323654174805	3.2723615307103423e-122
RERE-AS1	2.549487590789795	6.101561908856676e-122
ENO1	1.7756649255752563	1.0211604451571963e-121
ENO1-AS1	1.135221004486084	2.761543873906413e-121
CA6	1.1680026054382324	1.1402696065486975e-120
SLC2A5	3.079507827758789	1.9971895949156237e-119
GPR157	5.871458053588867	3.3209643934171576e-119
MIR34AHG	6.630882740020752	3.606962944390595e-119
LNCTAM34A	1.5103731155395508	4.566225398926269e-119
H6PD	5.16580057144165	7.781043861930769e-119
SPSB1	1.791500449180603	6.821003360970759e-118
LINC02606	1.3435540199279785	2.034497479328479e-117
SLC25A33	1.6196233034133911	3.7887500386304197e-116
TMEM201	2.8567631244659424	8.270024629900568e-116
PIK3CD	1.9886468648910522	1.7202567763084518e-114
PIK3CD-AS2	5.783792972564697	9.975321639509153e-114
CLSTN1	1.5375516414642334	9.99080953814169e-114
CTNNBIP1	1.0306286811828613	2.5040997132073678e-113
AL357140.1	2.3547232151031494	2.728882597883838e-113
LZIC	2.015562057495117	4.307976919679431e-112
AL357140.2	0.8125898241996765	1.845993790768427e-111
NMNAT1	3.259312868118286	6.289217070233602e-111
RBP7	3.699702739715576	7.992553035159201e-110
UBE4B	1.8526719808578491	1.1437101589767493e-109
KIF1B	2.0956661701202393	3.4522586293707684e-109
AL139424.3	4.321259021759033	3.765352944392543e-109
AL139424.2	0.811336100101471	8.299595042032968e-109
PGD	4.739242076873779	4.262460097629591e-108
CENPS	1.4069652557373047	6.203126363151767e-108
CORT	0.8319733738899231	1.1538046925061655e-107
DFFA	1.891762614250183	3.712801911734228e-107
AL354956.1	1.5059099197387695	7.542746764677237e-107
PEX14	2.0046133995056152	1.0212521689111856e-106
AL139423.2	1.4722713232040405	1.0466424685241473e-106
CASZ1	2.2361419200897217	1.3157286244176582e-106
AL139423.1	2.6222925186157227	2.0214792184755521e-106
TARDBP	1.6441729068756104	2.988797596484797e-106
AL109811.2	2.5419867038726807	4.527218724344826e-106
SRM	2.062037229537964	2.8531909063182375e-105
EXOSC10	1.2907501459121704	3.0635195985431476e-105
AL109811.1	1.4299050569534302	1.573418572018745e-104
EXOSC10-AS1	2.79327392578125	1.577646921360887e-104
MTOR	0.9217553734779358	2.2203496103610181e-103
MTOR-AS1	1.5754382610321045	4.125591121867369e-103
ANGPTL7	1.3708937168121338	7.487531640374862e-103
UBIAD1	2.0154409408569336	1.6599409819532403e-102
AL031291.1	4.0434675216674805	2.8611156688209492e-102
DISP3	1.863358974456787	1.1209638074078e-101
AL031731.1	1.5467721223831177	3.143230808850132e-101
FBXO2	4.342830181121826	1.0188702471925022e-100
FBXO44	4.96427583694458	5.484951705993621e-100
FBXO6	0.8424940705299377	6.872823690967026e-100
MAD2L2	3.583031415939331	7.741151892269463e-100
DRAXIN	1.4171992540359497	6.370601446067512e-98
AGTRAP	2.2311978340148926	7.374720453086102e-98
C1orf167	1.17715585231781	1.6900908303262996e-97
MTHFR	1.3633447885513306	5.384167635600019e-97
CLCN6	6.068228721618652	8.880246809359394e-97
AL021155.5	5.669589042663574	1.9728970440316603e-96
KIAA2013	1.4467840194702148	1.5187107071675935e-95
PLOD1	3.4351632595062256	2.34279465434423e-95
AL096840.2	0.9132189154624939	3.46702148027122e-95
MFN2	1.361322283744812	4.823985521408271e-95
MIIP	2.62623929977417	1.0661522951470624e-94
TNFRSF8	1.4434877634048462	1.3066149885883298e-94
TNFRSF1B	1.2174526453018188	1.650930638246377e-94
VPS13D	3.676968812942505	6.187433902012934e-94
LINC02766	2.0808892250061035	9.174363833246915e-94
DHRS3	2.09847092628479	9.502190742359682e-94
AC254633.1	3.755484104156494	3.2740292179408295e-93
LRRC38	1.4516960382461548	1.7546862181660932e-92
PDPN	2.384336233139038	5.846632540671369e-92
PRDM2	2.9603304862976074	1.7591727592773388e-91
KAZN	4.077338695526123	3.514633858613752e-91
AL357873.1	4.132804870605469	3.6952374207616284e-91
AL031293.1	2.5381522178649902	6.003701850916419e-91
TMEM51-AS1	2.9001669883728027	1.3203880579797267e-90
TMEM51	2.958019971847534	1.0131219322855382e-89
FHAD1	4.576168060302734	3.152826095046359e-89
AL031283.2	4.1450276374816895	7.276813669570906e-89
AL031283.1	1.189469575881958	1.0456519218069648e-88
EFHD2	0.5187495946884155	1.1150579967561107e-87
CTRC	2.842510938644409	5.69509485051487e-87
CELA2A	3.874565362930298	7.262771727880368e-87
CASP9	2.714280843734741	3.166867121624378e-86
DNAJC16	3.1361441612243652	7.318101704013516e-85
AGMAT	4.95001220703125	1.0644110432333961e-84
AL121992.1	9.46774959564209	4.674754895837442e-84
DDI2	6.465946674346924	1.5106511614873587e-83
