log2FoldChange	padj
AL627309.1	8.179162979125977	2.0144697818278153e-302
AL627309.5	12.75379753112793	4.821500899880723e-215
LINC01409	8.972368240356445	1.2285342389433399e-208
FAM87B	10.500814437866211	2.094082964874148e-199
LINC01128	2.2062220573425293	1.8964389433926353e-179
LINC00115	1.814819097518921	2.6870929785595903e-165
FAM41C	11.308550834655762	1.2030677621130259e-157
AL645608.2	7.4612345695495605	9.615908910046001e-153
LINC02593	4.799636363983154	1.4230042524482602e-152
SAMD11	10.82010555267334	6.951243315126409e-143
NOC2L	5.232603073120117	2.200405288479546e-141
KLHL17	2.1665170192718506	5.26180705533458e-138
PLEKHN1	6.091080665588379	1.659438173281612e-126
PERM1	5.016454219818115	1.6661226907377683e-125
AL645608.7	5.748889446258545	2.864804725854053e-125
HES4	10.663087844848633	3.7537716616431737e-125
ISG15	6.115493297576904	5.336556168494671e-122
AGRN	10.47282886505127	2.2756240078490123e-115
RNF223	6.413991451263428	2.947266401506261e-112
C1orf159	4.267866611480713	1.0537223939222299e-111
AL390719.3	9.976099967956543	7.3625978716442e-111
AL390719.2	6.133444309234619	1.778660629735288e-108
TTLL10-AS1	7.175490856170654	8.429192070326115e-105
TTLL10	9.852934837341309	4.8334693145964597e-104
TNFRSF18	8.56395435333252	8.027412495403303e-104
TNFRSF4	9.555874824523926	2.373484230814255e-103
SDF4	8.490629196166992	2.441582439946425e-102
B3GALT6	3.169809341430664	1.3143783948962362e-100
C1QTNF12	1.4198113679885864	1.4682861621233435e-99
UBE2J2	5.268501281738281	6.6203322861521304e-99
LINC01786	4.82003927230835	1.5336226645636076e-95
SCNN1D	1.941786289215088	8.036175036729602e-93
ACAP3	6.721479415893555	1.0721298050286514e-92
PUSL1	3.456920623779297	1.1994598228736302e-92
INTS11	2.6248714923858643	2.2074829836172818e-92
CPTP	9.744202613830566	2.282431896922543e-92
TAS1R3	9.270291328430176	1.9454512193773825e-91
DVL1	9.034758567810059	8.912797860861095e-89
MXRA8	5.054051399230957	3.0578899217777053e-88
AURKAIP1	3.1974129676818848	5.573216789383439e-88
CCNL2	10.26782512664795	2.2967468127505566e-87
MRPL20-AS1	4.547826290130615	4.46612954268766e-87
MRPL20	1.8267784118652344	1.9336482836842523e-86
AL391244.2	2.8346166610717773	1.7587967572564617e-85
ANKRD65	3.354166269302368	2.955239922686778e-84
AL391244.1	5.50975227355957	2.955239922686778e-84
LINC01770	3.7889575958251953	2.829082029366508e-83
VWA1	9.151848793029785	3.65711905365609e-83
ATAD3C	2.540971279144287	3.7110413903586e-83
ATAD3B	10.164443016052246	1.169772738352001e-81
ATAD3A	10.04995346069336	3.9913527105165554e-79
TMEM240	3.1153202056884766	5.743661125733252e-79
SSU72	1.7867902517318726	8.41609429933337e-79
AL645728.1	1.9655022621154785	1.1003366240650857e-78
FNDC10	5.358384609222412	1.0196312760386104e-77
AL691432.4	1.273193359375	3.0444417421379785e-77
AL691432.2	2.0849077701568604	4.825890305412436e-77
MIB2	5.31049919128418	3.581373691957557e-76
MMP23B	7.441379070281982	3.5442069174090257e-75
CDK11B	5.179592609405518	6.596733067536434e-75
FO704657.1	1.9092918634414673	8.008002971517716e-75
SLC35E2B	3.8145816326141357	1.0104683069773542e-74
CDK11A	6.7962470054626465	1.834182745528297e-74
SLC35E2A	5.449191570281982	3.861388475574292e-74
NADK	10.973447799682617	8.157139425000583e-74
GNB1	9.6400728225708	1.0373505027620345e-73
AL109917.1	2.4352011680603027	1.045939331719419e-73
CALML6	3.9929373264312744	6.683716331470906e-73
TMEM52	10.860108375549316	1.266858659118976e-72
CFAP74	1.3677408695220947	1.9595592135853628e-72
AL391845.2	0.6244866251945496	3.4991136909539206e-72
GABRD	1.2807519435882568	7.211171163847453e-72
PRKCZ	6.651366233825684	1.571818955584312e-71
AL590822.2	2.1986162662506104	2.7429166023495645e-71
PRKCZ-AS1	8.839422225952148	4.533512503422765e-71
FAAP20	3.856198310852051	1.6625327557926907e-69
SKI	2.586357593536377	4.962693718654733e-69
AL590822.3	1.9085025787353516	9.229153719113705e-69
MORN1	3.879411458969116	7.79550747531008e-68
AL513477.2	1.2676405906677246	9.172362207495919e-67
RER1	3.2811875343322754	9.94716384048516e-67
PEX10	1.4836986064910889	1.0296386400446422e-66
PLCH2	9.491254806518555	4.5226227345894777e-66
PANK4	2.6932485103607178	1.196991947659211e-64
HES5	10.050493240356445	3.609362794944747e-63
AL139246.5	3.227278709411621	5.446725520621724e-63
TNFRSF14-AS1	4.454461574554443	2.409954075554056e-62
TNFRSF14	11.394113540649414	1.0158349182500568e-60
AL139246.3	1.0574694871902466	1.4397241320028644e-60
PRXL2B	7.3878021240234375	4.993383959493602e-60
MMEL1	4.8877387046813965	1.5533891093731362e-59
TTC34	1.7330883741378784	1.902230030915505e-59
PRDM16-DT	2.6110942363739014	1.2434707715159824e-58
PRDM16	0.8805229663848877	1.5649754327932834e-58
AL354743.2	2.5457098484039307	2.4802739366616792e-58
ARHGEF16	7.307212829589844	3.22826797889795e-58
AL512413.1	6.857743740081787	8.244030250523154e-58
MEGF6	9.460274696350098	1.1546676523446474e-57
AL513320.1	10.57380485534668	6.716726028626312e-57
TPRG1L	0.9400982856750488	7.985186459615942e-57
WRAP73	2.500229597091675	8.410167471801364e-57
TP73	1.9802831411361694	5.436677909052971e-56
CCDC27	6.211256980895996	1.0700366902597805e-55
SMIM1	0.8357509970664978	1.675081031176108e-55
LRRC47	3.1577417850494385	7.610997304589458e-55
AL365330.1	0.8739737272262573	1.740955610233051e-54
CEP104	10.928739547729492	2.055236653578326e-54
DFFB	10.080626487731934	3.25313240821283e-54
C1orf174	7.137803077697754	8.781869538860019e-54
