log2FoldChange	padj
AL627309.1	2.0807716846466064	0.0
AL627309.5	3.3837265968322754	0.0
LINC01409	2.1304616928100586	0.0
FAM87B	1.9636764526367188	0.0
LINC01128	1.6637234687805176	0.0
LINC00115	3.812350273132324	0.0
FAM41C	1.0762068033218384	0.0
AL645608.2	2.2166504859924316	0.0
LINC02593	1.4099093675613403	0.0
SAMD11	1.7540385723114014	0.0
NOC2L	2.4154510498046875	0.0
KLHL17	1.7947237491607666	0.0
PLEKHN1	2.953448534011841	0.0
PERM1	1.5361032485961914	0.0
AL645608.7	4.058018684387207	0.0
HES4	1.0735328197479248	0.0
ISG15	2.3977465629577637	0.0
AGRN	1.3892936706542969	0.0
RNF223	3.131342887878418	0.0
C1orf159	1.1073191165924072	0.0
AL390719.3	2.0551655292510986	0.0
AL390719.2	1.329214334487915	0.0
TTLL10-AS1	2.2575085163116455	0.0
TTLL10	2.2824785709381104	0.0
TNFRSF18	1.3590551614761353	0.0
TNFRSF4	2.8539910316467285	0.0
SDF4	1.4406658411026	0.0
B3GALT6	3.2604081630706787	0.0
C1QTNF12	1.881595492362976	0.0
UBE2J2	2.5664291381835938	0.0
LINC01786	0.943221390247345	0.0
SCNN1D	0.7911748290061951	0.0
ACAP3	1.2483876943588257	0.0
PUSL1	1.8869401216506958	0.0
INTS11	0.991385281085968	0.0
CPTP	1.1909514665603638	0.0
TAS1R3	1.7542316913604736	0.0
DVL1	2.0601372718811035	0.0
MXRA8	2.755831003189087	0.0
AURKAIP1	1.7884379625320435	0.0
CCNL2	2.183682918548584	0.0
MRPL20-AS1	2.0463836193084717	0.0
MRPL20	3.2992188930511475	0.0
AL391244.2	0.8434528708457947	0.0
ANKRD65	1.437799096107483	0.0
AL391244.1	0.8774367570877075	0.0
LINC01770	1.9115569591522217	0.0
VWA1	1.1316537857055664	0.0
ATAD3C	0.8976294994354248	0.0
ATAD3B	1.6476279497146606	0.0
ATAD3A	1.335638403892517	0.0
TMEM240	2.0100512504577637	0.0
SSU72	2.2701539993286133	0.0
AL645728.1	2.3542184829711914	0.0
FNDC10	3.172161817550659	0.0
AL691432.4	0.952089786529541	0.0
AL691432.2	0.9752072095870972	0.0
MIB2	1.216681957244873	0.0
MMP23B	2.200854778289795	0.0
CDK11B	1.839143991470337	0.0
FO704657.1	1.4201180934906006	0.0
SLC35E2B	2.284886598587036	0.0
CDK11A	2.199712038040161	0.0
SLC35E2A	1.2081352472305298	0.0
NADK	0.7341945767402649	0.0
GNB1	1.7868578433990479	0.0
AL109917.1	1.7230184078216553	0.0
CALML6	2.070875883102417	0.0
TMEM52	2.1369593143463135	0.0
CFAP74	2.663645029067993	0.0
AL391845.2	1.6221328973770142	0.0
GABRD	2.9602630138397217	0.0
PRKCZ	0.8911956548690796	0.0
AL590822.2	0.9529227614402771	0.0
PRKCZ-AS1	1.3227665424346924	0.0
FAAP20	1.6492063999176025	0.0
SKI	0.7484850883483887	0.0
AL590822.3	1.3145320415496826	0.0
MORN1	1.9514821767807007	0.0
AL513477.2	0.8599990010261536	0.0
RER1	3.508418083190918	0.0
PEX10	2.1406846046447754	0.0
PLCH2	1.8583340644836426	0.0
PANK4	0.8154504299163818	0.0
HES5	0.9199917912483215	0.0
AL139246.5	1.86090087890625	0.0
TNFRSF14-AS1	0.8235166668891907	0.0
TNFRSF14	0.6579623818397522	0.0
AL139246.3	0.7910841107368469	0.0
PRXL2B	1.0987857580184937	0.0
MMEL1	0.9932937622070312	0.0
TTC34	1.1640557050704956	0.0
PRDM16-DT	0.8276761174201965	0.0
PRDM16	2.2401556968688965	0.0
AL354743.2	1.5381487607955933	0.0
ARHGEF16	1.4948381185531616	0.0
AL512413.1	0.6600919961929321	0.0
MEGF6	1.6200898885726929	0.0
AL513320.1	0.8193352818489075	0.0
TPRG1L	0.7236875295639038	0.0
WRAP73	0.9585990309715271	0.0
TP73	2.1186070442199707	0.0
CCDC27	1.1890041828155518	0.0
SMIM1	1.6879979372024536	0.0
LRRC47	1.7829519510269165	0.0
AL365330.1	1.8082183599472046	0.0
CEP104	2.137620210647583	0.0
DFFB	1.3436377048492432	0.0
C1orf174	3.183485269546509	0.0
LINC01134	1.3478931188583374	0.0
AL805961.1	2.477013111114502	0.0
AJAP1	1.9916609525680542	0.0
Z98886.1	0.9503190517425537	0.0
NPHP4	1.1142432689666748	0.0
KCNAB2	2.135643482208252	0.0
CHD5	0.9345505833625793	0.0
RPL22	2.268397331237793	0.0
AL031847.1	0.8421393036842346	0.0
RNF207	0.714590847492218	0.0
ICMT	1.673000454902649	0.0
LINC00337	1.5002790689468384	0.0
GPR153	1.314224362373352	0.0
ACOT7	1.047652006149292	0.0
AL031848.2	1.7317863702774048	0.0
HES2	0.7786926031112671	0.0
ESPN	0.7758102416992188	0.0
TNFRSF25	2.7583935260772705	0.0
PLEKHG5	2.3788094520568848	0.0
NOL9	0.9271793961524963	0.0
TAS1R1	0.9667476415634155	0.0
ZBTB48	1.4341418743133545	0.0
KLHL21	2.247437000274658	0.0
PHF13	1.6895642280578613	0.0
THAP3	2.129526376724243	0.0
DNAJC11	1.1661077737808228	0.0
LINC01672	0.6802213191986084	0.0
AL591163.1	1.1296900510787964	0.0
CAMTA1-DT	0.9438700675964355	0.0
CAMTA1	0.9655174016952515	0.0
CAMTA1-IT1	1.4093103408813477	0.0
VAMP3	1.3223958015441895	0.0
Z98884.2	1.3162230253219604	0.0
PER3	0.6195071935653687	0.0
Z98884.1	1.8515912294387817	0.0
UTS2	2.039050340652466	0.0
TNFRSF9	1.2753874063491821	0.0
PARK7	1.6316932439804077	0.0
AL034417.4	0.6239261627197266	0.0
AL034417.3	1.052661418914795	0.0
ERRFI1	0.8269358277320862	0.0
AL034417.2	1.0265421867370605	0.0
SLC45A1	1.908240556716919	0.0
RERE	1.1515055894851685	0.0
RERE-AS1	2.9256365299224854	0.0
ENO1	1.5921136140823364	0.0
ENO1-AS1	1.9036240577697754	0.0
CA6	1.7531710863113403	0.0
SLC2A5	1.2719645500183105	0.0
GPR157	1.527189016342163	0.0
MIR34AHG	1.6693841218948364	0.0
LNCTAM34A	1.2107924222946167	0.0
H6PD	0.5238690972328186	0.0
SPSB1	0.8003380298614502	0.0
LINC02606	0.6490204930305481	0.0
SLC25A33	2.296165943145752	0.0
TMEM201	1.3897119760513306	0.0
PIK3CD	0.7479363679885864	0.0
PIK3CD-AS2	0.9069245457649231	0.0
CLSTN1	1.2136579751968384	0.0
CTNNBIP1	2.0187289714813232	0.0
AL357140.1	0.5916617512702942	0.0
LZIC	2.4949898719787598	0.0
AL357140.2	2.0462698936462402	0.0
NMNAT1	0.5322365164756775	0.0
RBP7	2.016740560531616	0.0
UBE4B	0.5406769514083862	0.0
KIF1B	1.724959373474121	0.0
AL139424.3	2.0981929302215576	0.0
AL139424.2	0.9985719323158264	0.0
PGD	1.6146812438964844	0.0
CENPS	2.33471417427063	0.0
CORT	2.114531993865967	0.0
DFFA	0.5886766910552979	0.0
AL354956.1	1.9280815124511719	0.0
PEX14	1.3541759252548218	0.0
AL139423.2	1.187347650527954	0.0
CASZ1	1.2134543657302856	0.0
AL139423.1	0.5862531065940857	0.0
TARDBP	2.0598528385162354	0.0
AL109811.2	0.6267267465591431	0.0
SRM	1.4100592136383057	0.0
EXOSC10	0.5691123008728027	0.0
AL109811.1	1.0222502946853638	0.0
EXOSC10-AS1	1.1600799560546875	0.0
MTOR	1.4070402383804321	0.0
MTOR-AS1	1.3946319818496704	0.0
ANGPTL7	0.659828782081604	0.0
UBIAD1	0.6147293448448181	0.0
AL031291.1	0.8565698266029358	0.0
DISP3	1.564789891242981	0.0
AL031731.1	1.3908087015151978	0.0
FBXO2	1.6047052145004272	0.0
FBXO44	1.127084493637085	0.0
FBXO6	0.9277533292770386	0.0
MAD2L2	0.7066537141799927	0.0
DRAXIN	1.0210386514663696	0.0
AGTRAP	0.656244158744812	0.0
C1orf167	0.5797051191329956	0.0
MTHFR	0.6551031470298767	0.0
CLCN6	0.7581737041473389	0.0
AL021155.5	1.0250217914581299	0.0
KIAA2013	1.633563756942749	0.0
PLOD1	1.4464458227157593	0.0
AL096840.2	0.9599919319152832	0.0
MFN2	1.246401309967041	0.0
MIIP	2.0288102626800537	0.0
TNFRSF8	1.810773253440857	0.0
TNFRSF1B	1.0168441534042358	0.0
VPS13D	2.0236244201660156	0.0
LINC02766	1.4853302240371704	0.0
DHRS3	1.366126298904419	0.0
AC254633.1	0.7603707313537598	0.0
LRRC38	1.2220849990844727	0.0
PDPN	0.8508589267730713	0.0
PRDM2	0.551548957824707	0.0
KAZN	0.5352426767349243	0.0
AL357873.1	1.819661021232605	0.0
AL031293.1	1.5505635738372803	0.0
TMEM51-AS1	1.7398635149002075	0.0
TMEM51	0.5119661688804626	0.0
FHAD1	1.5321080684661865	0.0
AL031283.2	0.8629235625267029	0.0
AL031283.1	0.9180377721786499	0.0
EFHD2	1.3052642345428467	0.0
CTRC	0.7434192299842834	0.0
CELA2A	0.7758848071098328	0.0
CASP9	1.3352667093276978	0.0
DNAJC16	1.1886337995529175	0.0
AGMAT	0.5349976420402527	0.0
AL121992.1	0.9246554374694824	0.0
DDI2	0.8909844756126404	0.0
PLEKHM2	0.8734790086746216	0.0
AL450998.3	1.6517083644866943	0.0
SLC25A34	1.4904987812042236	0.0
SLC25A34-AS1	0.9632372260093689	0.0
FBLIM1	0.7661970257759094	0.0
UQCRHL	1.1138147115707397	0.0
AL450998.2	1.3106621503829956	0.0
SPEN	1.4009087085723877	0.0
ZBTB17	2.426072835922241	0.0
SRARP	1.3138537406921387	0.0
HSPB7	1.7321096658706665	0.0
CLCNKA	1.3865052461624146	0.0
CLCNKB	1.1277379989624023	0.0
FAM131C	0.4335114359855652	0.0
EPHA2	1.0940804481506348	0.0
AL451042.2	1.1516470909118652	0.0
AL451042.1	0.9711202383041382	0.0
ARHGEF19	0.5701716542243958	0.0
AL109627.1	1.0389695167541504	0.0
CPLANE2	1.8037983179092407	0.0
FBXO42	0.5634979009628296	0.0
SZRD1	1.603055477142334	0.0
SPATA21	1.2331252098083496	0.0
NECAP2	0.5583454370498657	0.0
LINC01772	1.9134490489959717	0.0
AL137802.2	1.2513960599899292	0.0
LINC01783	1.1321371793746948	0.0
NBPF1	1.2880690097808838	0.0
CROCC	1.0705747604370117	0.0
BX284668.2	2.1427314281463623	0.0
BX284668.5	1.541936993598938	0.0
BX284668.6	1.6434078216552734	0.0
MFAP2	1.293741226196289	0.0
ATP13A2	0.63852459192276	0.0
SDHB	1.4629379510879517	0.0
PADI2	1.5539252758026123	0.0
LINC02783	1.3522913455963135	0.0
AL590644.1	2.1095054149627686	0.0
PADI1	1.202485203742981	0.0
PADI3	1.4252408742904663	0.0
RCC2-AS1	0.7584500908851624	0.0
RCC2	1.19994056224823	0.0
ARHGEF10L	0.9010729789733887	0.0
IGSF21	1.3852289915084839	0.0
KLHDC7A	0.9191436171531677	0.0
PAX7	1.2144994735717773	0.0
ALDH4A1	0.7358809113502502	0.0
IFFO2	1.1066920757293701	0.0
AL137127.1	1.6226032972335815	0.0
UBR4	0.6821051836013794	0.0
EMC1-AS1	1.5321564674377441	0.0
EMC1	0.8227373361587524	0.0
MRTO4	1.1093173027038574	0.0
AKR7A3	1.11561918258667	0.0
AKR7A2	0.8610084056854248	0.0
SLC66A1	0.9793708324432373	0.0
CAPZB	1.009329080581665	0.0
MICOS10	1.028689980506897	0.0
NBL1	0.6658968925476074	0.0
TMCO4	1.3775084018707275	0.0
OTUD3	0.6725611090660095	0.0
PLA2G2A	0.890291690826416	0.0
PLA2G5	1.3147647380828857	0.0
PLA2G2F	1.1188545227050781	0.0
UBXN10-AS1	1.2162542343139648	0.0
UBXN10	1.2392135858535767	0.0
LINC01141	1.3520680665969849	0.0
CAMK2N1	2.6106860637664795	0.0
MUL1	1.5733513832092285	0.0
FAM43B	1.992456316947937	0.0
CDA	0.9214245080947876	0.0
PINK1	1.3487210273742676	0.0
PINK1-AS	0.8561740517616272	0.0
DDOST	0.4855649471282959	0.0
KIF17	0.9222676157951355	0.0
SH2D5	0.8344628214836121	0.0
HP1BP3	0.6946657299995422	0.0
EIF4G3	2.270364999771118	0.0
AL031005.2	0.9584118127822876	0.0
ECE1	0.836718738079071	0.0
AL031728.1	0.8722147941589355	0.0
NBPF3	0.8746458292007446	0.0
ALPL	0.691927969455719	0.0
RAP1GAP	1.1983284950256348	0.0
USP48	0.6819835305213928	0.0
LDLRAD2	0.9242423176765442	0.0
HSPG2	0.6579563021659851	0.0
LINC01635	0.9688264727592468	0.0
LINC00339	0.8983640074729919	0.0
CDC42	1.0241968631744385	0.0
CDC42-AS1	1.1041932106018066	0.0
CDC42-IT1	0.6412748098373413	0.0
WNT4	1.9180192947387695	0.0
AL445253.1	1.0916775465011597	0.0
ZBTB40	0.8323250412940979	0.0
ZBTB40-IT1	1.6401830911636353	0.0
EPHA8	0.6216049194335938	0.0
C1QA	1.1369541883468628	0.0
C1QC	1.118706226348877	0.0
C1QB	1.4531066417694092	0.0
EPHB2	0.9075754880905151	0.0
TEX46	0.980283260345459	0.0
KDM1A	1.3345998525619507	0.0
LUZP1	0.39011433720588684	0.0
LINC01355	0.984591543674469	0.0
HNRNPR	0.9278239011764526	0.0
ZNF436	0.8091014623641968	0.0
ZNF436-AS1	0.8846167325973511	0.0
AL109936.2	1.0694879293441772	0.0
TCEA3	1.2084683179855347	0.0
ASAP3	0.9469184875488281	0.0
E2F2	1.5184744596481323	0.0
AL021154.1	1.5990540981292725	0.0
ID3	0.5190851092338562	0.0
AL450043.1	0.42624396085739136	0.0
MDS2	0.7288724184036255	0.0
RPL11	1.3679757118225098	0.0
ELOA-AS1	0.663034975528717	0.0
ELOA	0.9560670256614685	0.0
PITHD1	0.9000282287597656	0.0
LYPLA2	0.8639872670173645	0.0
GALE	0.796272873878479	0.0
HMGCL	1.0419037342071533	0.0
FUCA1	1.094195008277893	0.0
CNR2	0.4487120807170868	0.0
PNRC2	1.0884376764297485	0.0
SRSF10	0.7214871048927307	0.0
MYOM3	1.1770844459533691	0.0
IL22RA1	1.2508314847946167	0.0
IFNLR1	1.8328254222869873	0.0
LINC02800	0.6624059677124023	0.0
AL138902.1	1.069276213645935	0.0
GRHL3	0.9003623723983765	0.0
STPG1	0.928928017616272	0.0
NIPAL3	0.9903099536895752	0.0
RCAN3AS	0.947381854057312	0.0
RCAN3	1.7160018682479858	0.0
NCMAP-DT	0.9862900376319885	0.0
NCMAP	0.7999976873397827	0.0
SRRM1	0.6794371008872986	0.0
CLIC4	0.5246146321296692	0.0
RUNX3	1.652355670928955	0.0
AL031432.1	0.36116814613342285	0.0
