log2FoldChange	padj
KRT5	13.34276008605957	0.0
RPL17	3.5592041015625	0.0
SFN	6.231342792510986	0.0
PERP	2.51149320602417	0.0
CLU	4.820046901702881	0.0
ANXA1	6.575231075286865	0.0
EEF1G	8.195771217346191	0.0
RPS17	2.7781901359558105	0.0
MIR205HG	33.21360778808594	0.0
B2M	4.9784440994262695	0.0
ADIRF	12.765117645263672	0.0
SNHG29	32.92737579345703	0.0
MALAT1	1.470799207687378	0.0
SH3BGRL3	2.70786190032959	0.0
RPS10	1.448694109916687	0.0
CST3	5.704866409301758	0.0
LDHA	1.7841839790344238	0.0
TACSTD2	5.772181987762451	0.0
ALDH3A1	8.510821342468262	0.0
CXCL14	6.542037487030029	0.0
CAST	8.403582572937012	0.0
S100A2	11.487863540649414	0.0
RPL36A	2.153731107711792	0.0
NME2	4.123444557189941	0.0
RPL21	0.8444663286209106	0.0
SAT1	3.2493860721588135	0.0
TM4SF1	9.078584671020508	0.0
KRT14	12.089634895324707	0.0
EMP1	7.091643810272217	0.0
PHLDA2	2.5527188777923584	0.0
BTG1	4.064090251922607	0.0
FXYD3	5.623852729797363	0.0
RPL13A	1.0774234533309937	0.0
UPK3BL1	32.75505447387695	0.0
SERPINB5	10.06707763671875	0.0
HSPB1	1.98187255859375	0.0
GABARAP	6.257040023803711	0.0
TGFBI	11.200175285339355	0.0
GAS5	32.46418380737305	0.0
FOSL1	7.705935478210449	0.0
S100A16	4.500373363494873	0.0
CLDN4	9.32420825958252	0.0
SNHG5	32.48683547973633	0.0
FGFBP1	12.784354209899902	0.0
AREG	12.717450141906738	0.0
PLP2	6.283641338348389	0.0
RPL41	0.5637549757957458	0.0
TNFRSF12A	2.899789333343506	0.0
S100A4	5.979898452758789	0.0
RPL31	1.2993851900100708	0.0
EZR	1.4947161674499512	0.0
GJB2	12.958721160888672	0.0
ATP6V0C	7.255896091461182	0.0
ENO1	1.279294490814209	0.0
TMSB4X	2.0364699363708496	0.0
NQO1	2.819305658340454	0.0
C19orf33	3.107661247253418	0.0
RPL23A	0.6034262180328369	0.0
S100A11	1.4243574142456055	0.0
SDC1	8.865960121154785	0.0
KLF4	2.788109540939331	0.0
ANXA2	1.1105101108551025	0.0
PPP1R15A	3.384981393814087	0.0
KRT15	10.981339454650879	0.0
TSPO	4.418094158172607	0.0
S100A10	0.8642223477363586	0.0
DNAJB1	2.8230042457580566	0.0
FABP5	1.2038493156433105	0.0
TRIM29	11.094280242919922	0.0
KRT12	15.930740356445312	0.0
CIRBP	1.6223609447479248	0.0
FOSB	8.383519172668457	0.0
RPL26	0.525314450263977	0.0
IGFBP7	5.8431854248046875	0.0
CD99	6.0659332275390625	0.0
YPEL5	3.7900049686431885	0.0
GJB6	32.46199035644531	0.0
MIF	0.6289352774620056	0.0
ZFP36	6.459717750549316	0.0
NDUFA4L2	10.09263801574707	0.0
RNASEK	5.538147449493408	0.0
PNRC1	2.5034098625183105	0.0
HLA-B	4.47618293762207	0.0
DUSP1	5.308935642242432	0.0
ASPH	3.4308013916015625	0.0
TOMM6	31.712087631225586	0.0
ITM2B	1.4658290147781372	0.0
FAM83A	32.024559020996094	0.0
LGALS3	3.3702545166015625	0.0
S100A6	5.466127872467041	0.0
RPS29	0.5835387110710144	0.0
MALL	7.367877006530762	0.0
IER2	1.7272077798843384	0.0
RPS27	0.5997621417045593	0.0
BAG1	2.145073175430298	0.0
RPL7	0.6946130394935608	0.0
PKM	1.1535111665725708	0.0
KLF5	2.471808910369873	0.0
HMGN3	1.2650452852249146	0.0
GSN	5.803950786590576	0.0
C11orf96	7.80723237991333	0.0
RPL34	0.630835235118866	0.0
FOS	4.370480060577393	0.0
EIF4A1	1.547453761100769	0.0
HLA-A	3.887679100036621	0.0
SNHG6	31.599872589111328	0.0
FTH1	0.9765004515647888	0.0
JUNB	3.863039016723633	0.0
TXN	0.7850296497344971	0.0
GJB3	11.230271339416504	0.0
CDKN1A	4.863122940063477	0.0
RPLP1	0.5299173593521118	0.0
H3F3B	0.7942508459091187	0.0
NEAT1	1.8367117643356323	0.0
KRT10	1.690901756286621	0.0
MICOS10	31.52932357788086	0.0
MT-CYB	0.9406847357749939	0.0
TAGLN2	1.4282636642456055	0.0
CD44	5.862210750579834	0.0
COL17A1	6.7019362449646	0.0
LMNA	1.9487478733062744	0.0
PRNP	4.071788311004639	0.0
LRRFIP1	2.713864326477051	0.0
EIF1	0.6992217302322388	0.0
MIR22HG	4.858496189117432	0.0
NET1	4.703271389007568	0.0
CLDN1	13.620388984680176	0.0
SOX15	2.5854332447052	0.0
CSRP2	2.779705047607422	0.0
HLA-C	2.4382705688476562	0.0
ALDH1A1	12.216056823730469	0.0
PAX6	31.5214786529541	0.0
IGFBP2	1.5594590902328491	0.0
CLTB	1.6577647924423218	0.0
SYT8	11.484841346740723	0.0
GAPDH	0.47807806730270386	0.0
MCL1	1.574031114578247	0.0
ARF6	2.035186767578125	0.0
RPLP2	0.4305817186832428	0.0
IGFBP6	7.1310811042785645	0.0
UBC	1.457553744316101	0.0
RPS20	1.106616735458374	0.0
ZFAND5	2.2566423416137695	0.0
TOB1	3.2402491569519043	0.0
JUN	4.280632972717285	0.0
PHLDA1	4.1623005867004395	0.0
AHNAK	3.31866717338562	0.0
YWHAZ	0.8920573592185974	0.0
PPDPF	0.9363758563995361	0.0
RTN4	1.3152132034301758	0.0
TRIB1	5.101043224334717	0.0
EPHA2	8.73709487915039	0.0
LYPD3	5.608889579772949	0.0
TKT	0.945473313331604	0.0
RPS15A	0.45587801933288574	0.0
ARID5B	5.519706726074219	0.0
SRSF5	1.2109346389770508	0.0
SLC2A1	2.787470579147339	0.0
RPS25	0.37908658385276794	0.0
KCNMA1	7.525909423828125	0.0
SGK1	1.9312424659729004	0.0
YBX3	0.8060272336006165	0.0
RAB4A	2.211663246154785	0.0
KLF3	2.7018611431121826	0.0
TGIF1	1.7536391019821167	0.0
CRYAB	4.724837303161621	0.0
RPS6	0.4165723919868469	0.0
FHL2	5.592629909515381	0.0
KLF6	2.6957342624664307	0.0
RPL37A	0.5052490234375	0.0
RPL10A	0.4227657616138458	0.0
TMSB10	0.5282083749771118	0.0
