log2FoldChange	padj
AL627309.1	3.236978054046631	0.0
AL627309.5	2.9011752605438232	0.0
LINC01409	3.394866704940796	0.0
FAM87B	3.170172691345215	0.0
LINC01128	3.694418430328369	0.0
LINC00115	2.180182456970215	0.0
FAM41C	2.8771018981933594	0.0
AL645608.2	4.173859119415283	0.0
LINC02593	2.7859628200531006	0.0
SAMD11	2.9761455059051514	0.0
NOC2L	2.3361053466796875	0.0
KLHL17	3.0726521015167236	0.0
PLEKHN1	2.721534252166748	0.0
PERM1	2.3620944023132324	0.0
AL645608.7	2.3499693870544434	0.0
HES4	2.6233367919921875	0.0
ISG15	2.4217448234558105	0.0
AGRN	2.8020858764648438	0.0
RNF223	3.821525812149048	0.0
C1orf159	2.504734754562378	0.0
AL390719.3	1.9654542207717896	0.0
AL390719.2	1.5602052211761475	0.0
TTLL10-AS1	2.2703144550323486	0.0
TTLL10	1.8785594701766968	0.0
TNFRSF18	2.401244878768921	0.0
TNFRSF4	2.5136406421661377	0.0
SDF4	2.0650196075439453	0.0
B3GALT6	1.8633149862289429	0.0
C1QTNF12	1.3132773637771606	0.0
UBE2J2	1.294152021408081	0.0
LINC01786	3.326854944229126	0.0
SCNN1D	2.0299525260925293	0.0
ACAP3	2.034656524658203	0.0
PUSL1	2.292073965072632	0.0
INTS11	2.0954596996307373	0.0
CPTP	1.1500989198684692	0.0
TAS1R3	1.9721224308013916	0.0
DVL1	2.2026054859161377	0.0
MXRA8	2.496208667755127	0.0
AURKAIP1	1.8988430500030518	0.0
CCNL2	0.9442794919013977	0.0
MRPL20-AS1	2.481576681137085	0.0
MRPL20	2.9566335678100586	0.0
AL391244.2	2.820178270339966	0.0
ANKRD65	1.8789479732513428	0.0
AL391244.1	1.6224302053451538	0.0
LINC01770	1.792852520942688	0.0
VWA1	1.6796307563781738	0.0
ATAD3C	1.7603024244308472	0.0
ATAD3B	1.9234261512756348	0.0
ATAD3A	1.3004072904586792	0.0
TMEM240	1.705620527267456	0.0
SSU72	1.6154276132583618	0.0
AL645728.1	1.1870943307876587	0.0
FNDC10	1.5190752744674683	0.0
AL691432.4	1.3695248365402222	0.0
AL691432.2	1.6655805110931396	0.0
MIB2	0.9769651293754578	0.0
MMP23B	1.834710955619812	0.0
CDK11B	1.3892196416854858	0.0
FO704657.1	1.684860110282898	0.0
SLC35E2B	1.6280550956726074	0.0
CDK11A	2.224133014678955	0.0
SLC35E2A	1.4797765016555786	0.0
NADK	1.783970594406128	0.0
GNB1	2.3557474613189697	0.0
AL109917.1	1.5806504487991333	0.0
CALML6	1.3987491130828857	0.0
TMEM52	1.6804206371307373	0.0
