log2FoldChange	padj
KRT5	13.371392250061035	0.0
CLU	4.816265106201172	0.0
TGFBI	11.8342924118042	0.0
ALDH3A1	9.073186874389648	0.0
MIR205HG	33.295955657958984	0.0
KRT12	16.66827392578125	0.0
ADIRF	12.818422317504883	0.0
CXCL14	6.672685623168945	0.0
NQO1	3.354916572570801	0.0
SFN	5.695262432098389	0.0
ANXA1	6.438872337341309	0.0
PERP	2.3159220218658447	0.0
TACSTD2	5.479923248291016	0.0
COL17A1	7.642116546630859	0.0
MALAT1	1.466418981552124	0.0
IGFBP6	8.422966003417969	0.0
CRTAC1	10.5244722366333	0.0
ENO1	1.467880129814148	0.0
TKT	1.3370568752288818	0.0
GJB6	32.727394104003906	0.0
CST3	5.473127365112305	0.0
SAT1	3.1645114421844482	0.0
EMP1	6.790212631225586	0.0
LDHA	1.7346447706222534	0.0
GJB2	13.10739517211914	0.0
DUSP1	5.759550094604492	0.0
GSN	6.175028324127197	0.0
PAX6	32.36884307861328	0.0
MGARP	10.804429054260254	0.0
KRT14	12.32225513458252	0.0
SDC1	8.901657104492188	0.0
SYT8	12.167762756347656	0.0
ALDH1A1	12.833794593811035	0.0
FOSB	8.781579971313477	0.0
B2M	4.63485860824585	0.0
SERPINB5	9.865872383117676	0.0
HSPB1	1.8743823766708374	0.0
S100A4	6.1479973793029785	0.0
FOS	5.036909580230713	0.0
CAST	7.938154220581055	0.0
CTSV	2.8484132289886475	0.0
EEF1G	7.615678310394287	0.0
ZFP36	6.8771071434021	0.0
FXYD3	5.630356311798096	0.0
NEAT1	2.213679790496826	0.0
ASPH	3.3786873817443848	0.0
ANXA2	1.0419048070907593	0.0
GLUL	2.788937568664551	0.0
TRIM29	11.121271133422852	0.0
DAPL1	6.706629276275635	0.0
UPK3BL1	32.24051284790039	0.0
SNHG29	32.59059143066406	0.0
JUN	5.056481838226318	0.0
RPL17	2.99928617477417	0.0
JUNB	4.182556629180908	0.0
IGFBP7	5.932338714599609	0.0
C19orf33	3.1154563426971436	0.0
IVNS1ABP	5.144537448883057	0.0
HTRA1	8.733752250671387	0.0
DST	3.2801055908203125	0.0
DSP	2.2442915439605713	0.0
PLP2	6.081514358520508	0.0
IER3	5.580397129058838	0.0
CLDN1	13.721418380737305	0.0
NME2	3.7933762073516846	0.0
SNHG5	31.9796085357666	0.0
ERICH5	5.030643463134766	0.0
RPS17	2.198563575744629	0.0
GAS5	31.96071434020996	0.0
TSPO	4.229209899902344	0.0
ITM2B	1.4675543308258057	0.0
S100A6	5.383123874664307	0.0
EIF4A1	1.4967834949493408	0.0
SLC2A1	3.022099494934082	0.0
MICOS10	31.69192886352539	0.0
TMSB4X	1.7691097259521484	0.0
PPP1R15A	3.2402031421661377	0.0
GABARAP	5.756115436553955	0.0
NTRK2	11.39929485321045	0.0
GJA1	2.039651393890381	0.0
HLA-A	3.761641502380371	0.0
S100A2	10.585199356079102	0.0
HMGN3	1.241568684577942	0.0
PRNP	4.007491588592529	0.0
KLF4	2.191911458969116	0.0
CD44	5.845165252685547	0.0
ATP6V0C	6.748398780822754	0.0
CLCA2	12.555685997009277	0.0
FTH1	0.887660801410675	0.0
MRPL33	1.8906152248382568	0.0
LMNA	1.9847221374511719	0.0
FAM83A	31.508302688598633	0.0
BCAM	4.189069747924805	0.0
ATF3	4.974802017211914	0.0
CAMK2N1	6.524770736694336	0.0
S100A10	0.7210827469825745	0.0
TOMM6	31.49137306213379	0.0
LGALS3	3.1511127948760986	0.0
IL18	6.62877082824707	0.0
IER2	1.8276830911636353	0.0
PSAP	2.017782211303711	0.0
CRYAB	5.210327625274658	0.0
UBC	1.6034626960754395	0.0
CLDN4	8.476243019104004	0.0
DNAJB1	2.6520867347717285	0.0
AHNAK	3.3234002590179443	0.0
CLTB	1.7941625118255615	0.0
PKM	0.9993885159492493	0.0
RASSF6	31.414426803588867	0.0
RPL36A	1.6121376752853394	0.0
IGFBP2	1.4596868753433228	0.0
RNASEK	5.197895526885986	0.0
AL391650.1	10.387970924377441	0.0
CD99	5.610508918762207	0.0
UPK1B	10.071195602416992	0.0
COMT	3.9851670265197754	0.0
TNS4	12.13923168182373	0.0
DSC3	10.918980598449707	0.0
LINC01578	31.245437622070312	0.0
CCNL1	2.6724162101745605	0.0
RND3	5.716667652130127	0.0
DSG1	11.294987678527832	0.0
YPEL5	3.381800651550293	0.0
EGR1	4.925511837005615	0.0
SUCO	2.560560464859009	0.0
SH3BGRL3	1.9033198356628418	0.0
LAMB3	5.480544090270996	0.0
MT1X	0.6040828227996826	0.0
MT-CYB	0.9506201148033142	0.0
BHLHE40	4.927945613861084	0.0
ARL4D	4.378297805786133	0.0
SNHG6	31.268634796142578	0.0
LYPD3	5.197857856750488	0.0
SEPTIN7	31.1467227935791	0.0
HSPA1B	3.624920129776001	0.0
HCAR2	9.867996215820312	0.0
TP53TG1	6.176459312438965	0.0
BTG1	3.1113526821136475	0.0
S100A11	0.985237181186676	0.0
DAAM1	3.1738297939300537	0.0
CIRBP	1.2871134281158447	0.0
SLC38A2	2.8757176399230957	0.0
SQSTM1	1.8323700428009033	0.0
MCL1	1.5001661777496338	0.0
