log2FoldChange	padj
AL627309.1	8.047718048095703	3.661803901272485e-179
AL627309.5	6.342278957366943	1.61926780849123e-169
LINC01409	5.3431830406188965	6.387225600269952e-163
FAM87B	4.049064636230469	1.0911958656861916e-159
LINC01128	4.374818325042725	4.1610728836888424e-158
LINC00115	5.19987678527832	2.899480557638578e-152
FAM41C	7.318542003631592	3.403001377329534e-151
AL645608.2	5.283641815185547	4.088510480233276e-141
LINC02593	5.146482944488525	5.708219092506589e-138
SAMD11	4.129990577697754	4.8610339342102884e-135
NOC2L	4.116328239440918	1.3029077060064695e-134
KLHL17	4.701113700866699	1.103694643627881e-133
PLEKHN1	7.365963935852051	1.0976780921735967e-129
PERM1	2.404933214187622	2.159675059037985e-124
AL645608.7	4.955922603607178	2.651207739538671e-122
HES4	4.38813591003418	8.314098755809583e-120
ISG15	4.789675712585449	2.8714167501494622e-112
AGRN	7.416057586669922	1.1372873465844474e-109
RNF223	2.927633762359619	8.867941975835076e-109
C1orf159	6.588206768035889	9.011975728988971e-109
AL390719.3	5.864600658416748	2.2008591005245468e-107
AL390719.2	4.42297887802124	2.4720304849337773e-107
TTLL10-AS1	3.6158859729766846	9.973521377801742e-107
TTLL10	5.173484802246094	5.5683691660343877e-104
TNFRSF18	7.391460418701172	1.4161708153453428e-102
TNFRSF4	2.9888482093811035	9.158725706881398e-101
SDF4	4.237397193908691	1.599468189634376e-100
B3GALT6	4.682555198669434	4.4178845898532094e-100
C1QTNF12	4.844844818115234	4.7836499129717775e-95
UBE2J2	4.227965831756592	2.941264531578187e-94
LINC01786	3.194117784500122	5.666947561712223e-94
SCNN1D	1.0188868045806885	1.3012968604117978e-93
ACAP3	3.7128825187683105	3.638323083358857e-91
PUSL1	1.3057799339294434	5.894089862838223e-91
INTS11	3.1320605278015137	8.462174334065353e-91
CPTP	8.024242401123047	7.935491633024952e-90
TAS1R3	2.989204168319702	1.5869402280085812e-89
DVL1	1.3717707395553589	3.259949512874002e-88
MXRA8	4.591573715209961	3.454413283485116e-87
AURKAIP1	3.060275077819824	1.503398779694837e-86
CCNL2	5.664139747619629	1.0618830912303372e-85
MRPL20-AS1	6.347817897796631	1.0618830912303372e-85
MRPL20	3.843585729598999	1.3815475845742327e-85
AL391244.2	8.014046669006348	1.3815475845742327e-85
ANKRD65	2.4072041511535645	1.9951516559339227e-85
AL391244.1	2.794027090072632	3.032591095358137e-85
LINC01770	6.625423908233643	9.569250503702829e-85
VWA1	1.8707339763641357	1.3768745956205562e-84
ATAD3C	1.0829746723175049	2.8365340712362825e-83
ATAD3B	2.0963807106018066	4.8104363182950184e-83
ATAD3A	4.3264875411987305	8.640784024310097e-82
TMEM240	4.434335231781006	1.670222596712571e-80
SSU72	2.7528293132781982	5.0267205709062234e-79
AL645728.1	2.911832809448242	9.980201037478462e-79
FNDC10	5.614960670471191	1.885160672777343e-77
AL691432.4	2.289074420928955	4.872260642740112e-77
AL691432.2	0.8712515234947205	2.4117562334198902e-76
MIB2	2.2177860736846924	3.998911861231378e-76
MMP23B	2.3716986179351807	1.7233949961582408e-75
CDK11B	5.4213995933532715	2.9808277224594435e-75
FO704657.1	8.626551628112793	3.518322859379582e-75
SLC35E2B	7.422749996185303	4.1890644590127485e-75
CDK11A	3.064131736755371	5.543383982637155e-75
SLC35E2A	1.325143814086914	5.924643273111107e-75
NADK	5.2158122062683105	8.354339891845526e-74
GNB1	7.087151050567627	1.965239267763148e-72
AL109917.1	3.3177387714385986	7.358455013271612e-72
CALML6	3.2789368629455566	7.765999510344361e-71
TMEM52	1.021256923675537	4.99547794835816e-70
CFAP74	3.099755048751831	2.5873571216866705e-69
AL391845.2	2.6911163330078125	3.2128897796689377e-69
GABRD	3.6300597190856934	9.094332650633242e-69
PRKCZ	2.317260265350342	8.896568878848851e-68
AL590822.2	1.4763070344924927	6.438942613423286e-67
PRKCZ-AS1	2.770810842514038	9.643236649083733e-67
FAAP20	2.9720871448516846	1.8661624515743597e-65
SKI	5.215424537658691	7.295037736045672e-65
AL590822.3	5.444769382476807	2.3850157969647017e-64
MORN1	2.331678628921509	7.665445065747116e-64
AL513477.2	4.975483417510986	3.5387729550110284e-63
RER1	1.2920994758605957	3.9705042177209116e-63
PEX10	6.761950492858887	1.1877999688196206e-62
PLCH2	4.1609110832214355	1.4162344330064283e-62
PANK4	5.117023468017578	2.75072558449672e-62
HES5	2.599238634109497	4.755394576461479e-62
AL139246.5	3.3227524757385254	3.0722964115512957e-61
TNFRSF14-AS1	3.2145261764526367	5.843352360648371e-61
TNFRSF14	2.969949960708618	7.92973311817113e-61
AL139246.3	5.401093482971191	1.5869933995883966e-59
PRXL2B	2.736133098602295	1.623669010692774e-59
MMEL1	1.5691969394683838	2.480532781659423e-59
TTC34	5.647268295288086	6.660580365608272e-59
PRDM16-DT	7.877618789672852	1.8439859847079135e-58
PRDM16	3.573394775390625	2.7353838510891835e-57
AL354743.2	5.705966949462891	2.8107654270988806e-57
ARHGEF16	3.6553313732147217	2.942026197913854e-57
AL512413.1	1.6951485872268677	3.2885554932951033e-57
MEGF6	4.181610107421875	6.402188801460764e-57
AL513320.1	1.6351605653762817	5.2379482037299025e-56
TPRG1L	2.036456346511841	5.913449650362172e-56
WRAP73	3.431603193283081	6.979495034136003e-56
TP73	5.105251789093018	2.143421482354544e-55
CCDC27	1.9628257751464844	1.2214688555659003e-53
SMIM1	6.684443950653076	1.9129007181291127e-53
LRRC47	2.1753854751586914	2.0103405569860602e-53
AL365330.1	1.8122612237930298	2.984017113671445e-53
CEP104	2.7652289867401123	1.2861570746461258e-52
DFFB	5.6043500900268555	1.3709059565200282e-52
C1orf174	5.827752590179443	4.143202104443759e-52
LINC01134	4.368370532989502	1.26187485012166e-51
AL805961.1	6.873475074768066	1.7150137268758547e-51
AJAP1	2.9505395889282227	2.0490980517356557e-51
Z98886.1	6.737646102905273	3.787684579476422e-51
NPHP4	4.527677059173584	6.794165189028003e-51
KCNAB2	1.5737558603286743	1.0240809692642968e-50
CHD5	7.83823299407959	1.2959402207858844e-50
RPL22	0.9420711994171143	7.467121223013718e-50
AL031847.1	2.1587982177734375	1.2150130285525072e-49
RNF207	2.479994535446167	1.4877813209664198e-49
ICMT	4.005512714385986	2.376279175718331e-49
LINC00337	4.275762557983398	2.8564637841440624e-49
GPR153	8.292235374450684	8.246744042662816e-49
ACOT7	0.8161896467208862	1.102601333833913e-48
AL031848.2	1.9660813808441162	1.2793895156857155e-48
HES2	3.3981845378875732	1.7471721838271197e-48
ESPN	3.447434663772583	6.834442531179792e-48
TNFRSF25	2.3588805198669434	2.988813774569101e-47
PLEKHG5	2.041811466217041	3.666879480315218e-47
NOL9	5.993199825286865	4.562841011206245e-47
TAS1R1	2.4108798503875732	6.216903750129831e-47
ZBTB48	1.5201634168624878	8.638921260999356e-47
KLHL21	2.672653913497925	4.424094720824391e-46
PHF13	7.228419780731201	4.9367964664970176e-46
THAP3	3.639922618865967	4.734654360117256e-45
DNAJC11	3.3054049015045166	5.924582505241036e-45
LINC01672	1.6865915060043335	1.0651872767343988e-44
AL591163.1	2.341214656829834	2.0109965719269432e-44
CAMTA1-DT	5.796395778656006	4.386040066178775e-44
CAMTA1	2.8959193229675293	8.277187605740812e-44
CAMTA1-IT1	3.647798776626587	1.29122975103357e-43
VAMP3	4.1582932472229	1.7617460378391893e-42
Z98884.2	2.371004819869995	3.598357804826523e-42
PER3	3.999082088470459	7.759912268685772e-42
Z98884.1	1.6135296821594238	1.674811896073615e-41
UTS2	4.766295433044434	2.1181853849373214e-41
TNFRSF9	6.080315589904785	2.140859751293336e-41
PARK7	3.570549964904785	3.043003073799759e-41
AL034417.4	6.175112247467041	3.9471914277219496e-41
AL034417.3	1.5923830270767212	9.40226851752407e-41
ERRFI1	2.478461503982544	1.0209453859789886e-40
AL034417.2	0.64691162109375	3.3326434484546142e-40
SLC45A1	2.030480146408081	5.642411693794999e-40
RERE	7.920731544494629	6.273320049775587e-40
RERE-AS1	3.085660457611084	1.0619025453731573e-39
ENO1	1.9570376873016357	2.109164396916206e-39
ENO1-AS1	1.8411749601364136	3.414821447596408e-39
CA6	4.344976902008057	5.560686664702663e-39
SLC2A5	0.6594688892364502	1.721162572603727e-38
GPR157	2.500788688659668	1.7958660381356835e-38
MIR34AHG	4.5104451179504395	3.2223796097076765e-38
LNCTAM34A	1.635586142539978	3.826774009969109e-38
H6PD	2.672394037246704	9.331219745730654e-38
SPSB1	1.0686452388763428	9.65264938379485e-38
LINC02606	3.0976617336273193	9.890727129183693e-38
SLC25A33	6.069794654846191	1.0813179137391096e-37
TMEM201	1.6689496040344238	1.2976083918102123e-37
PIK3CD	3.813666820526123	1.3913628046944769e-37
PIK3CD-AS2	2.5002660751342773	1.4631071599352147e-37
CLSTN1	3.5561776161193848	1.5679905854394635e-37
CTNNBIP1	3.2306454181671143	3.4279165696215855e-37
AL357140.1	5.266524314880371	3.4509490730810487e-37
LZIC	1.88912034034729	4.579472460373733e-37
AL357140.2	1.8516325950622559	5.003244238218938e-37
NMNAT1	0.5704442858695984	5.780639289120061e-37
RBP7	2.6303157806396484	2.720363079415885e-36
UBE4B	1.2281137704849243	4.145219815425345e-36
KIF1B	2.5826094150543213	6.762378891648329e-36
AL139424.3	4.3099751472473145	8.552630297495103e-36
AL139424.2	0.5873113870620728	2.013955126477342e-35
PGD	1.9425039291381836	2.036020733009638e-35
CENPS	2.691606044769287	2.1757951275930794e-35
CORT	2.7795677185058594	2.3420277609441456e-35
DFFA	7.705075263977051	2.4558970078683894e-35
AL354956.1	3.444899797439575	2.8342013732438656e-35
PEX14	2.8994178771972656	3.090920304303144e-35
AL139423.2	0.5268164277076721	4.208855026953308e-35
CASZ1	0.5837736129760742	6.002011605405619e-35
AL139423.1	5.2875823974609375	7.907462482690656e-35
TARDBP	0.533693253993988	1.7667628760983659e-34
AL109811.2	1.6016836166381836	2.416948002209228e-34
SRM	3.245293140411377	3.099041179765896e-34
EXOSC10	2.7342114448547363	3.1335286382710642e-34
AL109811.1	0.7678332328796387	3.4410597838712206e-34
EXOSC10-AS1	0.9347284436225891	3.984900244825277e-34
MTOR	3.51528263092041	4.34394859064176e-34
MTOR-AS1	0.6688171625137329	5.348165221360783e-34
ANGPTL7	5.420523643493652	6.151273886949857e-34
UBIAD1	0.6631526350975037	6.650928255878991e-34
AL031291.1	4.034707546234131	9.008501847239883e-34
DISP3	4.703234672546387	1.1268656633954045e-33
AL031731.1	0.5677723288536072	1.3311708394345715e-33
FBXO2	0.6336430907249451	1.5258038753598078e-33
FBXO44	3.191534996032715	2.207531890131976e-33
FBXO6	0.9854209423065186	5.827610101189641e-33
MAD2L2	3.016845226287842	6.182570483454534e-33
DRAXIN	0.7212793231010437	1.9992853855170965e-32
AGTRAP	2.7759974002838135	2.1885937109639436e-32
C1orf167	0.9565840363502502	2.517735169138503e-32
MTHFR	0.6360169053077698	2.79509002211731e-32
CLCN6	2.3746819496154785	6.142038082109416e-32
AL021155.5	2.8398473262786865	7.244868930080798e-32
KIAA2013	1.0727572441101074	7.8014436240328e-32
PLOD1	5.590112686157227	8.896529647138086e-32
AL096840.2	5.421816825866699	8.932113371104168e-32
MFN2	1.8081138134002686	1.0208509349447801e-31
MIIP	4.690561294555664	1.4559872134094857e-31
TNFRSF8	0.9034656882286072	1.7740135152836941e-31
TNFRSF1B	5.556392669677734	3.0877250241542627e-31
VPS13D	4.43751859664917	3.6941204317583404e-31
LINC02766	1.9750410318374634	4.192493839442866e-31
DHRS3	1.8154135942459106	7.779304610213539e-31
AC254633.1	1.563632607460022	8.404946566442093e-31
LRRC38	0.5835031867027283	1.5930277892154092e-30
PDPN	0.6905369162559509	2.5374726129518254e-30
PRDM2	6.1513214111328125	2.6818261335139597e-30
KAZN	1.8440537452697754	3.401776434799203e-30
AL357873.1	0.6222142577171326	3.7486233552455654e-30
AL031293.1	0.49541977047920227	5.1611770610493004e-30
TMEM51-AS1	0.4404313266277313	5.545809023213658e-30
TMEM51	1.9732385873794556	1.2124597842856057e-29
FHAD1	3.73178768157959	1.9949772092843678e-29
AL031283.2	1.9095443487167358	2.0534370457082738e-29
AL031283.1	6.534020900726318	2.602276813382427e-29
EFHD2	2.0381975173950195	6.36585466279303e-29
CTRC	4.038209438323975	1.1105940459253683e-28
CELA2A	3.7748653888702393	1.2830891139895738e-28
CASP9	2.4459779262542725	2.0153275738178149e-28
DNAJC16	2.3193976879119873	2.8585063965895388e-28
AGMAT	4.363394260406494	4.0188885255215037e-28
AL121992.1	2.4974379539489746	4.442702401964165e-28
DDI2	4.880293369293213	5.5988818292946896e-28
PLEKHM2	2.4849135875701904	6.3286261660977695e-28
AL450998.3	3.911142110824585	7.422846231667527e-28
SLC25A34	0.5461900234222412	1.0616948769637796e-27
SLC25A34-AS1	1.5164886713027954	1.5649541861401578e-27
FBLIM1	5.332869529724121	1.8747556769793075e-27
UQCRHL	2.191457748413086	2.0146081650936756e-27
AL450998.2	0.5179828405380249	3.2202482077532436e-27
SPEN	2.889526844024658	4.144162448736396e-27
ZBTB17	3.6896111965179443	5.369724491663053e-27
SRARP	0.5049795508384705	5.465711450318483e-27
HSPB7	3.2279398441314697	7.566607434157843e-27
CLCNKA	2.057486057281494	8.804269150491364e-27
CLCNKB	5.1097636222839355	1.1013540789057426e-26
FAM131C	0.8677363395690918	1.438850432708854e-26
EPHA2	2.7260549068450928	1.5233989347770697e-26
AL451042.2	6.494697570800781	1.749294782127817e-26
AL451042.1	1.657655954360962	4.0757576516220605e-26
ARHGEF19	6.60862398147583	5.089726484148236e-26
AL109627.1	2.456010580062866	5.313472228995251e-26
CPLANE2	0.7981120944023132	5.634212939001043e-26
FBXO42	1.5741455554962158	6.72012023378023e-26
SZRD1	0.4992433190345764	8.826958302161545e-26
