log2FoldChange	padj
AL627309.1	11.638822555541992	0.0
AL627309.5	10.972143173217773	0.0
LINC01409	11.096084594726562	0.0
FAM87B	10.686335563659668	0.0
LINC01128	6.622199058532715	0.0
LINC00115	8.676592826843262	0.0
FAM41C	5.531051158905029	0.0
AL645608.2	6.023834228515625	0.0
LINC02593	8.401402473449707	0.0
SAMD11	2.9393362998962402	0.0
NOC2L	7.210396766662598	0.0
KLHL17	5.384237766265869	0.0
PLEKHN1	2.917292594909668	0.0
PERM1	2.118488073348999	0.0
AL645608.7	10.366130828857422	0.0
HES4	5.5145463943481445	0.0
ISG15	2.5867276191711426	0.0
AGRN	2.961970329284668	0.0
RNF223	4.10586404800415	0.0
C1orf159	3.9946253299713135	0.0
AL390719.3	4.998514175415039	0.0
AL390719.2	4.9789838790893555	0.0
TTLL10-AS1	4.408766269683838	0.0
TTLL10	10.80607795715332	1.2120014258123323e-282
TNFRSF18	7.82465934753418	1.5955841846656451e-282
TNFRSF4	1.8255810737609863	4.6406195165777976e-282
SDF4	3.829716920852661	2.5984115524144866e-270
B3GALT6	9.26772689819336	6.6879243147417176e-267
C1QTNF12	3.342571258544922	3.8080137373615187e-265
UBE2J2	10.547659873962402	2.9355806926385552e-264
LINC01786	3.968179941177368	6.71055342655382e-260
SCNN1D	1.7644661664962769	2.230484097602379e-257
ACAP3	3.663267135620117	1.088668309324453e-248
PUSL1	10.371060371398926	5.7199542743725205e-247
INTS11	2.779578924179077	4.0728217034640344e-246
CPTP	5.116830348968506	9.732741621185677e-244
TAS1R3	1.349400520324707	2.569976653969371e-243
DVL1	3.1470184326171875	2.6841744789121167e-242
MXRA8	7.78462028503418	1.8180243772722393e-240
AURKAIP1	3.2734591960906982	2.264875978781625e-239
CCNL2	3.2884738445281982	2.7436315084159384e-236
MRPL20-AS1	2.227151393890381	1.038852030593721e-235
MRPL20	3.6477367877960205	6.444837373025695e-232
AL391244.2	2.9123947620391846	7.092611051189457e-231
ANKRD65	2.145338296890259	3.7923173362017046e-228
AL391244.1	2.1758697032928467	1.744982837897537e-226
LINC01770	1.0253407955169678	9.417220949299417e-224
VWA1	3.1693313121795654	2.0170552956126768e-223
ATAD3C	1.1919991970062256	4.465335223772066e-222
ATAD3B	3.5876760482788086	8.694474871952469e-219
ATAD3A	2.375326156616211	9.540791379808047e-217
TMEM240	4.9232001304626465	1.3022746364611262e-214
SSU72	1.0993913412094116	7.0811909871988006e-214
AL645728.1	1.2085574865341187	9.713337295516453e-214
FNDC10	2.25632381439209	2.5431120865765063e-210
AL691432.4	1.2326210737228394	4.677463833925302e-210
AL691432.2	4.294454574584961	1.5781638091342958e-209
MIB2	2.363978862762451	1.4160215013137102e-207
MMP23B	1.9796019792556763	1.578321030097976e-205
CDK11B	9.833391189575195	5.915723256062359e-199
FO704657.1	1.498739242553711	1.8807259643710084e-193
SLC35E2B	3.0490989685058594	3.561957450957086e-191
CDK11A	1.0842881202697754	1.2152051734757122e-186
SLC35E2A	3.174509048461914	3.6790111592413306e-184
NADK	6.085238456726074	3.8395573911780264e-182
GNB1	4.691099166870117	2.6099780504565535e-181
AL109917.1	3.1251583099365234	1.6058900759528192e-179
