log2FoldChange	padj
AL627309.1	4.313231945037842	0.0
AL627309.5	3.314636468887329	0.0
LINC01409	3.959794044494629	0.0
FAM87B	2.282968044281006	0.0
LINC01128	7.220829963684082	0.0
LINC00115	5.155340194702148	0.0
FAM41C	4.995340347290039	0.0
AL645608.2	3.1869685649871826	0.0
LINC02593	4.936976909637451	0.0
SAMD11	4.0330610275268555	0.0
NOC2L	7.134415149688721	0.0
KLHL17	5.623070240020752	0.0
PLEKHN1	4.614670276641846	0.0
PERM1	7.332138538360596	0.0
AL645608.7	2.9776363372802734	0.0
HES4	5.028469562530518	0.0
ISG15	1.5074135065078735	0.0
AGRN	1.9888464212417603	0.0
RNF223	3.426199436187744	0.0
C1orf159	2.2663002014160156	0.0
AL390719.3	3.328765630722046	0.0
AL390719.2	4.117516994476318	0.0
TTLL10-AS1	2.3665308952331543	0.0
TTLL10	3.4587268829345703	0.0
TNFRSF18	3.1318445205688477	0.0
TNFRSF4	2.953815221786499	0.0
SDF4	1.9149956703186035	0.0
B3GALT6	3.9071056842803955	0.0
C1QTNF12	5.4170918464660645	0.0
UBE2J2	4.104032516479492	0.0
LINC01786	3.087696075439453	0.0
SCNN1D	4.524741172790527	0.0
ACAP3	2.6035268306732178	0.0
PUSL1	3.5482776165008545	0.0
INTS11	2.892685651779175	0.0
CPTP	1.2159814834594727	0.0
TAS1R3	3.728280544281006	0.0
DVL1	2.9624271392822266	0.0
MXRA8	4.395892143249512	0.0
AURKAIP1	2.0614523887634277	0.0
CCNL2	2.7806575298309326	0.0
MRPL20-AS1	2.8250319957733154	0.0
MRPL20	2.0645904541015625	0.0
AL391244.2	3.141766309738159	0.0
ANKRD65	3.1417129039764404	0.0
AL391244.1	3.3460609912872314	0.0
LINC01770	2.5809009075164795	0.0
VWA1	2.636636734008789	0.0
ATAD3C	1.5176211595535278	0.0
ATAD3B	1.4116038084030151	0.0
ATAD3A	1.0082262754440308	0.0
TMEM240	3.247689962387085	0.0
SSU72	1.6271597146987915	0.0
AL645728.1	4.147223472595215	0.0
FNDC10	2.670008659362793	0.0
AL691432.4	2.1265511512756348	0.0
AL691432.2	1.7014696598052979	0.0
MIB2	2.910553216934204	0.0
MMP23B	3.2897040843963623	0.0
CDK11B	1.3782694339752197	0.0
FO704657.1	3.5430102348327637	0.0
SLC35E2B	3.7411632537841797	0.0
CDK11A	3.2284655570983887	0.0
SLC35E2A	4.617133617401123	0.0
NADK	1.5649789571762085	0.0
GNB1	3.2812652587890625	0.0
AL109917.1	2.8297064304351807	0.0
CALML6	1.6672734022140503	0.0
TMEM52	2.3240058422088623	0.0
CFAP74	3.052436590194702	0.0
AL391845.2	1.42523193359375	0.0
GABRD	1.4146639108657837	0.0
PRKCZ	0.9557369947433472	0.0
AL590822.2	1.5923305749893188	0.0
PRKCZ-AS1	1.8856664896011353	0.0
FAAP20	2.821749210357666	0.0
SKI	1.9812012910842896	0.0
AL590822.3	2.324553966522217	0.0
MORN1	2.454489231109619	0.0
AL513477.2	1.028751015663147	0.0
RER1	2.9000518321990967	0.0
PEX10	1.3990343809127808	0.0
PLCH2	1.805146336555481	0.0
PANK4	2.733574628829956	0.0
HES5	2.695051908493042	0.0
AL139246.5	3.2695772647857666	0.0
TNFRSF14-AS1	1.4034531116485596	0.0
TNFRSF14	1.4216227531433105	0.0
AL139246.3	3.3322598934173584	0.0
PRXL2B	3.3384218215942383	0.0
MMEL1	1.0732697248458862	0.0
TTC34	2.7519524097442627	0.0
PRDM16-DT	1.3418231010437012	0.0
PRDM16	2.852477788925171	0.0
AL354743.2	2.8393115997314453	0.0
ARHGEF16	2.6020565032958984	0.0
AL512413.1	2.2477900981903076	0.0
MEGF6	1.1436364650726318	0.0
AL513320.1	3.662543296813965	0.0
TPRG1L	1.541783094406128	0.0
WRAP73	2.3709428310394287	0.0
TP73	2.8124871253967285	0.0
CCDC27	3.0465664863586426	0.0
SMIM1	1.9160062074661255	0.0
LRRC47	1.252377986907959	0.0
AL365330.1	1.0716685056686401	0.0
CEP104	2.460625648498535	0.0
DFFB	1.4723057746887207	0.0
C1orf174	2.3160579204559326	0.0
LINC01134	0.921554446220398	0.0
AL805961.1	2.0266191959381104	0.0
AJAP1	3.785540819168091	0.0
Z98886.1	2.7449638843536377	0.0
NPHP4	2.53635835647583	0.0
KCNAB2	3.349992275238037	0.0
CHD5	1.0704611539840698	0.0
RPL22	2.5603103637695312	0.0
AL031847.1	1.72736656665802	0.0
RNF207	1.3083168268203735	0.0
ICMT	1.1171010732650757	0.0
LINC00337	1.0631828308105469	0.0
GPR153	1.5458221435546875	0.0
ACOT7	1.7076703310012817	0.0
AL031848.2	1.4694278240203857	0.0
HES2	2.1709585189819336	0.0
ESPN	3.1950056552886963	0.0
TNFRSF25	0.919908344745636	0.0
PLEKHG5	4.971011161804199	0.0
NOL9	1.1743971109390259	0.0
TAS1R1	3.299729347229004	0.0
ZBTB48	1.6187002658843994	0.0
KLHL21	3.0080602169036865	0.0
PHF13	2.598308801651001	0.0
THAP3	1.0305339097976685	0.0
DNAJC11	1.5083032846450806	0.0
LINC01672	1.1225156784057617	0.0
AL591163.1	1.2454206943511963	0.0
CAMTA1-DT	1.4518420696258545	0.0
CAMTA1	1.23039710521698	0.0
CAMTA1-IT1	1.7158191204071045	0.0
VAMP3	2.6402807235717773	0.0
Z98884.2	1.7500296831130981	0.0
PER3	0.9020817875862122	0.0
Z98884.1	3.619154453277588	0.0
UTS2	1.5491620302200317	0.0
TNFRSF9	1.0857266187667847	0.0
PARK7	0.9751881957054138	0.0
AL034417.4	1.460976243019104	0.0
AL034417.3	2.2482707500457764	0.0
ERRFI1	2.3481404781341553	0.0
AL034417.2	1.1674445867538452	0.0
SLC45A1	3.14642596244812	0.0
RERE	1.928065538406372	0.0
RERE-AS1	1.4612139463424683	0.0
ENO1	1.436507225036621	0.0
ENO1-AS1	1.3425391912460327	0.0
CA6	0.9624056816101074	0.0
SLC2A5	1.46478271484375	0.0
GPR157	0.7949666976928711	0.0
MIR34AHG	2.4388558864593506	0.0
LNCTAM34A	1.9115701913833618	0.0
H6PD	1.7695748805999756	0.0
SPSB1	1.1471878290176392	0.0
LINC02606	1.664808750152588	0.0
SLC25A33	1.1240602731704712	0.0
TMEM201	2.619682788848877	0.0
PIK3CD	2.0792081356048584	0.0
PIK3CD-AS2	1.0859652757644653	0.0
CLSTN1	1.463021159172058	0.0
CTNNBIP1	1.7491061687469482	0.0
AL357140.1	2.2627246379852295	0.0
LZIC	1.6779167652130127	0.0
AL357140.2	1.7547945976257324	0.0
NMNAT1	1.1727017164230347	0.0
RBP7	1.0739506483078003	0.0
UBE4B	0.9642398357391357	0.0
KIF1B	1.0409858226776123	0.0
AL139424.3	0.8303079605102539	0.0
AL139424.2	2.1611437797546387	0.0
PGD	1.3869704008102417	0.0
CENPS	1.5682048797607422	0.0
CORT	1.4873207807540894	0.0
DFFA	2.3970024585723877	0.0
AL354956.1	2.405047655105591	0.0
PEX14	2.445235252380371	0.0
AL139423.2	1.9933279752731323	0.0
CASZ1	0.9533246755599976	0.0
AL139423.1	1.674262523651123	0.0
TARDBP	0.9222850203514099	0.0
AL109811.2	1.8879247903823853	0.0
SRM	0.7995569109916687	0.0
EXOSC10	2.7572178840637207	0.0
AL109811.1	1.4893550872802734	0.0
EXOSC10-AS1	1.0547815561294556	0.0
MTOR	2.2178213596343994	0.0
MTOR-AS1	1.1814652681350708	0.0
ANGPTL7	1.8933132886886597	0.0
UBIAD1	0.911521852016449	0.0
AL031291.1	1.103269100189209	0.0
DISP3	1.9051175117492676	0.0
AL031731.1	1.713120698928833	0.0
FBXO2	1.0566788911819458	0.0
FBXO44	3.317786693572998	0.0
FBXO6	0.9303280711174011	0.0
MAD2L2	0.7647789716720581	0.0
DRAXIN	2.290093421936035	0.0
AGTRAP	0.8918880820274353	0.0
C1orf167	1.362199306488037	0.0
MTHFR	0.8872309923171997	0.0
CLCN6	2.4148244857788086	0.0
AL021155.5	1.6229770183563232	0.0
KIAA2013	3.4624931812286377	0.0
PLOD1	1.6908631324768066	0.0
AL096840.2	2.575727701187134	0.0
MFN2	1.968808889389038	0.0
MIIP	0.7087908387184143	0.0
TNFRSF8	1.8076834678649902	0.0
TNFRSF1B	3.041106700897217	0.0
VPS13D	2.016774892807007	0.0
LINC02766	2.4741666316986084	0.0
DHRS3	1.5004565715789795	0.0
AC254633.1	2.124669313430786	0.0
