log2FoldChange	padj
AL627309.1	5.099117279052734	0.0
AL627309.5	2.796895980834961	0.0
LINC01409	4.159175872802734	0.0
FAM87B	3.8348922729492188	0.0
LINC01128	5.348024845123291	0.0
LINC00115	1.9023289680480957	0.0
FAM41C	5.329041481018066	0.0
AL645608.2	3.594392776489258	0.0
LINC02593	4.243484020233154	0.0
SAMD11	4.1722331047058105	0.0
NOC2L	2.1899425983428955	0.0
KLHL17	2.7591652870178223	0.0
PLEKHN1	2.4957597255706787	0.0
PERM1	2.8770766258239746	0.0
AL645608.7	1.8308441638946533	0.0
HES4	1.4723385572433472	0.0
ISG15	4.155420780181885	0.0
AGRN	2.967097282409668	0.0
RNF223	5.526657581329346	0.0
C1orf159	3.809483289718628	0.0
AL390719.3	5.553354740142822	0.0
AL390719.2	2.1207871437072754	0.0
TTLL10-AS1	3.311326742172241	0.0
TTLL10	1.8734887838363647	0.0
TNFRSF18	0.8790378570556641	0.0
TNFRSF4	2.1074602603912354	0.0
SDF4	3.570817232131958	0.0
B3GALT6	2.6241419315338135	0.0
C1QTNF12	1.6278069019317627	0.0
UBE2J2	4.760319709777832	0.0
LINC01786	2.5017621517181396	0.0
SCNN1D	1.6943367719650269	0.0
ACAP3	3.1986663341522217	0.0
PUSL1	2.3047313690185547	0.0
INTS11	3.0538840293884277	0.0
CPTP	3.094682216644287	0.0
TAS1R3	2.42996883392334	0.0
DVL1	1.9988491535186768	0.0
MXRA8	0.8941569328308105	0.0
AURKAIP1	2.969353199005127	0.0
CCNL2	3.719343900680542	0.0
MRPL20-AS1	3.0203604698181152	0.0
MRPL20	3.8723461627960205	0.0
AL391244.2	2.4111273288726807	0.0
ANKRD65	2.8486623764038086	0.0
AL391244.1	2.765864372253418	0.0
LINC01770	1.9904744625091553	0.0
VWA1	0.8355478048324585	0.0
ATAD3C	2.2201507091522217	0.0
ATAD3B	2.6935198307037354	0.0
ATAD3A	4.171235084533691	0.0
TMEM240	3.178541660308838	0.0
SSU72	1.8224732875823975	0.0
AL645728.1	3.7627692222595215	0.0
FNDC10	1.4113794565200806	2.1408917242574944e-304
AL691432.4	3.099057912826538	9.844229282153593e-304
AL691432.2	2.529031276702881	2.83401461098672e-296
MIB2	2.2019882202148438	1.6081092683779083e-295
MMP23B	2.6733450889587402	2.4687587611899757e-294
CDK11B	0.859282374382019	5.022366350602177e-291
FO704657.1	0.9962860345840454	1.1947234132118529e-289
SLC35E2B	2.1503353118896484	1.9850185492229216e-286
CDK11A	1.442474365234375	2.073788196569211e-279
SLC35E2A	1.1708344221115112	2.249561786165368e-278
NADK	1.31494140625	1.4947796604031667e-276
GNB1	2.9775960445404053	3.8133063310116116e-276
AL109917.1	0.7214384078979492	4.387897094783278e-276
CALML6	2.070061445236206	6.497433573314427e-274
TMEM52	0.8922437429428101	1.3527194493007712e-272
CFAP74	1.875658631324768	2.8038690765669026e-270
AL391845.2	2.3575279712677	1.0130840772525124e-263
GABRD	1.3051626682281494	6.241254720863142e-261
PRKCZ	1.3074113130569458	3.171839395450066e-259
AL590822.2	0.8751487731933594	8.084872485662189e-259
PRKCZ-AS1	2.286492109298706	3.906514306321927e-257
FAAP20	1.1911097764968872	8.417151553385036e-256
SKI	3.3987557888031006	2.6421860163968964e-255
AL590822.3	4.60400390625	2.994080831013964e-252
MORN1	2.379521131515503	1.1950281132194087e-250
AL513477.2	2.2038464546203613	2.3350504245039423e-249
RER1	1.3861993551254272	6.092596983691844e-248
PEX10	2.0140786170959473	6.647477217272563e-246
PLCH2	0.6815544366836548	9.986244629380011e-241
PANK4	0.9933651685714722	4.370131689101387e-236
HES5	2.085559368133545	6.349160313896326e-234
AL139246.5	2.1401610374450684	1.302812949707819e-233
