log2FoldChange	padj
AL627309.1	11.125449180603027	0.0
AL627309.5	2.2121479511260986	0.0
LINC01409	4.652845859527588	0.0
FAM87B	2.5489752292633057	0.0
LINC01128	10.513087272644043	0.0
LINC00115	2.5623488426208496	0.0
FAM41C	4.818386554718018	2.691951278511575e-286
AL645608.2	7.150175094604492	1.3758684577807511e-278
LINC02593	4.792079448699951	6.32599783574416e-277
SAMD11	4.8413190841674805	5.903231681647363e-274
NOC2L	1.9710657596588135	4.4824279487285095e-271
KLHL17	5.423636436462402	1.3022310641398078e-266
PLEKHN1	10.424042701721191	1.1025532460279402e-262
PERM1	8.519975662231445	3.117108405434349e-254
AL645608.7	5.357841968536377	2.2543847724568136e-251
HES4	11.1414794921875	1.5121682641558524e-242
ISG15	4.679111480712891	1.7787657149880756e-241
AGRN	4.664083480834961	7.895641765723025e-241
RNF223	8.408514976501465	2.467525327075895e-237
C1orf159	5.104315280914307	3.889958382967357e-235
AL390719.3	5.170485973358154	1.2825925366781152e-233
AL390719.2	3.0736939907073975	1.9334207095655208e-229
TTLL10-AS1	6.783245086669922	3.322564608665733e-220
TTLL10	8.567913055419922	6.028656473713304e-219
TNFRSF18	3.5961928367614746	6.86337327801479e-219
TNFRSF4	4.609475612640381	4.548892885682841e-218
SDF4	2.7625162601470947	1.0798736839478956e-213
B3GALT6	8.04401969909668	8.278177847331205e-211
C1QTNF12	7.93766975402832	8.843754480094643e-211
UBE2J2	5.069675445556641	1.096252928442097e-210
LINC01786	6.864439487457275	1.1553653656285712e-209
SCNN1D	11.368429183959961	4.8716666394024907e-206
ACAP3	2.7892825603485107	1.5291004747055744e-205
PUSL1	6.142174243927002	8.131330371504051e-204
INTS11	1.340380311012268	1.0746808061082863e-200
CPTP	6.202422142028809	1.5422713176700764e-199
TAS1R3	3.1052896976470947	4.577880632637181e-198
DVL1	5.718745708465576	8.63995676692636e-197
MXRA8	9.274621963500977	7.965018743242155e-196
AURKAIP1	3.579721450805664	2.328920927951759e-193
CCNL2	11.018621444702148	4.3623821323624375e-193
MRPL20-AS1	1.1678680181503296	5.597731078554338e-191
MRPL20	4.465549468994141	5.7419040213859005e-189
AL391244.2	3.672199010848999	2.942207580479172e-186
ANKRD65	5.7342095375061035	2.270187224784295e-183
AL391244.1	2.425506353378296	2.4849979429013273e-182
LINC01770	2.768298625946045	8.752116896049561e-173
VWA1	3.8607661724090576	2.300117821634531e-172
ATAD3C	4.355201721191406	6.063635903822096e-167
ATAD3B	10.885331153869629	6.234763279748888e-167
ATAD3A	10.275012016296387	2.367918044430603e-164
TMEM240	7.3926849365234375	1.0249663582328333e-161
SSU72	3.094860076904297	6.845590509846678e-160
AL645728.1	1.410866141319275	1.6774072898972784e-153
FNDC10	1.7395282983779907	2.0373353140678318e-147
AL691432.4	1.3587042093276978	1.7723962795379054e-146
AL691432.2	2.594531774520874	2.404286083172578e-145
MIB2	2.000016450881958	3.8465949541490546e-140
MMP23B	0.8155967593193054	1.181533100560253e-139
CDK11B	4.340180397033691	1.909791985961869e-139
FO704657.1	4.446074485778809	2.2130000576275784e-137
SLC35E2B	7.658024311065674	1.4846620556736692e-136
CDK11A	6.677377223968506	3.2449983889277065e-136
SLC35E2A	0.8133667707443237	7.331553428679989e-134
NADK	8.857893943786621	6.904567887886307e-128
GNB1	4.973867416381836	8.388671462253118e-128
AL109917.1	0.7858763337135315	1.9063645762141217e-127
CALML6	9.086396217346191	2.2904666719352666e-127
TMEM52	3.624181032180786	3.2311252640650636e-126
CFAP74	2.4723331928253174	1.6691806906942296e-125
AL391845.2	1.701084852218628	1.2312511485905204e-124
GABRD	0.8138427138328552	1.2791521471033959e-124
PRKCZ	3.764362335205078	8.442433111315928e-122
AL590822.2	2.7960426807403564	2.224669577797472e-121
PRKCZ-AS1	1.9758899211883545	1.0464828711880762e-120
FAAP20	2.8473620414733887	1.3328630238408696e-120
SKI	4.674250602722168	3.3270336579601515e-118
AL590822.3	3.174102544784546	3.937509898559349e-118
MORN1	6.358649730682373	1.016884476611956e-117
AL513477.2	7.23615026473999	1.2132608827719193e-117
RER1	1.542362928390503	1.984465851827628e-117
PEX10	2.243319511413574	7.289304108736172e-117
PLCH2	4.739030361175537	8.838817077378715e-117
PANK4	11.395485877990723	8.393662207390116e-116
HES5	4.191731929779053	1.7590707428932522e-115
AL139246.5	6.928656101226807	7.212720678189193e-115
TNFRSF14-AS1	7.815011024475098	7.695459514009152e-115
TNFRSF14	1.7862682342529297	5.481094631225878e-112
AL139246.3	2.2973380088806152	5.810529829192478e-112
PRXL2B	2.291383981704712	1.805184322751251e-111
MMEL1	8.283038139343262	2.95991396306385e-110
TTC34	2.2618496417999268	3.1770555710398337e-109
PRDM16-DT	0.747756838798523	3.2994127886845093e-109
PRDM16	2.107987642288208	4.303350690349026e-109
AL354743.2	3.840142250061035	2.7199579443306694e-108
ARHGEF16	3.2195982933044434	1.9013562679402868e-107
AL512413.1	4.4038615226745605	5.994283915849276e-107
MEGF6	2.1407272815704346	7.856127781736274e-107
AL513320.1	6.064599990844727	8.309171752213524e-107
TPRG1L	3.1770145893096924	1.7781911258276689e-106
WRAP73	0.7543438673019409	4.0170281650966597e-106
TP73	6.4908599853515625	8.968834639088832e-106
CCDC27	3.1058170795440674	1.9860525838630556e-105
SMIM1	2.3918559551239014	3.494509240256481e-104
LRRC47	1.8996349573135376	1.5174025058426539e-103
AL365330.1	0.713268518447876	7.259854369617786e-103
CEP104	2.5935821533203125	1.8218834262751776e-102
DFFB	4.243068695068359	5.946657336150063e-102
C1orf174	5.213120937347412	2.778975929445026e-101
LINC01134	1.6834611892700195	1.4230341686208902e-100
AL805961.1	2.011970043182373	3.806418548990795e-100
AJAP1	2.0148847103118896	7.732796602245452e-100
Z98886.1	6.034889221191406	1.1291186493492485e-99
NPHP4	3.470543622970581	1.1983520079126289e-99
KCNAB2	2.9248905181884766	4.677913924867706e-99
CHD5	3.2171196937561035	2.0545972210386003e-98
RPL22	3.87540864944458	3.108118971890035e-98
AL031847.1	5.619431972503662	1.3814953680439047e-97
RNF207	3.244882345199585	3.936749857747307e-97
ICMT	0.679751992225647	3.967986333706185e-97
LINC00337	7.6441450119018555	8.905260314466903e-97
GPR153	6.619258880615234	1.9676141051750327e-96
ACOT7	6.26238489151001	9.4873362706553e-95
AL031848.2	2.1572458744049072	7.125061115965582e-94
HES2	1.9488048553466797	8.858561609469229e-93
ESPN	5.453744888305664	2.9547125146849585e-92
TNFRSF25	2.0247626304626465	3.9214091202955444e-92
PLEKHG5	0.8915505409240723	8.549152356100149e-92
NOL9	2.837815761566162	4.390192322379327e-91
TAS1R1	2.252702236175537	3.5580391808727754e-90
ZBTB48	4.872811794281006	1.0386701262017451e-88
KLHL21	0.6487207412719727	4.385985345628035e-88
PHF13	2.4863803386688232	7.67386663088967e-87
THAP3	3.212007761001587	2.969560280961791e-86
DNAJC11	3.4610540866851807	2.5657978418767138e-85
LINC01672	1.8685051202774048	6.81858657305436e-84
AL591163.1	1.630415916442871	8.315152569308895e-84
CAMTA1-DT	8.89487361907959	1.0750834199752937e-83
CAMTA1	1.672568917274475	1.4120598016824637e-83
CAMTA1-IT1	6.238003730773926	1.444876815942178e-83
VAMP3	8.517350196838379	4.485972541849258e-83
Z98884.2	4.068680286407471	2.029786090087187e-81
PER3	2.481985092163086	2.0382526250031378e-79
Z98884.1	8.012930870056152	5.441006892582193e-78
UTS2	2.9476990699768066	1.5713437797286633e-77
TNFRSF9	0.6697233319282532	5.577700376880021e-77
PARK7	4.931774616241455	7.919123996534722e-77
AL034417.4	2.1010687351226807	1.0148335465357646e-76
AL034417.3	2.0783467292785645	3.970636463294206e-76
ERRFI1	1.5253934860229492	1.7396631870960657e-75
AL034417.2	1.7867193222045898	9.490256766974718e-75
SLC45A1	2.189183235168457	7.627923740179383e-74
RERE	1.247286319732666	1.3930747380120813e-73
RERE-AS1	2.5218329429626465	5.602032435603844e-73
ENO1	0.6793901920318604	1.1153862651996585e-72
ENO1-AS1	4.264120101928711	7.771979395852011e-72
CA6	5.853779315948486	2.1837740556448003e-71
SLC2A5	4.608052730560303	4.7613968670619025e-71
GPR157	1.5296767950057983	2.8965195043855913e-70
MIR34AHG	2.362353563308716	8.923878486939662e-70
LNCTAM34A	8.329745292663574	1.2390250451297246e-69
H6PD	1.4949185848236084	2.513770460623062e-69
SPSB1	0.6160289645195007	3.905938026257829e-69
LINC02606	4.787262916564941	4.957129442663009e-69
SLC25A33	9.876232147216797	1.3155985445853882e-68
TMEM201	0.5167316794395447	1.4076840233013017e-68
PIK3CD	0.686850368976593	3.5541256895757176e-68
PIK3CD-AS2	4.112329006195068	5.182272136018121e-68
CLSTN1	1.6097137928009033	7.707587951303437e-68
CTNNBIP1	0.8005011081695557	1.2697773701601773e-67
AL357140.1	1.180083155632019	6.124990959092786e-66
LZIC	5.873088836669922	1.0149743061870222e-65
AL357140.2	3.9817757606506348	1.730538850108313e-65
NMNAT1	2.206022262573242	2.556391791295123e-65
RBP7	2.53836727142334	5.114857589476733e-65
UBE4B	1.648207426071167	7.4232917144066006e-65
KIF1B	1.9663727283477783	8.3137739711142e-65
AL139424.3	2.3870136737823486	3.6144746764453465e-64
AL139424.2	1.993495225906372	7.504840832275321e-64
PGD	8.529888153076172	1.72993497573956e-63
CENPS	3.051696538925171	3.0450006046855086e-63
CORT	0.783569872379303	4.2825293039601954e-63
DFFA	2.055446147918701	1.044611465828521e-62
AL354956.1	6.011694431304932	2.391204643349737e-62
PEX14	8.004751205444336	1.3949124439324671e-61
AL139423.2	6.669952869415283	2.3081189050118707e-61
CASZ1	4.337233543395996	2.7944035501386823e-61
AL139423.1	0.5103187561035156	2.8708612203953144e-61
TARDBP	1.659423828125	1.1024077708418477e-60
AL109811.2	3.582019329071045	1.2383372836507823e-60
SRM	5.5267205238342285	1.4941196312637348e-60
EXOSC10	8.696366310119629	2.010933687125422e-60
AL109811.1	0.9390892386436462	3.5483338799865964e-60
EXOSC10-AS1	2.334739923477173	2.4397363171476133e-59
MTOR	4.123352527618408	1.5226614009684456e-58
MTOR-AS1	2.216618061065674	2.365192614872812e-58
ANGPTL7	1.13299560546875	2.42046681674254e-58
UBIAD1	2.052065372467041	2.8096690739320284e-58
AL031291.1	4.773251056671143	8.792642087556923e-58
DISP3	0.4817894399166107	8.847694109515758e-58
AL031731.1	1.2150321006774902	3.607660073131987e-57
FBXO2	3.3171374797821045	4.602137514737459e-57
FBXO44	6.033407688140869	1.015262455268242e-56
FBXO6	1.7219840288162231	4.096812615817654e-56
MAD2L2	5.895256519317627	8.757830610559168e-56
DRAXIN	0.9658784866333008	1.0778972367549952e-55
AGTRAP	3.7827537059783936	1.3712745453852199e-55
C1orf167	0.8747759461402893	8.162012559913998e-55
MTHFR	2.0762078762054443	2.5613927807708628e-54
CLCN6	3.006978988647461	3.833923464924448e-54
AL021155.5	3.1219801902770996	4.2820769850146836e-54
KIAA2013	2.7304792404174805	4.91018502886197e-54
PLOD1	8.264050483703613	6.99665850505329e-54
AL096840.2	2.4376485347747803	2.5812959318523076e-53
MFN2	0.529665470123291	4.262199629624702e-53
MIIP	5.118401050567627	1.5448870848475115e-52
TNFRSF8	4.6433916091918945	1.5878668256894115e-52
TNFRSF1B	10.245572090148926	3.0051932979961172e-52
VPS13D	8.91835880279541	3.9769387478124426e-52
LINC02766	1.3882063627243042	7.78096111559557e-52
DHRS3	4.013338088989258	1.4984674183971825e-51
AC254633.1	1.0368738174438477	6.368622475768638e-51
LRRC38	1.333971381187439	1.473063362760956e-50
PDPN	4.726460933685303	1.8818266451845815e-50
PRDM2	8.097872734069824	4.142542852966504e-50
KAZN	0.6081010103225708	5.66744066666204e-50
AL357873.1	0.9031175971031189	6.813214624814207e-50
AL031293.1	4.900754928588867	1.0295512495566941e-49
TMEM51-AS1	0.852039635181427	8.26583046352929e-49
TMEM51	1.1065101623535156	8.677939309167836e-49
FHAD1	1.4365465641021729	1.0210393015368716e-48
AL031283.2	1.0529810190200806	1.4512866211587808e-48
AL031283.1	0.5546430349349976	1.519009159155619e-48
EFHD2	2.0502395629882812	2.0305751179181268e-48
CTRC	2.7829642295837402	3.6068501323838904e-48
CELA2A	6.951107978820801	4.075571397195418e-48
CASP9	0.4659433960914612	6.586459756475922e-48
DNAJC16	5.057088851928711	7.502531293259586e-48
AGMAT	0.6425713300704956	8.547331125876515e-48
AL121992.1	0.6109749674797058	3.593242058163539e-47
DDI2	1.0214815139770508	3.7316374093434343e-47
PLEKHM2	1.2356762886047363	3.954947973785945e-47
AL450998.3	3.724674701690674	4.0397477350106225e-47
SLC25A34	1.7791996002197266	4.782036248472769e-47
SLC25A34-AS1	2.7875173091888428	7.382142890228962e-47
FBLIM1	2.9859519004821777	2.8129390481787446e-46
UQCRHL	0.4463714361190796	6.04690732012871e-46
AL450998.2	2.203561544418335	8.944023275354243e-46
SPEN	1.6687260866165161	1.4924967115812997e-45
ZBTB17	4.647304058074951	3.786293664293319e-45
SRARP	2.6978695392608643	9.739903377567214e-45
HSPB7	10.570708274841309	2.633749261146118e-44
CLCNKA	1.2160896062850952	3.1996451553921833e-44
CLCNKB	0.4662647247314453	3.467379155957082e-44
FAM131C	2.7070412635803223	4.934508048853175e-44
EPHA2	1.0540341138839722	5.220567342467479e-44
AL451042.2	2.9165594577789307	5.360257077660622e-44
AL451042.1	10.731715202331543	6.725075523788882e-44
ARHGEF19	5.051582336425781	8.452977387547792e-44
AL109627.1	0.7529492378234863	9.661980265463118e-44
CPLANE2	4.241239070892334	2.2336823464439665e-43
FBXO42	0.701644241809845	3.705214376934173e-43
SZRD1	1.7970081567764282	1.4145134477102418e-42
SPATA21	2.1613407135009766	2.4772070193725547e-42
NECAP2	1.4282714128494263	4.352464185759784e-42
LINC01772	1.1694676876068115	6.651465844653752e-42
AL137802.2	1.4468923807144165	8.118987903754798e-42
LINC01783	8.075959205627441	1.210014360974656e-41
NBPF1	1.0839869976043701	2.0233327312633221e-41
CROCC	4.550747871398926	3.3530261756869215e-41
BX284668.2	0.4529869854450226	4.1426848751202835e-41
BX284668.5	1.9774954319000244	5.239782637414255e-41
BX284668.6	5.5625152587890625	6.041441572570823e-41
MFAP2	6.101646900177002	8.573711464622937e-41
ATP13A2	1.4982978105545044	9.014747329401306e-41
SDHB	0.6616742610931396	9.556880877698941e-41
PADI2	3.888313055038452	4.896653849751045e-40
LINC02783	7.402647972106934	5.064812797999451e-40
AL590644.1	0.7423151135444641	1.1135763991293706e-39
PADI1	0.7640280723571777	1.4917060710557887e-39
PADI3	0.881879448890686	1.7954091044344333e-39
RCC2-AS1	0.3846980929374695	1.8107094950119462e-39
RCC2	0.6732338070869446	2.663992670843128e-39
