log2FoldChange	padj
MT1H	6.346411228179932	0.0
DPPA5	33.003658294677734	0.0
KHDC1L	11.555624961853027	0.0
NDUFAB1	2.1755521297454834	0.0
POU5F1	9.439871788024902	0.0
MT1G	4.637883186340332	0.0
FAM96B	31.905202865600586	0.0
APOE	5.396152496337891	0.0
KHDC3L	14.992079734802246	0.0
NLRP7	16.32743263244629	0.0
STMN1	4.426628112792969	0.0
UTF1	12.528853416442871	0.0
MYBL2	9.97104263305664	0.0
NLRP2	7.105863571166992	0.0
ASRGL1	7.2075300216674805	0.0
RANBP1	2.069157123565674	0.0
JPT1	2.554426431655884	0.0
APOC1	6.933602333068848	0.0
ALPG	31.834428787231445	0.0
BAX	3.060450553894043	0.0
NCBP2-AS2	31.39938735961914	0.0
ATP5MC3	1.357904314994812	0.0
TMEM160	2.444481372833252	0.0
MDK	3.435502529144287	0.0
DPPA4	12.862576484680176	0.0
GAL	6.968982219696045	0.0
HMGB3	4.5765814781188965	0.0
SEPT7	30.796072006225586	0.0
TNNT1	5.455868721008301	0.0
PPP1R14A	8.164402961730957	0.0
UBE2C	7.248510837554932	0.0
ATAD3B	4.985711097717285	0.0
TDGF1	14.075465202331543	0.0
PHB	2.565368413925171	0.0
PHB2	2.6822633743286133	0.0
SERPINB9	6.077308177947998	0.0
NANOG	8.624143600463867	0.0
L1TD1	9.34379768371582	0.0
UQCRH	1.215347409248352	0.0
MRS2	4.1107330322265625	0.0
DNMT3L	12.883350372314453	0.0
LIN28B	30.951393127441406	0.0
RAMMET	31.120872497558594	0.0
PQLC1	30.800762176513672	0.0
MINOS1	30.939634323120117	0.0
TUBB4A	8.573604583740234	0.0
SEPT2	30.739521026611328	0.0
NUTF2	2.836881399154663	0.0
MRPL12	2.9415364265441895	0.0
SCGB3A2	31.057952880859375	0.0
CLDN6	11.07196044921875	0.0
CENPW	4.9805731773376465	0.0
ARMT1	4.253818988800049	0.0
FOXH1	11.084100723266602	0.0
C19orf24	30.782323837280273	0.0
ATP5MC1	1.7413941621780396	0.0
AC106864.1	30.966060638427734	0.0
TIMM13	1.6709747314453125	0.0
FAM173A	30.7562255859375	0.0
CCNB1	5.984898090362549	0.0
MT1F	4.253352165222168	0.0
MRPL15	3.8813436031341553	0.0
PGP	3.164844036102295	0.0
QPRT	5.664724349975586	0.0
CD70	9.13818645477295	0.0
TOMM40	2.9360506534576416	0.0
ALYREF	3.412327527999878	0.0
FGF4	30.814950942993164	0.0
CENPA	7.789225101470947	0.0
CD320	4.049083709716797	0.0
GDF3	14.815232276916504	0.0
ATG3	2.74062180519104	0.0
PARP1	3.2200307846069336	0.0
LCP1	6.5780439376831055	0.0
NODAL	12.759760856628418	0.0
BIRC5	6.762753963470459	0.0
UPP1	2.9996750354766846	0.0
KIAA1551	30.523008346557617	0.0
SSSCA1	30.53475570678711	0.0
ZFP42	8.625985145568848	0.0
PLA2G16	30.59771156311035	0.0
AKAP12	4.082666397094727	0.0
ITM2C	4.40905237197876	0.0
NME1	2.3023922443389893	0.0
RAB15	5.819247245788574	0.0
CKS1B	2.545729875564575	0.0
EPCAM	4.203652858734131	0.0
KLRG2	9.112638473510742	0.0
TET1	5.899145603179932	0.0
ASNA1	30.30875587463379	0.0
SLC25A16	4.386000633239746	0.0
DPPA3	30.455883026123047	0.0
