log2FoldChange	padj
AL627309.1	10.67650032043457	6.674708074981008e-49
AL627309.5	12.050957679748535	6.04955003791789e-48
LINC01409	6.8602471351623535	6.672967941394292e-46
FAM87B	9.830355644226074	1.3858621568605914e-45
LINC01128	8.748336791992188	2.26529833831598e-45
LINC00115	5.524765968322754	1.2846864509123266e-43
FAM41C	8.634379386901855	4.364555966796293e-43
AL645608.2	3.8085858821868896	4.0800220303039027e-42
LINC02593	6.589838027954102	3.851944765195508e-40
SAMD11	12.545605659484863	3.914653316129357e-40
NOC2L	7.245260238647461	3.914653316129357e-40
KLHL17	3.8331055641174316	4.2308576085625675e-39
PLEKHN1	4.131391525268555	6.784434993543782e-38
PERM1	4.095342636108398	1.0872561338662038e-35
AL645608.7	2.698561429977417	1.0872561338662038e-35
HES4	2.9171955585479736	2.3575068096415083e-35
ISG15	4.386070251464844	2.4026313397941536e-33
AGRN	3.4601683616638184	1.5655392784029003e-31
RNF223	8.029495239257812	2.8209463280817698e-31
C1orf159	2.181177854537964	2.9036125617756725e-31
AL390719.3	3.1739466190338135	5.435654189773261e-31
AL390719.2	4.501770496368408	5.435654189773261e-31
TTLL10-AS1	4.687621593475342	6.038259800882556e-31
TTLL10	6.549111366271973	1.4981778268750781e-30
TNFRSF18	5.054096698760986	1.5461915226604879e-30
TNFRSF4	1.7271976470947266	1.7892849431583415e-30
SDF4	4.014746189117432	5.4875870929878706e-30
B3GALT6	3.9027397632598877	3.3294401080371325e-29
C1QTNF12	3.289426803588867	8.776010700424594e-29
UBE2J2	1.6934198141098022	9.692410999910023e-29
LINC01786	9.348692893981934	8.70903835847281e-28
SCNN1D	4.246304512023926	1.1465026740381523e-27
ACAP3	2.6849985122680664	5.268329219642488e-27
PUSL1	4.245950222015381	1.0498149448274697e-26
INTS11	5.786104202270508	2.638690968519086e-26
CPTP	5.897419452667236	3.9885940372440866e-26
TAS1R3	1.6980845928192139	1.2773918227383594e-25
DVL1	3.5756802558898926	1.701378623821332e-25
MXRA8	5.760987281799316	1.7914522562313777e-25
AURKAIP1	5.815192699432373	2.453028971628384e-25
CCNL2	6.548946857452393	3.766110164220422e-25
MRPL20-AS1	2.510754108428955	8.184069674470736e-25
MRPL20	5.0370683670043945	2.015964676442963e-24
AL391244.2	2.0946664810180664	2.257017655930681e-24
ANKRD65	3.345302104949951	2.257017655930681e-24
AL391244.1	9.103157043457031	2.7032339761464975e-24
LINC01770	5.074937343597412	2.7644600198984086e-24
VWA1	4.054268836975098	1.1056951635370701e-23
ATAD3C	13.85511589050293	1.3865847448399136e-23
ATAD3B	2.165074586868286	4.087955252780145e-23
ATAD3A	2.770331382751465	2.6141883490781247e-22
TMEM240	2.3183815479278564	3.901702677649355e-22
SSU72	8.08945369720459	1.2342186644928007e-21
AL645728.1	2.8309857845306396	2.4006966805439992e-21
FNDC10	2.999293088912964	4.0920336294194006e-21
AL691432.4	2.610266923904419	4.620323309803495e-21
AL691432.2	1.9366352558135986	4.699754626366733e-21
MIB2	9.020928382873535	7.425341425240796e-21
MMP23B	8.406893730163574	9.879386876233432e-21
CDK11B	1.7480911016464233	1.7386451243297667e-20
FO704657.1	2.2457282543182373	1.9631442011647115e-20
SLC35E2B	1.824336290359497	2.5897921235616412e-20
CDK11A	11.343746185302734	2.9703664543133305e-20
SLC35E2A	3.627218246459961	3.280961819933839e-20
NADK	4.338597297668457	4.5064097662337906e-20
GNB1	2.8206236362457275	4.7657814346635925e-20
AL109917.1	2.7678539752960205	4.998383382854394e-20
CALML6	2.030818223953247	5.785028271632382e-20
TMEM52	2.366652727127075	8.994143769466698e-20
CFAP74	3.7842845916748047	1.451803692503029e-19
AL391845.2	5.244073867797852	1.9037000269478508e-19
GABRD	6.319051742553711	2.842471174517423e-19
PRKCZ	2.3369903564453125	3.869825457858604e-19
AL590822.2	1.4092668294906616	5.464128380459155e-19
PRKCZ-AS1	4.77937650680542	6.668019079779019e-19
FAAP20	2.771693468093872	9.16278087336219e-19
SKI	4.171064376831055	1.194513866738222e-18
AL590822.3	2.4725513458251953	1.2677234202568259e-18
MORN1	4.313137054443359	1.7066893156587268e-18
AL513477.2	1.9534391164779663	1.7438314799193457e-18
RER1	3.9703567028045654	1.8576782494882426e-18
PEX10	1.8522547483444214	2.216660652354531e-18
PLCH2	1.7451125383377075	2.7310881490828136e-18
PANK4	2.5210728645324707	3.4477389068001042e-18
HES5	2.341822862625122	4.690998303040065e-18
AL139246.5	7.869167804718018	8.422962195937523e-18
TNFRSF14-AS1	3.055081844329834	1.5721271456285517e-17
TNFRSF14	2.632707118988037	1.6843224100110982e-17
AL139246.3	1.544194221496582	1.7524968810218303e-17
PRXL2B	3.0344460010528564	2.1344139210718523e-17
MMEL1	2.55706787109375	4.0520728820564497e-17
TTC34	2.497967481613159	4.304490192812731e-17
PRDM16-DT	4.2023024559021	4.64945289502448e-17
PRDM16	2.46610164642334	4.70817904185187e-17
AL354743.2	3.850515365600586	5.470060070214456e-17
ARHGEF16	1.6313722133636475	9.85602556296548e-17
AL512413.1	5.409424304962158	1.0435055500812726e-16
MEGF6	5.560603618621826	1.0653056847652524e-16
AL513320.1	5.224986553192139	1.211110949062318e-16
TPRG1L	3.1112875938415527	2.3208490615280654e-16
WRAP73	3.0096583366394043	3.920128828945419e-16
TP73	1.8427766561508179	6.050984741153491e-16
CCDC27	4.279158115386963	7.379421587938812e-16
SMIM1	5.390957832336426	1.733684247298273e-15
LRRC47	2.2258284091949463	1.938907156195954e-15
AL365330.1	2.0312910079956055	2.1325019765170323e-15
CEP104	1.552527666091919	2.141374962215708e-15
DFFB	3.5905866622924805	3.300466796056458e-15
C1orf174	5.165989875793457	4.0303171360952846e-15
LINC01134	6.316429615020752	4.52103098601307e-15
AL805961.1	4.497005462646484	7.584345199461025e-15
AJAP1	5.884106636047363	9.359815281963687e-15
Z98886.1	1.375582218170166	1.4632333152054214e-14
NPHP4	4.547041416168213	1.5484725068917607e-14
KCNAB2	11.128600120544434	1.5875219691337127e-14
CHD5	4.159458160400391	1.597900051931855e-14
RPL22	6.1200103759765625	1.6656861909977994e-14
AL031847.1	3.1827642917633057	1.8723224937497315e-14
RNF207	4.649654388427734	2.4822562586470544e-14
ICMT	7.450279712677002	3.0792700072752357e-14
LINC00337	1.9369274377822876	5.386656736419843e-14
GPR153	3.6660609245300293	1.0778921083536503e-13
ACOT7	2.8699405193328857	1.1184247072162551e-13
AL031848.2	1.7249666452407837	1.7791851400111931e-13
HES2	1.9508507251739502	1.840307623613252e-13
ESPN	6.925678730010986	1.9204782898697118e-13
TNFRSF25	1.8647408485412598	2.0207654833399934e-13
PLEKHG5	6.870409965515137	2.547336409176691e-13
NOL9	10.473006248474121	3.284163602031262e-13
TAS1R1	2.4071640968322754	3.7406524057893044e-13
ZBTB48	4.443359851837158	5.078027951427153e-13
KLHL21	4.28270959854126	5.078027951427153e-13
PHF13	2.2833614349365234	6.641936504162407e-13
THAP3	5.7862067222595215	6.972753704015605e-13
DNAJC11	5.725768566131592	7.069264828830314e-13
LINC01672	1.5989315509796143	9.110194643140083e-13
AL591163.1	3.980058193206787	1.1118772338738877e-12
CAMTA1-DT	2.5749881267547607	1.314522693889772e-12
CAMTA1	0.762265145778656	1.3436771801923034e-12
CAMTA1-IT1	1.583497405052185	1.5125990209925103e-12
VAMP3	1.910438895225525	1.5508191445810356e-12
Z98884.2	2.1552529335021973	1.5508191445810356e-12
PER3	2.671726942062378	1.7676852317677117e-12
Z98884.1	5.765122890472412	1.986856193442485e-12
UTS2	4.0892720222473145	2.0275358213022212e-12
TNFRSF9	2.7002346515655518	2.319484949735667e-12
PARK7	2.748257875442505	2.357077221090466e-12
AL034417.4	7.398828983306885	2.4276532205105256e-12
AL034417.3	2.143122673034668	2.4751400822973897e-12
ERRFI1	2.2148020267486572	3.0305821138555457e-12
AL034417.2	3.430420398712158	3.561008800576227e-12
SLC45A1	3.599379062652588	3.598003497693325e-12
RERE	1.8135886192321777	4.153910996243411e-12
RERE-AS1	1.1788852214813232	5.887407032808752e-12
ENO1	3.9159398078918457	9.530827048309299e-12
ENO1-AS1	3.734309434890747	1.2391306915281324e-11
CA6	2.3102869987487793	1.4172964701752116e-11
SLC2A5	2.6828267574310303	1.8764222057078573e-11
GPR157	6.315347194671631	1.9172877540268497e-11
MIR34AHG	1.2490817308425903	2.052388086401079e-11
LNCTAM34A	1.674258828163147	2.3040243436422327e-11
