log2FoldChange	padj
AL627309.1	7.053528785705566	0.0
AL627309.5	6.588554382324219	0.0
LINC01409	7.256920337677002	0.0
FAM87B	4.228544235229492	0.0
LINC01128	7.685292720794678	0.0
LINC00115	5.765920639038086	0.0
FAM41C	5.520508766174316	0.0
AL645608.2	5.942318916320801	0.0
LINC02593	5.069269180297852	0.0
SAMD11	5.575334548950195	0.0
NOC2L	7.96252965927124	0.0
KLHL17	5.128157138824463	0.0
PLEKHN1	7.889322757720947	0.0
PERM1	3.107388496398926	0.0
AL645608.7	3.8012139797210693	0.0
HES4	3.992847204208374	0.0
ISG15	3.89923095703125	0.0
AGRN	4.073062896728516	0.0
RNF223	4.927596569061279	0.0
C1orf159	5.044681549072266	0.0
AL390719.3	4.851998805999756	0.0
AL390719.2	4.180185794830322	0.0
TTLL10-AS1	5.506767272949219	0.0
TTLL10	4.874300956726074	0.0
TNFRSF18	3.825061321258545	0.0
TNFRSF4	4.051476955413818	0.0
SDF4	3.292541980743408	0.0
B3GALT6	3.732095241546631	0.0
C1QTNF12	4.203129291534424	0.0
UBE2J2	4.407270908355713	0.0
LINC01786	4.223108291625977	0.0
SCNN1D	3.110811233520508	0.0
ACAP3	5.071125507354736	0.0
PUSL1	2.618283748626709	0.0
INTS11	3.839770555496216	0.0
CPTP	1.8529694080352783	0.0
TAS1R3	4.716494560241699	0.0
DVL1	3.6696252822875977	0.0
MXRA8	2.7172601222991943	0.0
AURKAIP1	4.443130970001221	0.0
CCNL2	4.959591388702393	0.0
MRPL20-AS1	3.9493536949157715	0.0
MRPL20	2.7281229496002197	0.0
AL391244.2	2.857274055480957	0.0
ANKRD65	4.595233917236328	0.0
AL391244.1	3.9927144050598145	0.0
LINC01770	2.64890718460083	0.0
VWA1	3.5779542922973633	0.0
ATAD3C	4.72050666809082	0.0
ATAD3B	4.559908390045166	0.0
ATAD3A	3.746229887008667	0.0
TMEM240	3.394012928009033	0.0
SSU72	1.5217312574386597	0.0
AL645728.1	2.8192226886749268	0.0
FNDC10	2.74778413772583	0.0
AL691432.4	4.79454231262207	0.0
AL691432.2	2.974911689758301	0.0
MIB2	3.7290971279144287	0.0
MMP23B	3.3970329761505127	0.0
CDK11B	2.080993890762329	0.0
FO704657.1	3.8207902908325195	0.0
SLC35E2B	2.5752153396606445	0.0
CDK11A	3.27937650680542	0.0
SLC35E2A	3.323594570159912	0.0
NADK	1.6851246356964111	0.0
GNB1	3.80275559425354	0.0
AL109917.1	3.4052414894104004	0.0
CALML6	1.1375654935836792	0.0
TMEM52	2.1309585571289062	0.0
CFAP74	4.22785758972168	0.0
AL391845.2	2.420560359954834	0.0
GABRD	4.026546955108643	0.0
PRKCZ	2.3148512840270996	0.0
AL590822.2	1.7426319122314453	0.0
PRKCZ-AS1	3.683311700820923	0.0
FAAP20	4.589634895324707	0.0
SKI	3.144584894180298	0.0
AL590822.3	4.147245407104492	0.0
MORN1	2.5661091804504395	0.0
AL513477.2	2.507072925567627	0.0
RER1	1.8716145753860474	0.0
PEX10	2.4714183807373047	0.0
PLCH2	2.135903835296631	0.0
PANK4	2.9235713481903076	0.0
HES5	4.964729309082031	0.0
AL139246.5	2.7535572052001953	0.0
TNFRSF14-AS1	3.980931520462036	0.0
TNFRSF14	1.949373483657837	0.0
AL139246.3	3.9306161403656006	0.0
PRXL2B	4.2124857902526855	0.0
MMEL1	2.701169967651367	0.0
TTC34	4.810310363769531	0.0
PRDM16-DT	2.735849380493164	0.0
PRDM16	3.473792552947998	0.0
AL354743.2	4.629825592041016	0.0
ARHGEF16	2.9305620193481445	0.0
AL512413.1	2.6447346210479736	0.0
MEGF6	0.9767717123031616	0.0
AL513320.1	3.4209508895874023	0.0
TPRG1L	3.435981035232544	0.0
WRAP73	2.9330809116363525	0.0
TP73	2.19020676612854	0.0
CCDC27	3.17866849899292	0.0
SMIM1	1.8545570373535156	0.0
LRRC47	3.3924689292907715	0.0
AL365330.1	2.309926986694336	0.0
CEP104	4.191228866577148	0.0
DFFB	4.419816017150879	0.0
C1orf174	4.365149021148682	0.0
LINC01134	4.2718586921691895	0.0
AL805961.1	2.186418056488037	0.0
AJAP1	4.315866947174072	0.0
Z98886.1	2.0931735038757324	0.0
NPHP4	2.527942657470703	0.0
KCNAB2	3.075147867202759	0.0
CHD5	2.765244960784912	0.0
RPL22	3.902984857559204	0.0
AL031847.1	3.0039970874786377	0.0
RNF207	3.2508692741394043	0.0
ICMT	2.1038801670074463	0.0
LINC00337	1.930322527885437	0.0
GPR153	3.8892529010772705	0.0
ACOT7	2.3381824493408203	0.0
AL031848.2	3.4141807556152344	0.0
HES2	2.28094482421875	0.0
ESPN	1.8173333406448364	0.0
TNFRSF25	4.478547096252441	0.0
PLEKHG5	1.2052615880966187	0.0
NOL9	3.982574939727783	0.0
TAS1R1	1.1198469400405884	0.0
ZBTB48	3.5561811923980713	0.0
KLHL21	2.5654680728912354	0.0
PHF13	2.9061386585235596	0.0
THAP3	1.7785879373550415	0.0
DNAJC11	2.699021577835083	0.0
LINC01672	1.052610993385315	0.0
AL591163.1	3.795236587524414	0.0
CAMTA1-DT	1.6974036693572998	0.0
CAMTA1	2.3473780155181885	0.0
CAMTA1-IT1	3.11759877204895	0.0
VAMP3	3.6539463996887207	0.0
Z98884.2	5.481455326080322	0.0
PER3	3.898899793624878	0.0
Z98884.1	4.048338890075684	0.0
UTS2	1.5523121356964111	0.0
TNFRSF9	2.535615921020508	0.0
PARK7	2.143237352371216	0.0
AL034417.4	2.6413092613220215	0.0
AL034417.3	3.047177791595459	0.0
ERRFI1	0.8116497993469238	0.0
AL034417.2	2.465860605239868	0.0
SLC45A1	1.6506102085113525	0.0
RERE	1.1337083578109741	0.0
RERE-AS1	2.9795219898223877	0.0
ENO1	0.7430383563041687	0.0
ENO1-AS1	2.1536388397216797	0.0
CA6	1.2919193506240845	0.0
SLC2A5	3.372864007949829	0.0
GPR157	2.4993011951446533	0.0
MIR34AHG	4.0121073722839355	0.0
LNCTAM34A	3.4719626903533936	0.0
H6PD	1.009590983390808	0.0
SPSB1	2.3307900428771973	0.0
LINC02606	0.754265546798706	0.0
SLC25A33	1.3849973678588867	0.0
TMEM201	3.2377536296844482	0.0
PIK3CD	4.748861312866211	0.0
PIK3CD-AS2	2.1388511657714844	0.0
CLSTN1	2.7473068237304688	0.0
CTNNBIP1	0.9074795842170715	0.0
AL357140.1	2.433885335922241	0.0
LZIC	1.9824637174606323	0.0
AL357140.2	1.4700876474380493	0.0
NMNAT1	2.2691876888275146	0.0
RBP7	0.9249114990234375	0.0
UBE4B	2.2549245357513428	0.0
KIF1B	2.718183994293213	0.0
AL139424.3	2.7983148097991943	0.0
AL139424.2	1.354591965675354	0.0
PGD	0.9132230281829834	0.0
CENPS	1.9580624103546143	0.0
CORT	3.578301429748535	0.0
DFFA	3.1489531993865967	0.0
AL354956.1	2.443918228149414	0.0
PEX14	2.5243284702301025	0.0
AL139423.2	2.392012119293213	0.0
CASZ1	1.570592999458313	0.0
AL139423.1	1.688974142074585	0.0
TARDBP	2.3222575187683105	0.0
AL109811.2	2.4290502071380615	0.0
SRM	1.9138538837432861	0.0
EXOSC10	1.7458508014678955	0.0
AL109811.1	0.878783106803894	0.0
EXOSC10-AS1	1.7474651336669922	0.0
MTOR	1.511980652809143	0.0
