log2FoldChange	padj
DCN	34.493324279785156	0.0
APOD	14.840057373046875	0.0
CST3	6.622486591339111	0.0
ALDH3A1	9.284871101379395	0.0
LUM	33.85914993286133	0.0
IGFBP6	8.935790061950684	0.0
PTGDS	10.409345626831055	0.0
SOD3	11.252092361450195	0.0
ANGPTL7	33.852359771728516	0.0
HTRA1	10.136442184448242	0.0
ITGBL1	10.354866981506348	0.0
KERA	33.735782623291016	0.0
ANXA1	6.620365142822266	0.0
B2M	5.325829982757568	0.0
COL6A2	6.509983539581299	0.0
SERPINF1	5.105020523071289	0.0
PLAC9	6.2689666748046875	0.0
LDHA	1.8075565099716187	0.0
CD99	7.087143898010254	0.0
ECM1	9.618630409240723	0.0
COL12A1	6.621659278869629	0.0
THBS4	10.374101638793945	0.0
SERPING1	6.8188557624816895	0.0
MALAT1	1.575239658355713	0.0
GLUL	3.1097216606140137	0.0
ADIRF	12.082486152648926	0.0
S100A4	6.081977844238281	0.0
IFITM3	1.953575849533081	0.0
ENO1	1.4489188194274902	0.0
TGFBI	10.889684677124023	0.0
TIMP1	3.7114336490631104	0.0
RPL17	2.951589584350586	0.0
VIM	6.03172492980957	0.0
NNMT	10.880948066711426	0.0
SNHG29	32.51990509033203	0.0
MGARP	10.80385684967041	0.0
CLU	3.5976109504699707	0.0
COL6A1	5.231998443603516	0.0
ITM2B	1.6544932126998901	0.0
CD63	1.080337405204773	0.0
STEAP4	10.609416007995605	0.0
IGFBP2	1.9570080041885376	0.0
RARRES1	11.155047416687012	0.0
LGALS3	3.625551223754883	0.0
MT2A	1.0432997941970825	0.0
PSAP	2.5840606689453125	0.0
S100A10	0.9138222336769104	0.0
SELENOP	9.156916618347168	0.0
S100A6	5.514562606811523	0.0
GRP	12.27711009979248	0.0
AQP1	12.253708839416504	0.0
LAPTM4A	1.5194718837738037	0.0
FTL	0.8017475605010986	0.0
NME2	3.7837114334106445	0.0
SNHG5	32.11009216308594	0.0
SNHG6	32.051998138427734	0.0
OLFML3	5.991543292999268	0.0
EEF1G	7.003609657287598	0.0
SAA1	6.852093696594238	0.0
CFH	32.31363296508789	0.0
UBC	1.749235987663269	0.0
COL6A3	9.089183807373047	0.0
LGALS1	2.960222005844116	0.0
PGRMC1	2.3693692684173584	0.0
TMEM59	1.9137529134750366	0.0
RPL36A	1.6097526550292969	0.0
CRABP2	4.078705310821533	0.0
IFI27	7.856258392333984	0.0
IER3	5.787228107452393	0.0
MGP	12.881689071655273	0.0
SEPTIN7	31.716510772705078	0.0
DSTN	0.8887230753898621	0.0
NEAT1	1.9074859619140625	0.0
SELENOM	2.563743829727173	0.0
TSC22D3	5.11275577545166	0.0
TSPO	4.236691474914551	0.0
RNASEK	5.47285270690918	0.0
CD59	3.932351589202881	0.0
S100A11	1.1238412857055664	0.0
POLR2L	1.0615488290786743	0.0
NFE2L2	3.3568339347839355	0.0
AKR1C2	31.980745315551758	0.0
GABARAP	5.735525608062744	0.0
TSC22D1	2.1111879348754883	0.0
HLA-A	3.8409597873687744	0.0
FTH1	0.686123251914978	0.0
EMP3	3.4645636081695557	0.0
DKK2	31.73712921142578	0.0
ABI3BP	7.116623401641846	0.0
ANGPTL5	31.616317749023438	0.0
GSN	5.6761860847473145	0.0
PRRX1	5.897714138031006	0.0
NDUFA4L2	9.786177635192871	0.0
HLA-E	3.5588150024414062	0.0
NQO1	2.3483831882476807	0.0
