col_name	feature_importance_vals
XIST	0.0003264126298419147
BTG1	0.0003073934833358916
G0S2	0.000292408563553383
GLUL	0.00027934131323082784
CEBPD	0.0002421696513255889
PHLDA1	0.00021846310380652074
GPNMB	0.00020151941330178653
FOS	0.00019601629622590386
RNF144B	0.00019037148612399856
TMSB4X	0.000181335559741662
MT1X	0.00018129295167265043
SNHG5	0.00017322726496649005
B2M	0.00017087637230052456
HSPA1B	0.00016987282696334744
BASP1	0.00016815136507252173
SOD2	0.0001674602250935464
MT-ND4	0.00016734757500579977
S100A6	0.00016525352412100018
WTAP	0.0001591384768387441
GSN	0.0001583697061678116
DNAJB1	0.00015405476908227325
MT-CO2	0.00015253766704329856
MT-CO3	0.00014564700232074594
DDIT4	0.00013613380909416862
SRSF5	0.00013502525503336047
TNFAIP8	0.00013295688051098706
TSC22D1	0.00013199654727860885
TIMP1	0.00013076746932599878
HSPA8	0.00012942108987158428
PLAU	0.0001217527097779419
RSRP1	0.00012070097246368748
SPP1	0.0001206337708723734
CXCL8	0.00011997640592258861
VIM	0.00011981145432649775
RPS10	0.00011961133048333852
CD81	0.00011913707042994651
KRT3	0.0001144118977206476
PLIN2	0.00011222977957669619
CSTB	0.00011210830854645082
LRRC23	0.00011209371005307023
EGR1	0.00011162284165872338
EREG	0.00011034753136285055
INSIG1	0.00011027839890301151
MT1G	0.00010998480469473455
SRGN	0.00010904288374294596
CD83	0.00010856131144858604
ANXA5	0.00010769667548710037
ANXA1	0.00010743856818204324
CTSD	0.00010629931917586233
MTRNR2L8	0.00010445391921922023
MT-ATP6	0.00010326917778961864
CNP	0.00010235192692670092
MT-CYB	0.00010194375710229474
PHF20	9.947274127682418e-05
PTGS2	9.942098156792126e-05
PCBP1	9.774104012559947e-05
LGALS1	9.739265239697275e-05
KLF2	9.579385520148968e-05
JUN	9.540352472079438e-05
APOD	9.53803942090631e-05
FXYD5	9.433903597156848e-05
MT-CO1	9.381921474529444e-05
HSPA1A	9.29727091097359e-05
ZC3H7A	9.259245873819299e-05
EHD1	9.251663893562138e-05
UBE2Z	9.214786794739229e-05
GNA11	9.175617675735068e-05
KLF6	9.09943358235018e-05
NFKBIA	9.09132050667522e-05
MT-ND5	8.99913370546134e-05
MAF	8.990201802527296e-05
GSTO1	8.908114714391321e-05
ACTB	8.8640769875128e-05
OGFRL1	8.859940171627791e-05
CYBA	8.82988084799487e-05
MARCKS	8.785257034077016e-05
TMSB10	8.75268845745509e-05
AREG	8.721322173632488e-05
CFLAR	8.701885532078069e-05
SH3BGRL3	8.682409235362362e-05
MAFB	8.632427255891134e-05
HLA-E	8.622214337176062e-05
ZEB2	8.576573781253172e-05
PSAP	8.548764934792767e-05
FGFR1OP2	8.466160114547591e-05
HLA-DMA	8.428372089234267e-05
LINC01578	8.410400589337072e-05
NEAT1	8.343976447350202e-05
CMTM7	8.258260247726638e-05
USP9Y	8.246184681428019e-05
UBB	8.22625972865367e-05
HSPE1	8.218590573217366e-05
CRIP1	8.146624092429474e-05
HLA-A	8.144476403417761e-05
PPT1	7.998748092688434e-05
CD74	7.962038593919942e-05
CKLF	7.942168410180564e-05
CREB5	7.941005693713982e-05
TCF20	7.926952613816815e-05
CTSL	7.770199229342036e-05
DEDD2	7.583842660476712e-05
DCTN2	7.551173370054126e-05
YBX1	7.529331863178814e-05
CDKN1A	7.471819986386325e-05
CACYBP	7.459800401539368e-05
CYTH1	7.445460747464744e-05
SH3BP5	7.425714025726532e-05
SERTAD3	7.418675593951149e-05
KCTD12	7.364695129781569e-05
PTPRC	7.348166287762942e-05
ZFAND5	7.336156406377131e-05
GMFG	7.326959846506447e-05
DDIT3	7.243292714755572e-05
FAM49B	7.208216634310423e-05
MORF4L1	7.200111770881808e-05
CST3	7.112094376867542e-05
SON	7.092403220823323e-05
SLC22A18	7.087344396831513e-05
HLA-B	7.0831750687225e-05
TNFRSF12A	7.065556221353984e-05
MT1F	7.04205606404225e-05
PLAUR	7.03647367753971e-05
DCN	7.032763562609907e-05
SHB	7.02518638925045e-05
CLDN4	7.023283198969971e-05
ACAA1	6.974705967268655e-05
HSPB1	6.910970982081427e-05
HAUS2	6.881581692541653e-05
CD53	6.876054427426541e-05
CDC14A	6.873368876381728e-05
USP9X	6.830448704919205e-05
ZNF433-AS1	6.817580398624342e-05
WIPF1	6.815598184959601e-05
NINJ1	6.80002267645414e-05
NAP1L1	6.755941859002696e-05
EEF1D	6.750753278352978e-05
TXNIP	6.684474240648973e-05
GLS	6.66773373042485e-05
RASSF5	6.661885799088497e-05
MT-ND3	6.623401831037065e-05
COX5A	6.599645229168953e-05
IRS2	6.565434813904112e-05
JUNB	6.561520041106712e-05
S100A4	6.559463956813967e-05
CD44	6.551266406966268e-05
SEC24A	6.538809232961285e-05
CAMKK2	6.537658143108488e-05
ENO1	6.41016177450813e-05
CRTC2	6.375868784175879e-05
RASSF3	6.360841416222583e-05
