col_name	feature_importance_vals
BCAM	0.00031616172324505794
CDC42EP3	0.0001276579154019104
G0S2	0.00010161739753978985
XIST	0.00010082653929608176
BTG1	0.00010060464998526086
SWAP70	9.319620470308163e-05
SHFL	7.854589858455636e-05
VIM	7.765005182120406e-05
KRT15	7.573510707183688e-05
IGFBP7	7.434542427409812e-05
TXNIP	7.299687938211482e-05
IFI27	6.886470559901281e-05
TSC22D1	6.771009138804825e-05
NDRG1	6.638612811803479e-05
ATF3	6.433136561692457e-05
USP27X	6.432926196475363e-05
RPL31	6.150364229949275e-05
HSPA1A	6.090895757150286e-05
NPC2	6.088502201485134e-05
NET1	6.0423511140146675e-05
CDH24	5.994535223198228e-05
TMOD2	5.97543443279648e-05
RPS4Y1	5.9559820150755297e-05
ID3	5.9554588289321736e-05
GNG10	5.9295278564531726e-05
PMP22	5.9253393153720635e-05
HTRA1	5.875203316806299e-05
FYTTD1	5.832958453213085e-05
KRT14	5.8086322884850366e-05
GLUL	5.786031901681704e-05
KRT17	5.7814975970555985e-05
C7orf26	5.7434651226913974e-05
PSAP	5.72490695559331e-05
SELENOM	5.587855851390274e-05
UBB	5.4757615990058106e-05
TM4SF1	5.473927017974738e-05
MIR205HG	5.434740446316066e-05
TNFRSF12A	5.417533767390638e-05
C11orf96	5.369617842475362e-05
CTNNB1	5.3628552207258465e-05
GNG11	5.36276240788211e-05
PPA1	5.352354915872881e-05
SERBP1	5.289272637878866e-05
TRPC4AP	5.231593783873106e-05
GJA1	5.215663623009386e-05
SRSF4	5.200577936613034e-05
VAPA	5.197118026860432e-05
GAS5	5.118308953249701e-05
ARL4A	5.098681816996549e-05
HES1	5.057408429292556e-05
HDGFL3	4.993838100892684e-05
RAPGEF3	4.9902274826901495e-05
LMNA	4.928255456871192e-05
POM121C	4.830109513431859e-05
CDKN1A	4.7886122301813684e-05
NOP53	4.743222681060042e-05
BHLHE40	4.731285578977963e-05
ST6GAL1	4.7271232610612374e-05
EHD4	4.698224418057674e-05
PRKCH	4.613538322757479e-05
RPS10	4.56538277991009e-05
TAX1BP1	4.53339999703405e-05
PXN	4.532721324911436e-05
ARF6	4.485225577488025e-05
MIR22HG	4.476859908988457e-05
SRRM1	4.466152648157833e-05
S100A16	4.373936860716462e-05
CNOT2	4.311947996549579e-05
C1RL	4.295851011238069e-05
HNRNPA0	4.235223448758787e-05
GAK	4.151708266202657e-05
ZNF83	4.1209646568021214e-05
SNHG7	4.094881818713912e-05
RPS6KB1	4.000242480103451e-05
UCK2	3.998699845839755e-05
GTF2H1	3.9533572812808195e-05
SOCS3	3.9396909377806124e-05
BFAR	3.927291527482983e-05
DERL2	3.846011243358979e-05
SF3A2	3.8362784293265616e-05
TAF13	3.82594267795929e-05
AIP	3.821092974754906e-05
CRTAC1	3.7878133365779194e-05
PANK4	3.7727906101262665e-05
MTMR4	3.7673499107692265e-05
CD99	3.7643182254856645e-05
HNRNPH1	3.7132866500822174e-05
SOCS4	3.709713604629738e-05
ANP32B	3.69284292511725e-05
ZNF736	3.6846510298855614e-05
SLC25A6	3.668049843692728e-05
RPS16	3.661162548191956e-05
IVNS1ABP	3.661035266596577e-05
INSIG1	3.638208601780824e-05
IER2	3.629031924054359e-05
SH3BGRL3	3.6280686184808814e-05
GRK2	3.625878134407324e-05
CEBPD	3.618493498484857e-05
VAMP5	3.597253415495107e-05
NEDD9	3.5891079256101776e-05
FXYD5	3.579222188104514e-05
SNHG8	3.534971768590885e-05
HLA-C	3.523793193491072e-05
ZNF680	3.511597815763428e-05
MRPL13	3.503694690464306e-05
DUSP23	3.5009802565616236e-05
ABL2	3.4967246775357736e-05
ELOC	3.492403653666517e-05
DUSP1	3.4710491565265446e-05
SYNE2	3.440618406339024e-05
TUT4	3.435598548376681e-05
SPACA6	3.4118652332665113e-05
RHOB	3.388270413907875e-05
MMP28	3.323739037002934e-05
TNFRSF1A	3.320230880942493e-05
ENO1	3.3129715727815645e-05
SNRNP70	3.301049546228713e-05
PRRC2C	3.289717124329765e-05
OXA1L	3.2878171702758314e-05
EDC4	3.287083068049009e-05
EMP1	3.2675062601457094e-05
SNHG5	3.265561328926084e-05
MT-ND3	3.262724402507724e-05
RPS2	3.261627101630106e-05
HSPA1B	3.249097362211508e-05
EGLN1	3.235561463921469e-05
DEDD	3.21626977716683e-05
THBD	3.19077980494749e-05
AP3B1	3.175369918389443e-05
CALM1	3.163080046985909e-05
UPF2	3.138803176317791e-05
CCDC50	3.130229419864008e-05
EEF1G	3.127014958072336e-05
HNRNPA2B1	3.1014935806089003e-05
HLA-E	3.1009107148107e-05
MCOLN1	3.100758737247698e-05
LYAR	3.0916640350416233e-05
PGF	3.0738456826448044e-05
SOD2	3.073148277588721e-05
RNF138	3.057851189617659e-05
DPM3	3.053578803124916e-05
ARL5B	3.050513081724065e-05
GYPC	3.049103632714995e-05
ASAH1	3.0488243630430632e-05
MTRNR2L8	3.048520780250087e-05
RTRAF	3.0338188237984204e-05
TPM4	3.0251540641959843e-05
ATP9B	3.0209099612832023e-05
SPHK1	3.0180471265118772e-05
TRNT1	3.0109083476189434e-05
